İstanbul;(9. Yarış Günü);14/12/2022
1. Kosu :   14:30;ŞARTLI 5; 3 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 60.00 kg; 2200m; Sentetik;;;;Rekor Derece :2.15.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)92.500 TL;2.)37.000 TL;3.)18.500 TL;4.)9.250 TL;5.)4.625 TL;1.)15.956 TL;2.)6.383 TL;3.)3.191 TL;4.)1.596 TL;5.)798 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;JUST UNIQUE DB SK;4y d  a;INVINCIBLE SON (IRE);CUMULUS (GB);56 +0.50;K.DEMİREL AP;AYŞEGÜL KURTEL;R.BİRDAL;3 - DS;;81;2:20.55;3,30;2,5 Boy
2;WINNER MAN KG SK;5y d  a;WIN RIVER WIN (USA);EMMA;60;G.KOCAKAYA;CEM NARİN;S.DURGUÇ;6 - DS;;88;2:20.92;1,30;1,5  Boy
3;BOZDAĞ BEYİ DB SK;5y a  a;AFTER MARKET (USA);LADY ÇUARD;56 +0.40;S.BOYRAZ;METE AYSEL;Ş.AKSOY;5 - DS;;86;2:21.09;8,55;1,5  Boy
4;PEACE RUBY DB SKG SK;5y d  a;GOLDEN SUN;LOVE ALWAYS;60;T.YILDIZ;GÖKHAN ALKAN;E.KOCA;1;;56;2:21.34;20,80;1,5  Boy
5;DON CORLEONE DB SK;5y d  a;HAKKAR;WILD GIRL;59;B.ÇIĞLA AP;IŞIL GÜNEŞ;M.SANDIKCI;2;;69;2:21.54;9,75;
6;QUICK KEY KG K DB;4y d  a;INVINCIBLE SON (IRE);MAHPERI (IRE);60;M.KAYA;MELİS KURTEL EMİN;MEHMET DEMİR;4 - DS;;74;Derecesiz;10,70;
GANYAN(2) :3,30 TL, SIRALI İKİLİ(2/5) :7,95 TL

2. Kosu :   15:00;ŞARTLI 3/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;1.)18.113 TL;2.)7.245 TL;3.)3.623 TL;4.)1.811 TL;5.)906 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KIMONO KG DB SK;2y d  d;KULOĞLU;RAIN GODDESS;57 +0.20;A.YILDIZ AP;MURAT ÇELİK;At Sahibi;3;;43;1:19.71;2,50;2 Boy
2;VIKING GIRL DB SKG SK;2y d  d;PAPA CLEM (USA);DOLCE;57;H.KARATAŞ;RECEP KETME;S.BAYDAN;5;;43;1:20.03;3,05;1 Boy
3;MAYRA SULTAN SK;2y k  d;NATIVE KHAN (FR);RAMBLER (GB);57;VEDAT ABİŞ;BARAN D. CEMİLOĞLU;S.ÖZGEZER;4;;42;1:20.16;3,05;2,5 Boy
4;BEYOND THE SEA KG DB SK;2y d  d;VICTORY GALLOP (CAN);DERYA SULTAN;57;M.ÇİÇEK;GÜNSEN SOYUPAK;H.YÜZBAŞI;7;;47;1:20.52;4,50;2,5 Boy
5;AGNES SKG SK SGKR;2y d  d;POWERSCOURT (GB);ALWAYS DELIGHTFUL (USA);54;A.KAÇMAZ;CEYHUN ÇETİNKAYA;İ.DEMİR;1;;24;1:20.86;29,20;
6;KHAN NO KOI DB SKG SK;2y d  d;NATIVE KHAN (FR);CARPE KOI;57;G.KOCAKAYA;TUĞBA BABACAN;M.E.AVCI;2;;41;1:20.92;9,80;
7;KEZİBAN SULTAN KG K ÖG;2y d  d;PAPA CLEM (USA);MÜYESSERS GIRL;51 +0.80;E.AVŞAR AP;ALİ DOBAK;D.ERGİN;6;;;1:21.30;43,15;
GANYAN(1) :2,50 TL, İKİLİ(1/5) :4,20 TL, SIRALI İKİLİ(1/5) :7,15 TL, ÜÇLÜ BAHİS(1/5/4) :9,92 TL, 1. ÇİFTE(2/1) :16,00 TL

3. Kosu :   15:30;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
