İzmir;(56. Yarış Günü);22/10/2022
1. Kosu :   16:45;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.96
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MEA PUELLA KG K;2y d  d;BELARDO (IRE);ROYAL GUINEVERE  (GB);57 +1.00;B.KURDU;CENK ÖZMALATYALILAR;FAH.CEYLAN;3;%1.81(8);;1:13.18;22,30;3 Boy
2;GLORY BOX KG K DB;2y a  d;SIDNEY`S CANDY (USA);LADY YAREN;57;M.GÖNÜLTAŞ;ALOŞ YILDIRIM;M.ÇAM;4;%3.12(7);25;1:13.53;30,15;2 Boy
3;BANK OF THE SEA SKG SK;2y a  d;NATIVE KHAN (FR);ZANA (IRE);57;M.ÇİÇEK;ÖZGÜR DEMİR;MEH.KAYA;10;%23.51(2);;1:13.80;2,15;1 Boy
4;REVENANT KG SK;2y k  d;GRAYSTORM;ZERAFET;57;MER.ÇELİK;HÜSEYİN KOLSUZOĞLU;M.YAPAROĞLU;9;%35.02(1);35;1:13.94;2,40;4 Boy
5;RED PEARL KG SK;2y d  d;SIDNEY`S CANDY (USA);FLEURINE;57;M.M.BİLGİN;ENGİN ATEŞLER;B.ÇAKUS;5;%4.69(5);;1:14.48;9,65;
6;ERELDA KG K DB;2y a  d;GENERAL QUARTERS (USA);ELADA;57;B.M.MIRIK;SELÇUK ACAR;A.COŞKAN;1;%3.44(6);;1:15.06;20,45;
7;BUZ BAHÇESİ KG SK;2y d  d;GENERAL QUARTERS (USA);ŞEKER YILDIZI;57;D.PALAUR;REYHAN ŞEKER;KAY.ALTINÖZ;7;%0.95(9);;1:17.03;48,95;
8;JULIA KG SK;2y d  d;THREE VALLEYS (USA);LOCHKA;57;N.AVCİ;HASAN TARIK ŞEKER;H.DURMUŞ;8;%8.11(4);36;1:17.40;7,35;
9;BARYCENTER KG DB SK;2y d  d;MALİ;EMİRA;57 +0.90;M.KAYA;KEREM BAŞKOÇ;C.ŞAMLI;6;%19.2(3);37;1:19.91;3,55;
10;AFİLLİ KIZ DB (Koşmaz);2y d  d;FAST STARS LINE;MONTECATINI;57;H.ŞİMŞEK;UĞUR DEMİREL;İ.E.YILMAZ;2;%0.13(10);;Koşmaz;;
GANYAN(8) :22,30 TL, İKİLİ(6/8) :152,55 TL, SIRALI İKİLİ(8/6) :450,75 TL

2. Kosu :   17:15;ŞARTLI 4/DHÖW; 4 ve Yukarı Araplar; 57.50kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.17.95
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BOMBACAN KG SK;8y d  a;KIVANÇ CAN;PERİKIZI;63;N.AVCİ;HAYATİ CAN;D.TEKELİ;9 - DS;%26.14(2);100;2:24.41;2,75;1,5  Boy
2;HÜRSEV KG DB SK;7y k k;TAMERİNOĞLU;HAMDE.53;58;MER.ÇELİK;TACETTİN TURAN;N.GÖNÜLTAŞ;2;%13.96(3);53;2:24.66;3,55;Yarım Boy
3;PİST KRALI KG DB SK;6y a  a;KAIZBERT (RU);BEREN;53;İ.S.SÖĞÜT AP;AYLİN ÖZETKEN;Ü.AYBOĞA;1;%0.78(9);40;2:24.72;37,50;1 Boy
4;PİLEVNELİ KG SK;9y a  a;EMAEL (PL);HARELİ;57;K.GÖKÇE AP;MUSTAFA ÇİZİK;H.DURMUŞ;5;%8.36(5);63;2:24.87;9,75;1,5  Boy
5;TAHİR BABA KG SK;5y a  a;ÖZGÜNHAN;YALAZ KIZI;60;O.ÖZTÜRK;CAHİT SEKİN;D.KAYA;8 - DS;%28.19(1);84;2:25.10;2,35;
6;ŞİFNE EFESİ DB SK;6y k  a;JOKER;ŞİFNELİ;59;C.ALTUN AP;İRFAN BERBEROĞLU;M.AKKUŞ;4;%2.72(6);77;2:32.25;36,50;
7;YALGINAY KG K DB;4y k  a;SARRAF;SEVDAÇİÇEĞİ;53,5;D.PALAUR;ERDEM KÖZLEME;O.TAŞDEMİR;10 - DS;%2.57(7);28;2:34.36;16,35;
8;YEĞENİM TOPRAK KG DB;5y d  a;OYMAKBEYİ;BİLGİLİ;56 +0.30;M.ÇİÇEK;FAİK GÖNÜLTAŞ;N.GÖNÜLTAŞ;7;%13.88(4);60;2:35.10;4,10;
9;BABAM BENİM KG SK SGKR;4y a  g;UÇANOĞLU;BOSNALI;59,5;H.KAPLAN;ENGİN TEPE;C.ARPEK;6;%1.02(8);37;2:38.01;59,85;
10;HAVZA ASLANI KG DB (Koşmaz);5y k  g;TAMERİNOĞLU;BADEKIZIM;56;G.ÖZÇELİK;SUAT YILDIZ;FAH.CEYLAN;3;%2.39(10);65;Koşmaz;;
GANYAN(1) :2,75 TL, İKİLİ(1/4) :9,90 TL, SIRALI İKİLİ(1/4) :13,25 TL, ÜÇLÜ BAHİS(1/4/10) :107,67 TL Çıkan 1 Atla: 3,46 TL, PLASE(1) :1,70 TL, PLASE(4) :1,30 TL, PLASE İKİLİ(1/10) :105,00 TL, PLASE İKİLİ(1/4) :4,90 TL, PLASE İKİLİ(4/10) :208,10 TL, 1. ÇİFTE(8/1) :151,35 TL

3. Kosu :   18:00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.96
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
