İzmir;(4. Yarış Günü);08/01/2023
1. Kosu :   14:00;Handikap 15/DHÖW /H1; 5 ve Yukarı Araplar; kg; 2200m; Kum;;;;Rekor Derece :2.32.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BABAM BENİM KG K DB SGKR;5y a  g;UÇANOĞLU;BOSNALI;52,5 +1.50;O.YILDIZ;ENGİN TEPE;C.ARPEK;4;%14.88(3);42;2:42.70;5,50;Burun
2;PİLEVNELİ KG SK;10y a  a;EMAEL (PL);HARELİ;60,5;M.AKIN AP;MUSTAFA ÇİZİK;H.DURMUŞ;7;%12.36(5);62;2:42.72;4,75;2 Boy
3;ESERALP KG DB;9y d  a;TIGRES LIGHT (US);ZAFİRE.16;58;G.ÖZÇELİK;BİHTERCAN ATAÇ;Z.B.DURGUN;2;%23.65(1);53;2:42.99;2,35;6 Boy
4;ALAÇATI AĞASI SKG SK;5y k  a;TURBO;HALİDİNKIZI;57 +0.20;GÖKH.GÖKÇE;SONER GÜL;MEH.KAYA;8;%13.86(4);51;2:43.94;6,35;10 Boy
5;YALGINAY KG K DB;5y k  a;SARRAF;SEVDAÇİÇEĞİ;50 +2.00;A.YILDIZ AP;ERDEM KÖZLEME;O.TAŞDEMİR;10 - DS;%15.13(2);37;2:45.72;5,10;
6;FIRATIN ÖFKESİ;10y k  a;TAMERİNOĞLU;BERDANGÜLÜ;55;M.M.BİLGİN;HALİL CELİM;Ü.AYBOĞA;1;%5.22(8);47;2:45.73;15,25;
7;KÜŞİ KG K DB;7y a k;BERKAY EFE;HALİDE;61;K.GÖKÇE AP;ALİ KÖŞGER;B.ÖZGÜR;6;%5.54(7);63;2:48.28;12,85;
8;KÖRKÜTÜK KG DB SK;6y a  a;CANGIL;HANLARKIZI;50 +2.00;A.C.DAĞDEVİREN;ESEN KARANLIK;M.TEZEL;5;%2.18(9);27;2:49.07;25,60;
9;GÜLALLAR KG DB;5y a  a;TURBO;BÜTÜNKIZ;52,5 +2.00;B.M.MIRIK;HAKKI GÜLAL;M.GÜLENDAĞI;3;%6.08(6);42;2:50.13;12,10;
10;ÖZGÜRKAFKAS KG SK (Koşmaz);6y a  a;KAFKAS ŞAHI;ÖZGÜR NAZ;51;A.İNCİ;ABDULLAH KAYA;HAKAN ASLAN;9;%1.11(10);39;Koşmaz;;
GANYAN(6) :5,50 TL, İKİLİ(2/6) :17,95 TL, SIRALI İKİLİ(6/2) :32,70 TL

2. Kosu :   14:30;Maiden/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KALE GÖZÜ KG DB;4y d k;SONALP;ÖZBAŞAK;58;M.ÇİÇEK;MERTCAN ÖZKAN;M.ÇAM;5;%20.76(2);26;1:43.00;5,35;1 Boy
2;TAŞKIRAN SK;4y k k;DOST KARACA;UZUNYARİM;58;A.İNCİ;SEVİM KARACA;MEH.KAYA;2;%12.57(3);28;1:43.12;3,30;1,5  Boy
3;AFETİ SULTAN KG DB SK;4y k k;ALTINÇEKİÇ;EMEL SULTAN;58 +0.50;H.ALTIN;MEHMET ALTIN;E.TURAN;8;%47.54(1);33;1:43.38;1,80;8 Boy
4;KAMİLLA KG SK;4y k k;AĞA KARACA;KAMİLE;54;E.ÇİZİK AP;ABDULLAH AVCI;S.YUDUM;4;%2.06(7);19;1:44.68;25,55;Baş
5;PRENSES SONGÜL KG SK;4y k k;KARA TURBO;FATOŞ KIZIM;54;M.UYAR AP;MEHMET BİRDEN;MEH.KAYA;1;%1.85(8);26;1:44.71;17,40;
6;SAFDERUN KG K;4y a k;BESLENEY;NAKİYE;58;İ.KALE;UMUT BABADAĞLI;M.AKKUŞ;10 - DS;%7.29(4);27;1:44.78;7,30;
7;DİBASIN KG DB SK;4y k k;KAYATUFAN;DİBA;55 +1.50;K.GÖKÇE AP;KAYA KAYA;F.KEMAHLIOĞLU;7;%4.72(5);27;1:48.53;10,65;
8;MİHRUBA KG K;4y a k;ŞAH ŞEHRİYAR;AHENK;58;A.KÜRÜNDÜK;H.TARIK DİKENCİK;Ş.ÖZGÜR;6;%2.24(6);12;1:48.80;27,25;
9;UÇAN BEYAZ KG SK;4y k k;UÇANBEY;KARBEYAZI;54;S.AKŞIN AP;ABDULLAH KAYA;HAKAN ASLAN;3;%0.36(10);10;1:49.37;99,10;
10;İNCESUHANIM KG K DB;4y k k;ÇAVUŞOĞLU;MADRALI;55 +0.70;M.AKIN AP;MUHİTTİN İNCESU;Ü.AYBOĞA;9;%0.6(9);12;1:58.76;61,15;
GANYAN(4) :5,35 TL, İKİLİ(4/9) :8,05 TL, SIRALI İKİLİ(4/9) :11,95 TL, ÜÇLÜ BAHİS(4/9/1) :8,95 TL, PLASE(4) :1,90 TL, PLASE(9) :1,70 TL, PLASE İKİLİ(1/4) :2,40 TL, PLASE İKİLİ(1/9) :3,00 TL, PLASE İKİLİ(4/9) :3,00 TL, 1. ÇİFTE(6/4) :18,25 TL

3. Kosu :   15:00;Handikap 13 /H2; 3 Yaşlı İngilizler; kg; 1200m; Kum;;;;Rekor Derece :1.11.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)57.500 TL;2.)23.000 TL;3.)11.500 TL;4.)5.750 TL;5.)2.875 TL;1.)9.919 TL;2.)3.968 TL;3.)1.984 TL;4.)992 TL;5.)496 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PAVLİÇENKO KG SK;3y a  d;CROSS FIRE;ASETON;60;N.AVCİ;YUSUF KÜREM;Ü.AYBOĞA;1;%16.4(3);39;1:17.24;4,25;5 Boy
2;LIGHT OF SMART DB SK;3y d  e;SMART ROBIN (JPN);MINT COPY;59;A.KÜRÜNDÜK;SAMİ DOĞAN;Ü.BULUT;3;%22.98(2);37;1:18.02;2,55;Burun
3;EURUS K;3y d  d;YILDIRIMBEY;GÜLER YÜZLÜM;57,5;A.YILDIZ AP;İLKER İYİKOL;H.DURMUŞ;5 - DS;%35.24(1);36;1:18.03;2,30;9 Boy
4;NUCLEUS KG DB SK;3y d  d;PAPA CLEM (USA);FIRSTMOON;59,5;M.M.BİLGİN;ENGİN ATEŞLER;B.ÇAKUS;6 - DS;%14.22(4);38;1:19.56;5,10;4 Boy
5;TOCC SONATA;3y d  e;TOCCET (USA);INDYS SONATA (USA);50 +2.00;A.C.DAĞDEVİREN;ALP Ş. EVCİMEN;C.ŞAMLI;4;%1.68(6);13;1:20.21;23,05;
6;SON OF THE WOLF KG DB SK;3y a  e;WOLF PRINCE;PEKİN GOLD;54 +1.00;GÖKH.GÖKÇE;ADEM AKTAŞ;MEH.KAYA;2;%9.48(5);27;1:20.77;7,15;
GANYAN(1) :4,25 TL, SIRALI İKİLİ(1/3) :16,65 TL, 2. ÇİFTE(4/1) :20,15 TL

4. Kosu :   15:30;ŞARTLI 3/DHÖW /X; 4 Yaşlı Araplar; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.10.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)82.000 TL;2.)32.800 TL;3.)16.400 TL;4.)8.200 TL;5.)4.100 TL;1.)14.145 TL;2.)5.658 TL;3.)2.829 TL;4.)1.415 TL;5.)707 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YANIK ADEM KG GKR;4y d  a;OYMAKBEYİ;BİLGİLİ;54;E.ÇİZİK AP;FAİK GÖNÜLTAŞ;N.GÖNÜLTAŞ;5;%3.7(8)  %4.15(8);36;2:19.71;18,90;3,5 Boy
2;CEBEBEY KG DB;4y a  a;ARASLI;SEVİNÇKAN;58;A.YILDIZ AP;TARKAN H. ONAR;SEYİT GÖKÇE;1;%36.72(1)  %34.93(1);55;2:20.28;1,55;4 Boy
3;ARAKESİT KG DB SK;4y d  a;SİLAH;PÜREN;58;İ.SOYAD;AYNUR BULAT;B.DAĞ;7;%5.79(6)  %6.02(6);38;2:20.87;17,45;7 Boy
4;ESENİN OĞLU KG K DB;4y a  a;UÇANOĞLU;AÇIK ARA;58;M.ÇİÇEK;MÜCAHİT YILDIZHAN;V.AKBULUT;3;%17.01(2)  %14.89(2);40;2:22.07;6,40;Yarım Boy
5;CESUR RÜZGAR KG K;4y k  a;KARAÜZÜM;HANIMER;52;M.UYAR AP;EKREM BİRDEN;MEH.KAYA;9;%2.3(9)  %2.77(9);39;2:22.13;22,85;
6;AKLIM KG DB SK;4y d  a;YÜREKKAYA;AKLIMDA;56;ALP.OLUK AP;HALİL ASLAN;HAKAN ASLAN;11 - DS;%2.06(10)  %2.35(10);39;2:22.54;21,10;
7;HASANCANIM KG DB GKR;4y a  a;JOKER;HAZİRANKIZI;58;M.M.BİLGİN;ŞAFAK GÜMÜŞ;ŞAFAK GÜMÜŞ;10;%5.38(7)  %5.65(7);37;2:23.78;15,05;
8;UZUNBİR KG DB;4y a  a;TÜMÖZ BEY;PIRIL PIRIL;51 +2.00;U.LEVENT AP;SUNGUR SOYDAM;H.E.UYSAL;8;%0.96(11)  %1.09(11);30;2:23.86;46,80;
