9;BAYDOĞAN KG K DB;4y k  a;DOĞANGÜN;SEVİLAY;58 +0.30;M.BAYDAN;İSMAİL ERDOĞAN;FAH.CEYLAN;4;%8.57(4)  %9.09(4);36;2:31.38;7,70;
10;YİĞİTŞEF KG SK;4y d  a;TÜMÖZ BEY;BÖRTEKİZ;58;N.AVCİ;MUSTAFA KOCATÜRK;H.E.UYSAL;2;%6.9(5)  %7.08(5);35;2:31.83;12,55;
11;TUNA NEHRİ KG DB SK;4y d  a;ÖZGÜNHAN;NEVRA;56;A.KÜRÜNDÜK;ALİ ÖREN;S.ŞAHYAZICI;6;%10.61(3)  %11.98(3);40;Derecesiz;6,95;
GANYAN(7) :18,90 TL, İKİLİ(1/7) :16,35 TL, SIRALI İKİLİ(7/1) :83,65 TL, 3. ÇİFTE(1/7) :83,30 TL

5. Kosu :   16:00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YİĞİTOĞLUM KG SK GKR;6y a  a;KAIZBERT (RU);BOSNALI;53,5 +0.30;O.YILDIZ;ENGİN TEPE;C.ARPEK;6;%16.87(2)  %15.65(2);54;1:54.08;4,70;3 Boy
2;HAVZA ASLANI KG DB;6y k  g;TAMERİNOĞLU;BADEKIZIM;57,5;A.SÖZEN;SUAT YILDIZ;FAH.CEYLAN;7;%20.86(1)  %17.81(1);62;1:54.56;2,85;3,5 Boy
3;KORUYUCU KG DB SK;5y a  a;ÖZGÜNHAN;TEMENNİ;58;İ.SOYAD;AYNUR BULAT;B.DAĞ;9;%12.97(4)  %12.94(4);63;1:55.12;5,35;1,5  Boy
4;FIRAT BABA DB;6y k  a;TOŞUR;AYA BENZER;55,5;A.YILDIZ AP;ALPAY DEMİREL;İ.CANPOLAT;4;%8.98(6)  %9.7(6);60;1:55.38;6,90;Baş
5;SERKANINOĞLU KG DB SK;5y a  a;DELİCİHAN;ÖZMENCULE;59;M.UYAR AP;MEHMET BİRDEN;MEH.KAYA;2;%11.15(3)  %11.45(3);71;1:55.41;6,05;
6;HASKARACA SKG SK;7y k  a;CİHANSER;ESENHANIM;61;K.GÖKÇE AP;ŞAHNUR KARACA;M.Y.AKKEYİK;3;%11.87(5)  %12.11(5);73;1:55.77;6,55;
7;YEKSIRA KG DB SK;6y k  a;BİLGİN;CANAYCAN;53 +1.10;N.AVCİ;GÜLER TUZCU;ŞAFAK GÜMÜŞ;8;%5.19(8)  %6.12(8);53;1:58.17;12,00;
8;MİKSER KG DB SK;5y k  g;TURBO;CAN ZEHRA;50 +2.00;E.ÇİZİK AP;MEHMET BİRDEN;MEH.KAYA;1;%1.84(3)  %1.96(3);42;1:59.10;6,05;
9;ÖZÜMCAN KG SK;6y k k;SALTUKHAN;ŞEKERKAYA;55;A.İNCİ;MUSTAFA DURMAZ;MEH.KAYA;5;%3.53(9)  %4.35(9);57;1:59.62;18,45;
10;ZAFİR KG DB SK ÖG;5y a  a;DEMİRDÖVEN;MELTEMCAN;50 +2.00;A.C.DAĞDEVİREN;CAN ERBAK;R.AYDOĞAN;10;%6.74(7)  %7.9(7);46;2:00.46;12,50;
[(2)SERKANINOĞLU,(10)MİKSER,] eküridir.GANYAN(7) :4,70 TL, 1. 3'LÜ GANYAN(1/7/7) :221,15 TL, İKİLİ(4/7) :6,60 TL, SIRALI İKİLİ(7/4) :16,55 TL, ÜÇLÜ BAHİS(7/4/3) :21,87 TL, PLASE(4) :1,05 TL, PLASE(7) :1,05 TL, PLASE İKİLİ(3/4) :5,60 TL, PLASE İKİLİ(3/7) :4,00 TL, PLASE İKİLİ(4/7) :7,70 TL, 4. ÇİFTE(7/7) :96,80 TL

6. Kosu :  GÜZEL İZMİR KOŞUSU 16:30;A 2; 4 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 1600m; Kum;;;;Rekor Derece :1.38.10
İkramiye;;;;;Yetiştirici Primi;;;;
1.)438.000 TL;2.)175.200 TL;3.)87.600 TL;4.)43.800 TL;5.)21.900 TL;1.)125.925 TL;2.)50.370 TL;3.)25.185 TL;4.)12.593 TL;5.)6.296 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;WARDENCLYFFE DB SK;4y a  a;VICTORY GALLOP (CAN);UNDERCOVER SOLDIER (USA);58;G.KOCAKAYA;ÖZGÜR DEMİR;MEH.KAYA;1;%17.11(3)  %18.52(3);95;1:40.21;3,75;3 Boy
2;KING MAN GO KG DB SK;6y d  a;MENDIP (USA);POMEROL (USA);60;Ö.YILDIRIM;HÜSEYİN AKARSU;T.TEMİZER;5;%36.04(1)  %31.37(1);106;1:40.66;2,05;Yarım Boy
3;KUZEY YAĞMURU KG DB SK;6y a  a;TOCCET (USA);PUSU;60;H.KARATAŞ;ERSAN ÜLDES;E.TURAN;2;%23(2)  %23.37(2);103;1:40.76;3,30;Burun
4;KING FARRIER KG K DB;4y d  a;HAKEEM (USA);GÜLSEÇ;58;GÖKH.GÖKÇE;A. ALPER SİLSÜPÜR;M.ARICI;6 - DS;%13.29(4)  %14.63(4);96;1:40.77;5,55;1 Boy
5;DELAWERA;5y k  a;GENERAL QUARTERS (USA);POMEROL (USA);60;M.ÇİÇEK;NADİR ÇETİNER;T.TEMİZER;3;%7.24(5)  %8.29(5);99;1:40.90;7,50;
6;HEADMAN K DB ÖG BB;8y d  a;DABIRSIM (FR);LONGORIA (GER);60;K.TOKAÇOĞLU;SANEM KAHRAMAN;H.ÇALIŞKAN;7 - DS;%2.05(6)  %2.45(6);98;1:42.79;25,20;
7;KAFKAS BEYİ DB;5y d  a;WHOS NEXT;TYANA GÜZELİ;60;MER.ÇELİK;BURHAN ŞEN;B.ÖZGÜR;4;%1.27(7)  %1.36(7);65;1:48.92;34,60;
GANYAN(7) :3,75 TL, 1. 6'LI GANYAN(6/4/1/7/7/7) :10.916,31 TL, 1. 5'Lİ GANYAN(4/1/7/7/7) :1.524,45 TL, İKİLİ(4/7) :3,90 TL, SIRALI İKİLİ(7/4) :9,40 TL, ÜÇLÜ BAHİS(7/4/5) :8,30 TL, 5. ÇİFTE(7/7) :18,90 TL

7. Kosu :  EFES KOŞUSU 17:00;KV-8; 3 Yaşlı İngilizler; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.38.10
İkramiye;;;;;Yetiştirici Primi;;;;
1.)192.000 TL;2.)76.800 TL;3.)38.400 TL;4.)19.200 TL;5.)9.600 TL;1.)44.160 TL;2.)17.664 TL;3.)8.832 TL;4.)4.416 TL;5.)2.208 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ROCK SOLID KG SK;3y d  e;TOCCET (USA);ELMASTÜTÜN;58;A.SÖZEN;ENGİN ATEŞLER;A.ÖCAL;4;%69.02(1);90;1:41.90;1,15;3 Boy
2;DRAGON FIRE SK;3y d  e;TOROK (IRE);HAPPY VALENTINE;58;M.ÇİÇEK;ENGİN ATEŞLER;A.ÖCAL;3;%9.62(1);79;1:42.36;1,15;6 Boy
3;MİRBEY;3y d  e;CAPTAIN RIO (GB);HASMUŞLU;58;N.AVCİ;SUNGUR SOYDAM;H.E.UYSAL;1;%10.98(2);86;1:43.39;3,30;9 Boy
4;BABASELİM K;3y d  e;HAKKAR;HAPRY MARE;58;MER.ÇELİK;TALAT ÜSTÜNER;C.BATUR;2;%1.98(4);49;1:44.90;18,60;10 Boy
5;LION PIECE K;3y d  e;LION HEART (USA);TROPICAL STAR;58;Ö.YILDIRIM;ALİ GÜNGÖR;E.ATEŞ;5 - DS;%8.4(3);52;1:46.64;4,55;
[(5)ROCK SOLID,(2)DRAGON FIRE,] eküridir.GANYAN(5) :1,15 TL, SIRALI İKİLİ(5/2) :2,50 TL, 6. ÇİFTE(7/2,5) :4,50 TL

8. Kosu :   17:30;Handikap 14 /H1; 4 ve Yukarı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.12.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)82.000 TL;2.)32.800 TL;3.)16.400 TL;4.)8.200 TL;5.)4.100 TL;1.)14.145 TL;2.)5.658 TL;3.)2.829 TL;4.)1.415 TL;5.)707 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VERY SPECIAL KG DB SK;4y d  a;PAPA CLEM (USA);ASİLKAN;61;M.KAYİŞ AP;TİMUR TAKAN;B.VATANSEVER;4;%4.83(9);55;2:19.95;13,20;3 Boy
2;MITTELMEER KG SK;4y d  a;TOROK (IRE);ROYA;56;E.ÇİZİK AP;M.NABİ DEMİRKOL;A.ÖMEROĞLU;9 - DS;%11.81(3);47;2:20.39;7,00;4 Boy
3;RAYO DB SK;4y d  a;MALİ;DİŞEPS;52,5 +2.00;M.M.BİLGİN;NUSRET ÖZBAĞ;MEH.KAYA;2;%11.42(4);34;2:21.05;5,00;4 Boy
4;MAHSUMZADE DB SK;4y d  a;LITTLE GANGSTER;JACQUELINY;52,5 +1.10;A.İNCİ;SEVİM KARACA;MEH.KAYA;3;%5.84(8);34;2:21.74;16,70;2 Boy
5;PERFECT BLACK DB SKG SK;4y d  a;PLEASANTLY PERFECT (USA);UNDERCOVER SWORD;54,5;A.C.DAĞDEVİREN;CİHAN EMİL;O.TAŞDEMİR;8;%2.75(10);38;2:22.09;22,55;
6;ALGORİTMA DB;4y a  a;LION HEART (USA);MARCH MADNESS;58,5;Ö.YILDIRIM;MURAT KAYA;R.YILDIZ;5;%23.76(1);46;2:22.17;2,60;
7;KUYRUKLU YILDIZ KG DB SK GKR;4y d  a;SMART ROBIN (JPN);CARIBU;56 +0.70;O.ÖZTÜRK;ALPER ÖZBEK;D.ALCEYLAN;11 - DS;%8.02(6);41;2:24.80;9,95;
8;MANDACAN KG SK;4y d  a;SMART ROBIN (JPN);MOLINARA;56;A.SÖZEN;İSMAİL SOYDAN;S.YUDUM;1;%11.12(5);41;2:24.93;7,15;
9;VIVAZORAN KG DB SK;5y a  a;VICTORY GALLOP (CAN);GOLD BIHAR;56;N.AVCİ;BÜLENT TAŞÇI;G.TURAN;10 - DS;%13.17(2);37;2:27.10;5,15;
10;AGASSI KG DB SK;5y d  a;COUNTRY REEL (USA);LOYAL TO YOU (USA);56;MER.ÇELİK;MÜSLÜM ASLAN;HAKAN ASLAN;7;%7.19(7);37;2:28.35;10,45;
11;FINE LADY KG SK (Koşmaz);4y d k;FAVORITAS;KITTY HAWK;50;S.TIRPAN;SELİN DİKENCİK;Ş.ÖZGÜR;6;%0.1(11);14;Koşmaz;;
GANYAN(1) :13,20 TL, İKİLİ(1/2) :46,85 TL, SIRALI İKİLİ(1/2) :101,25 TL, ÜÇLÜ BAHİS(1/2/10) :323,57 TL, PLASE(1) :2,75 TL, PLASE(2) :2,35 TL, PLASE İKİLİ(1/10) :16,60 TL, PLASE İKİLİ(1/2) :38,00 TL, PLASE İKİLİ(2/10) :13,40 TL, 7. ÇİFTE(2,5/1) :17,30 TL

9. Kosu :   18:00;Maiden/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DUYGUDENİZİM KG SK;4y k k;KARAÜZÜM;YENİCELİ;55;M.AKIN AP;M.ÖMER NAUSHAD MA;D.TEKELİ;7;%48.44(1);37;1:41.32;1,85;3 Boy
2;ÇAMÖNÜ HATUNU KG K DB GKR;4y a k;DEMİRDÖVEN;REFİKA;56;ALP.OLUK AP;NAZMİ FİLİBELİ;B.ÇELTİK;3;%10.3(3);30;1:41.82;5,80;1 Boy
3;PRENSES DİDEM KG SK;4y d k;BABA MEVLÜT;TOMURCUK;56;A.YILDIZ AP;MEHMET BİRDEN;MEH.KAYA;11;%8.52(4);31;1:41.98;4,90;6 Boy
4;UÇAN KISRAK KG K DB;4y a k;UÇANOĞLU;CEMRESU;58;MER.ÇELİK;TANSEL ARSLAN;M.TEZEL;1;%21.12(2);33;1:43.06;3,10;1,5  Boy
5;SOYUALP KG K DB;4y k k;SONALP;ŞENBEDÜŞ;58;A.C.DAĞDEVİREN;M.ÖNDER ÜLGENALP;V.AKBAŞ;9;%3.05(6);19;1:43.31;13,80;
6;REŞİDE KG K;4y a k;ALİ RUHİ;KÖREBE;58;A.İNCİ;H.TARIK DİKENCİK;Ş.ÖZGÜR;6;%3.81(5);27;1:44.68;11,90;
7;MİNELİ KIZ KG DB SK;4y a k;KIBRISLI;MİNEKAYA;54;M.UYAR AP;ALİ KAYA;F.KEMAHLIOĞLU;4;%1.47(7);17;1:46.40;25,65;
8;SAHRANIN GÜLÜ KG SK;4y k k;ŞAH ŞEHRİYAR;SAHRA YILDIZI;58;A.KÜRÜNDÜK;H.TARIK DİKENCİK;Ş.ÖZGÜR;8;%0.84(5);21;1:49.16;11,90;
9;GENDAGIRLS DB SK;4y k k;TURBO;ÖZİLTER;54;S.AKŞIN AP;MEHMET BİRDEN;MEH.KAYA;5;%1.62(4);27;1:49.62;4,90;
10;PRENSES KARACA KG K DB GKR;4y k k;SARUHANAĞA;CINAR ŞAH;54;O.KIZILDAŞ AP;ŞAHNUR KARACA;M.Y.AKKEYİK;2;%0.65(8);14;1:50.94;84,25;
11;YILDIZŞERİFE (Koşmaz);4y k k;KARAÜZÜM;FİKRİYE;58;M.M.BİLGİN;SİNAN KARAMANLIOĞLU;B.ÇELTİK;10;%0.18(9);16;Koşmaz;;
[(5)PRENSES DİDEM,(3)GENDAGIRLS,] eküridir.[(7)REŞİDE],(8)SAHRANIN GÜLÜ],] eküridir.GANYAN(2) :1,85 TL, 7'Lİ PLASE(1,3/1,7/4,7/4,7/2,5/1,2/1,2,11) :27,51 TL, 2. 6'LI GANYAN(7/7/7/2,5/1/2,11) :2.695,92 TL, 2. 5'Lİ GANYAN(7/7/2,5/1/2,11) :168,20 TL, 4'LÜ GANYAN(7/2,5/1/2,11) :41,31 TL, 2. 3'LÜ GANYAN(2,5/1/2,11) :17,28 TL, İKİLİ(1/2) :4,80 TL, SIRALI İKİLİ(2/1) :6,15 TL, ÜÇLÜ BAHİS(2/1/5) :7,38 TL Çıkan 1 Atla: 1,46 TL, PLASE(1) :1,05 TL, PLASE(2) :1,05 TL, PLASE İKİLİ(1/2) :3,90 TL, PLASE İKİLİ(1/5) :8,10 TL, PLASE İKİLİ(2/5) :3,40 TL, 8. ÇİFTE(1/2) :31,75 TL

