İstanbul;(33. Yarış Günü);26/06/2022
1. Kosu :  KADIN BİNİCİ DOSTLUK KUPASI KOŞUSU 14:00;KADIN BİNİCİ; 4 ve Yukarı İngilizler; 58.00kg; 58.00 kg; 1600m; Çim;;;;Rekor Derece :1.33.05
İkramiye;;;;;Yetiştirici Primi;;;;
1.)34.500 TL;2.)13.800 TL;3.)6.900 TL;4.)3.450 TL;5.)1.725 TL;1.)5.951 TL;2.)2.381 TL;3.)1.190 TL;4.)595 TL;5.)298 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KÜÇÜK ZAMANI DB SKG SK;4y d  a;PERFECTO;GOLD DIGGER;58,5;Z.BULUT;MAHMUT KARAKEÇİ;M.Y.KILINÇ;4;;49;1:39.16;3,45;1,5  Boy
2;GOLD POLAT SK;6y a  a;KANEKO;TUĞÇE HANIM;62,5;NANCY LUFT;CUMA POLAT;MAH.BAYKARA;6 - DS;;65;1:39.36;1,95;2 Boy
3;AVIATOR KG DB SK;4y d  a;KING DAVID (USA);YANKIM;58 +0.40;CLAUDIA FLEISSNER;ERDAL GÜLLÜK;T.İMAL;1;;40;1:39.59;14,80;4 Boy
4;CANÇIKARAN KG K DB;4y k k;DEHA;DAY BY DAY;58 +2.00;MONIQUE J. LUBCKE;İBRAHİM ALTUNBAŞ;H.ALTUNBAŞ;3;;49;1:40.22;4,15;2,5 Boy
5;PEACE RUBY SKG SK;5y d  a;GOLDEN SUN;LOVE ALWAYS;61;ALINA MEYER;BARIŞ YAKUT;H.BOYRAZ;2;;55;1:40.59;4,80;
6;ANGEL OF HONOUR K;4y d k;MEHMAS (IRE);CANCAN KATY (GB);61,5;D.ATASOY;ELİF KAYA;V.KARAKUŞ;5 - DS;;60;1:46.94;8,80;
GANYAN(4) :3,45 TL, SIRALI İKİLİ(4/1) :7,85 TL

2. Kosu :  NERİMAN KOŞUSU 14:30;ŞARTLI 1/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)100.000 TL;2.)40.000 TL;3.)20.000 TL;4.)10.000 TL;5.)5.000 TL;1.)28.750 TL;2.)11.500 TL;3.)5.750 TL;4.)2.875 TL;5.)1.438 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PRENSES SYLVESTER  KG DB SK;2y d  d;MR. OWEN (USA);LADY SYLVESTER (USA);57;T.YILDIZ;SALİH YILDIZER;İ.AKKILIÇ;9 - DS;%5.22(6);;1:13.81;11,45;5 Boy
2;COURTS ANGEL SK;2y d  d;POWERSCOURT (GB);ASAIR CRAFT;57;G.YILDIZ;BAŞAK BİROL;S.AYDOĞAN;4;%11.46(5);;1:14.65;5,75;2 Boy
3;MAYRA SULTAN SK;2y k  d;NATIVE KHAN (FR);RAMBLER (GB);57;H.ÇİZİK;BARAN D. CEMİLOĞLU;B.REFİKOĞLU;5;%27.02(1);;1:14.94;2,00;4,5 Boy
