İzmir;(35. Yarış Günü);13/08/2022
1. Kosu :   16:45;ŞARTLI 4; 3 ve Yukarı İngilizler; 55.50kg; 60.00 kg; 60.00 kg; 1300m; Çim;;;;Rekor Derece :1.15.43
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;RED LUCK KG SK;4y a  a;DUTYFREE;ALTALİH;62;K.TOKAÇOĞLU;ALP Ş. EVCİMEN;C.ŞAMLI;4;%29.14(1);91;1:18.24;1,70;Yarım Boy
2;HARD FLOOD DB SKG SK;5y d  a;HAKEEM (USA);FEVZUŞ;60;A.YILDIZ AP;ŞÜKRÜYE ADIŞEN;Ş.ÖZDENİZ;1;%14.29(4);90;1:18.32;5,70;2,5 Boy
3;KARA MEHMET KG DB SK;6y d  a;KARABEYHAN (GB);REAL LOVE;60;M.M.BİLGİN;SÜLEYMAN ATİK;MEH.KAYA;7;%17.42(3);89;1:18.67;5,15;Yarım Boy
4;ŞÜKRAN HANIM DB SK;4y d k;EL CORREDOR (USA);EDOSH (IRE);50 +2.00;C.ALTUN AP;ZEKİ UYGUR;MEH.KAYA;6;%2.58(8);46;1:18.76;29,55;3 Boy
5;THE LEGEND;5y d k;AKINDAYIM (IRE);TAPO;50 +0.50;M.UYAR AP;ANNABELLA SPONZA TIRPANÇEKER;Ş.ÖZDENİZ;2;%0.85(9);24;1:19.15;40,10;
6;DUTY BEAUTY KG;4y d k;DUTYFREE;İPEK AY;56;A.C.DAĞDEVİREN;MUHAMMET ALİ TOMEY;C.ŞAMLI;3;%4.98(6);56;1:19.58;20,15;
7;YAHYAHAN KG K DB;6y a  a;BUENOS AIRES;TULAROSA (GB);60;H.KAPLAN;TALAT ÜSTÜNER;MEH.KAYA;8;%3.75(7);77;1:20.07;37,80;
8;COOL IMAGE K DB;6y d k;SCARFACE;BERVA;58;MER.ÇELİK;HÜSEYİN YILDIZ;M.ZELYURT;5;%8.41(5);62;1:21.61;10,40;
9;OĞLUM ÇELİK KG K DB;4y d  a;LUXOR;STARBUST;56 +0.40;M.ÇİÇEK;ALİ KEMAL ÇELİK;M.ZELYURT;9;%18.59(2);61;1:23.30;2,80;
GANYAN(2) :1,70 TL, İKİLİ(1/2) :6,80 TL, SIRALI İKİLİ(2/1) :10,25 TL

2. Kosu :   17:15;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
