İzmir;(11. Yarış Günü);26/01/2023
1. Kosu :   15:30;Handikap 14/DHÖW/Dişi /H2; 4 Yaşlı Araplar; kg; 1200m; Kum;;;;Rekor Derece :1.19.36
İkramiye;;;;;Yetiştirici Primi;;;;
1.)82.000 TL;2.)32.800 TL;3.)16.400 TL;4.)8.200 TL;5.)4.100 TL;1.)14.145 TL;2.)5.658 TL;3.)2.829 TL;4.)1.415 TL;5.)707 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;FİRUZE SULTAN KG K DB;4y a k;TOŞUR;BAŞTACI;60;M.ÇİÇEK;GÜLER TUZCU;Ş.GÜMÜŞ;1;%26.45(1);49;1:24.32;2,00;3 Boy
2;MİSTRAL KG K DB;4y k k;DEMİRDÖVEN;KURALSIZ;54 +2.00;K.GÖKÇE AP;FARUK ATEŞ;MEH.KAYA;10;%8.45(4);41;1:24.77;13,80;Yarım Boy
3;DUYGUDENİZİM KG SK;4y k k;KARAÜZÜM;YENİCELİ;54,5 +1.30;M.AKIN AP;M.ÖMER NAUSHAD MA;D.TEKELİ;11;%5.19(7);40;1:24.84;14,60;1,5  Boy
4;GELENCAN KG DB SK;4y k k;TAMERİNOĞLU;BUSECAN;57,5;MER.ÇELİK;MUHARREM CAN;D.TEKELİ;4;%17.87(2);44;1:25.09;3,65;Boyun
5;RUZE KG K;4y k k;TAMERİNOĞLU;SİNEMNUR;56;B.M.MIRIK;SEÇKİN ÖZBEY;SA.ÖZBEY;8;%10.64(3);41;1:25.13;7,85;
6;KAYA DE SULTAN KG DB SK;4y a k;SULTAN DE FAUST (FR);ÖRNEKKAYA;50;M.UYAR AP;MEHMET ÇEVİK;MEH.KAYA;7;%8.31(5);35;1:25.24;8,80;
7;KUMRAL TAY KG DB SK;4y d k;TÜMÖZ BEY;ARCİVAN;57;U.İRTİŞ AP;MUSTAFA ARICI;B.ÖZGÜR;3;%5.15(8);43;1:26.27;14,40;
8;MİHRİM KG DB SK;4y k k;SULTAN DE FAUST (FR);YILMAZKAYA;53,5 +2.00;İ.KALE;İBRAHİM ATAK;Ü.AYBOĞA;9;%2.4(10);36;1:26.28;24,90;
9;BEYAZ GECE KG DB SK GKR;4y k k;ESKİŞEHİRLİ;BENGİSU;52 +0.30;E.ÇİZİK AP;FERİDE KURT;E.TURAN;12;%7.58(6);39;1:27.26;15,85;
10;KALE GÖZÜ KG DB;4y d k;SONALP;ÖZBAŞAK;53,5 +0.50;A.C.DAĞDEVİREN;MERTCAN ÖZKAN;M.ÇAM;5;%2.36(11);36;1:27.42;25,60;
11;SAFİNAZ DB SK;4y d k;KARA YAĞIZ;SAFİCAN;53,5 +2.00;H.ŞİMŞEK;ORHAN DURMUŞ;H.DURMUŞ;2;%1.4(12);36;1:29.08;38,70;
12;CENNET DE FAUST K;4y a k;SULTAN DE FAUST (FR);CENNET ABLA;57,5;M.KAYİŞ AP;MEHMET ALİ ÇEVİK;R.YILDIZ;6;%4.19(9);48;1:32.83;20,35;
GANYAN(1) :2,00 TL, İKİLİ(1/5) :16,05 TL, SIRALI İKİLİ(1/5) :23,05 TL

2. Kosu :   16:00;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.38.10
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LA BOMBONERA KG K DB;3y k  e;WIN RIVER WIN (USA);GOLDEN OK;58;H.KARATAŞ;HÜSEYİN YILDIZ;S.ŞAHYAZICI;2;%49.17(1);36;1:43.57;1,50;6 Boy
2;ARUTAN DB;3y a  e;HAKKAR;LADY CHATTERLEY;58;A.KÜRÜNDÜK;BURHAN ŞEN;B.ÖZGÜR;3;%7.62(5);31;1:44.64;8,90;3 Boy
3;WINTER SONG KG DB SK;3y d  e;MUCHO MACHO MAN (USA);INTERLOCKING (USA);58;N.AVCİ;GÜNSEN SOYUPAK;M.ER;1;%8.03(4);30;1:45.06;9,65;Yarım Boy
4;GOOD WINNER KG K;3y d  e;CORINTHIAN (USA);POMEROL (USA);58;MER.ÇELİK;M.SELİM GÜLEŞEN;T.TEMİZER;5;%15.21(2);;1:45.14;3,60;5 Boy
5;AKKAYA ATEŞİ SKG SK;3y d  e;SCARFACE;SALİHLİ GÜZELİ;58;A.C.DAĞDEVİREN;ASLAN SAVAŞAN;R.AYDOĞAN;7 - DS;%3.91(7);32;1:46.09;15,35;
6;GET WIND DB SKG SK;3y a  e;SIDNEY`S CANDY (USA);ALAYEL;54 +0.20;E.ÇİZİK AP;ÜMİT DOĞAN;R.YILDIZ;4;%3.97(6);;1:46.91;20,05;
7;GALYAS CANDY KG DB SK;3y d  d;SIDNEY`S CANDY (USA);SIGNORINA STELLA;56;B.M.MIRIK;OĞUZ DAĞLAROĞLU;T.TEMİZER;6 - DS;%11.27(3);29;1:54.16;6,75;
8;CAPTAIN LEO KG;3y a  e;YILDIRIMBEY;AGENT PROVOCATEUR;58 +0.20;U.İRTİŞ AP;H.FARUK MÜDERRİSOĞLU;N.KULAK;8 - DS;%0.82(8);;1:54.20;45,90;
GANYAN(6) :1,50 TL, İKİLİ(2/6) :5,85 TL, SIRALI İKİLİ(6/2) :7,60 TL, ÜÇLÜ BAHİS(6/2/7) :12,37 TL, PLASE(2) :1,05 TL, PLASE(6) :1,05 TL, 1. ÇİFTE(1/6) :4,15 TL

3. Kosu :   16:30;SATIŞ 1; 4 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.05.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.500 TL;2.)30.600 TL;3.)15.300 TL;4.)7.650 TL;5.)3.825 TL;1.)13.196 TL;2.)5.279 TL;3.)2.639 TL;4.)1.320 TL;5.)660 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NEOS DB SK;6y d  a;YONAGUSKA (USA);LILY BOS;55 +1.70;F.YÜKSEL;ABDİ ARSLAN;T.ATEŞ;4;%22.32(2);72;2:10.41;3,85;2 Boy
2;LUCKY JUSTEN DB SKG SK;5y a  a;JUSTENUFFHUMOR (USA);I WANT LUCK;58;M.ÇİÇEK;GÖKHAN ALVEROĞLU;A.ÖKSÜZLER;6;%28.04(1);87;2:10.75;2,15;6,5 Boy
3;EĞİL ATEŞİ K GKR;7y d  a;DEĞİRMENDERELİ;SAHRA;57;N.AVCİ;ORKUN C. GÜZELBEY;U.DEMİR;1;%16.71(3);73;2:11.80;4,70;18 Boy
4;WILD OCEAN DB SKG SK;7y d  a;OFFLEE WILD (USA);KIWANI BAY (GB);54 +1.00;MER.ÇELİK;ÖZGÜR ÇİÇEK;B.BOZBEY;7;%9.65(4);41;2:14.72;7,95;3 Boy
5;LORD OF TIME SKG SK;8y d  a;SEA HERO (USA);KAMİLE SULTAN;55;O.YILDIZ;FİKRET GÜNER;F.DİZDAROĞLU;10 - DS;%6.43(5);38;2:15.17;8,70;
