İstanbul;(83. Yarış Günü);21/10/2022
1. Kosu :   17:15;ŞARTLI 5/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Çim;;;;Rekor Derece :1.29.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)31.050 TL;2.)12.420 TL;3.)6.210 TL;4.)3.105 TL;5.)1.553 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AĞA TURBO KG;3y a  e;TURBO;HÜRGÖNÜL;56;A.YILDIZ AP;TARKAN H. ONAR;HAL.YILDIZ;5 - DS;%25.86(1);59;1:34.13;1,85;Boyun
2;KASAP ENDER KG DB SK;3y a  e;KARAÜZÜM;MAVİ GÖL;57;H.KARATAŞ;YUNUS ADVAN;R.TAŞDELEN;6 - DS;%21.92(2);57;1:34.17;2,85;1,5  Boy
3;ELİTTAY KG DB SK;3y a  e;ALTAHA;HARİKA;57;G.KOCAKAYA;BİRKAN BORA AKARSU;R.PERİ;4;%21.64(3);51;1:34.45;3,55;3,5 Boy
4;ŞİRİNEFE KG DB SK;3y k  e;EFEM;ŞİRİN CANAN;57;MÜS.ÇELİK;İ.HALİL ÜNLÜ;M.ALTIN;7 - DS;%7.9(5);47;1:35.03;15,15;1,5  Boy
5;ONATKUT KG SK;3y a  e;ONURKAAN;NEDİMEM;55 +1.00;Ö.YILDIRIM;GÖRKEM GEDİKOĞLU;S.ÇİFTÇİ;3;%7.35(6);47;1:35.33;10,70;
6;SAVAŞÇITAY K DB;3y k  e;GÜNTAY;YAKINBÜKE;57 +0.20;F.ARSLAN AP;MURAT AKKILIÇ;MUR.AKKILIÇ;2;%5.9(7);54;1:35.75;15,00;
7;YAŞAREFE KG SK GKR;3y k  e;YALNIZEFE;GÜNLÜK GÜNEŞLİK;54 +2.00;A.SÖZEN;Z.MEHMET KARAKOÇ;B.KAÇMAZ;1;%9.42(4);45;Derecesiz;6,60;
GANYAN(1) :1,85 TL, İKİLİ(1/4) :4,05 TL, SIRALI İKİLİ(1/4) :7,35 TL

2. Kosu :   18:00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.70
İkramiye;;;;;Yetiştirici Primi;;;;
1.)90.000 TL;2.)36.000 TL;3.)18.000 TL;4.)9.000 TL;5.)4.500 TL;1.)25.875 TL;2.)10.350 TL;3.)5.175 TL;4.)2.588 TL;5.)1.294 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GÜÇLÜEGE SKG SK;3y k  e;TÜMÖZ BEY;EGEİNCİSİ;57;H.ÇİZİK;GÖKBERK ÇADIRCI;E.USLU;1;%7.78(4);;1:19.97;7,30;Boyun
2;ÖZARIN KG DB;3y k  e;TURBO;NİSASU;57;VEDAT ABİŞ;ARZU GÜNEŞ;E.KARAKÖLEOĞLU;5;%11.64(3);31;1:20.02;3,35;2,5 Boy
3;AKSANCAR DB;3y a  e;AYABAKAN;KORİST;57;A.ÇELİK;ARİF ÇELİK;F.TURAN;3;%25.45(2);34;1:20.46;3,20;1 Boy
4;DİYATOME KG DB SK;3y k  e;YAŞARCIK;FATİNE HANIM;54;A.YILDIZ AP;MURAT AKKILIÇ;MUR.AKKILIÇ;2;%2.96(7);;1:20.58;28,85;2 Boy
5;İNEBOLU KG SK;3y a  e;KAIZBERT (RU);RÜYA HANIM;57;MÜS.ÇELİK;GÜLSÜN TAŞKIRAN;C.TURAN;9;%36.49(1);;1:20.88;1,70;
6;SAVABAR KG K DB;3y a  e;GÜNTAY;REYHAN HANIM;57 +0.50;M.KAYA;HAKKI YAZICI;A.ALÇİÇEK;6;%5.95(5);;1:21.46;12,00;
7;ŞİMŞEK İZİ DB SK;3y k  e;SONALP;YEŞİLÇAY;57;G.ÖZÇELİK;ARZU GÜNEŞ;E.KARAKÖLEOĞLU;8;%4.03(3);39;1:22.24;3,35;
8;DENİZ HAT KG SK;3y k  e;UÇARLIM;ESENAY;57;F.YÜKSEL;SİNAN KORKMAZ;M.ALTIN;4;%1.4(8);15;1:22.43;24,65;
9;MAVİ SAKAL KG DB SK GKR;3y k  e;HABERBATUR;DİLRUBA SULTAN;57;E.ÇANKAYA;SUAT YILMAZ;E.ÇUKURKAŞ;7;%4.3(6);33;1:23.12;17,40;
[(7)ÖZARIN,(9)ŞİMŞEK İZİ,] eküridir.GANYAN(4) :7,30 TL, İKİLİ(4/7) :34,50 TL, SIRALI İKİLİ(4/7) :71,75 TL, ÜÇLÜ BAHİS(4/7/1) :74,41 TL, PLASE(4) :12,00 TL, PLASE(7) :5,60 TL, 1. ÇİFTE(1/4) :25,85 TL

3. Kosu :   18:30;SATIŞ 1; 3 ve Yukarı İngilizler; 57.50kg; 60.00 kg; 60.00 kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)69.000 TL;2.)27.600 TL;3.)13.800 TL;4.)6.900 TL;5.)3.450 TL;1.)11.903 TL;2.)4.761 TL;3.)2.381 TL;4.)1.190 TL;5.)595 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PAYİDAR DB SKG SK;3y d  e;SMART ROBIN (JPN);AMAZING GRACE;57,5;D.KAYA;EMRE KİSBU;SU.ÖZKAN;2;%2.02(7);13;1:31.56;29,40;Boyun
2;PIPES OF PEACE;3y d  e;ASTRAKHAN;MANAROLA;57,5;G.ÖZÇELİK;LALE M. ATMAN;MET.ACAR;6;%6.54(6);21;1:31.60;11,65;4 Boy
3;CASTLE RISING KG DB;4y d  a;POPULAR DEMAND;DUYGULU (GB);55 +1.40;E.ÇANKAYA;CEMAL TURAN;H.TURAN;3;%8.61(5);49;1:32.37;7,85;2 Boy
4;KINGS IMPACT DB SK;4y d  g;SMART ROBIN (JPN);SAFİRA;60;VEDAT ABİŞ;ÇİĞDEM ZURNACI;E.KARAKÖLEOĞLU;5;%22.02(2);52;1:32.68;3,10;Boyun
5;LORD OF TIME SKG SK;7y d  a;SEA HERO (USA);KAMİLE SULTAN;60;A.ASLAN;FİKRET GÜNER;F.DİZDAROĞLU;9 - DS;%11.32(4);37;1:32.73;7,30;
6;JOSELITO  KG SK GKR;3y a  e;DAI JIN (GB);UNLUCKY STAR;57,5;B.ÇIĞLA AP;FİKRET GÜNER;F.DİZDAROĞLU;4;%1.48(4);;1:33.43;7,30;
7;MY CHOICE K DB;3y d  d;TEMSİL;MYBELLE;55,5 +0.50;A.SÖZEN;ALİM CEMAL KURA;T.ŞİT;1;%21.63(3);28;1:34.77;2,75;
8;FIDELIO KG DB;3y k  d;NATIVE KHAN (FR);SWEET ERIN (USA);53,5;M.HAMEDİ;SERTAÇ KILIÇ;Ş.GÖKÇE;7;%1.24(8);13;1:34.79;35,95;
9;LEO KİP DB SKG SK;3y a  e;RED GIANT (USA);SABİRE;57,5;MÜS.ÇELİK;ALİ BİBER;BÜN.POLAT;8;%25.13(1);42;1:35.24;2,20;
[(2)LORD OF TIME,(3)JOSELITO ,] eküridir.GANYAN(5) :29,40 TL, İKİLİ(5/6) :79,85 TL, SIRALI İKİLİ(5/6) :272,15 TL, ÜÇLÜ BAHİS(5/6/9) :990,64 TL, PLASE(5) :5,20 TL, PLASE(6) :5,15 TL, 2. ÇİFTE(4/5) :307,75 TL

4. Kosu :   19:00;Handikap 15/Dişi /H1; 3 ve Yukarı İngilizler; kg; 2100m; Sentetik;;;;Rekor Derece :2.09.23
İkramiye;;;;;Yetiştirici Primi;;;;
1.)91.000 TL;2.)36.400 TL;3.)18.200 TL;4.)9.100 TL;5.)4.550 TL;1.)15.698 TL;2.)6.279 TL;3.)3.140 TL;4.)1.570 TL;5.)785 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SPELLBINDER SK;3y d  d;NATIVE KHAN (FR);DOKU;58;VEDAT ABİŞ;Z.DİDEM GÖDEK;T.İBİŞ;1;%23.34(1)  %23.31(1);44;2:14.83;1,90;Yarım Boy
2;COUPAGE KG K;4y d k;WIENER WALZER (GER);HANGEL;58,5;İS.YILDIRIM AP;SÜRİYE ALTUNBAŞ;SU.ÖZKAN;5;%5.52(7)  %5.86(7);44;2:14.90;13,95;1 Boy
3;WINTER SUNSHINE DB SK;3y a  d;PRACTICAL JOKE (USA);RHINESHARK (USA);59,5;K.DEMİREL AP;GÜNSEN SOYUPAK;H.YÜZBAŞI;7;%10.67(3)  %10.15(3);53;2:15.08;6,80;1 Boy
4;PRINCESS GRASE DB SK;4y a k;CAPTAIN RIO (GB);GRAND LARA;59;B.ÇIĞLA AP;SABRİ BEKTAŞ;S.BEKTAŞ;4;%4.96(8)  %5.47(8);43;2:15.23;13,45;1 Boy
5;ARK ROYAL KG SK;5y d k;YOUMZAIN (IRE);FAIT ACCOMPLI (GER);63;H.ÇİZİK;NURGÜL SARUHAN;S.ÇITAK;8;%7.99(4)  %8.17(5);47;2:15.36;7,30;
6;HONEYMOON KG K;3y d  d;TOROK (IRE);PRIZE MOMENT (USA);56;G.ÖZÇELİK;MERT BAYIR;T.ŞİT;2;%7.16(5)  %8.58(4);40;2:15.40;7,65;
7;QUEEN AYÇA DB SK;3y d  d;EL CORREDOR (USA);GHOST MOUNTAIN;59,5;H.YOLAÇICI AP;MURAT ÇİÇEK;A.DEMİRKIRAN;3;%6.45(6)  %6.88(6);53;2:16.06;10,90;
8;ANADOLU AŞIĞI KG DB SK;3y d  d;VICTORY GALLOP (CAN);ROKOKO;59,5;H.KARATAŞ;T. İZZET AKSOY;A.TEPEBAŞI;9;%19.84(2)  %18(2);47;2:19.14;2,70;
9;WIN MY HEART KG SK (Koşmaz);3y d  d;WIN RIVER WIN (USA);ALY GIRL;54;F.YÜKSEL;HÜSEYİN YÜKSEL;A.ÖZTÜRK;6;%14.06(9)  %13.58(9);36;Koşmaz;5,60;
GANYAN(6) :1,90 TL, İKİLİ(5/6) :16,15 TL, SIRALI İKİLİ(6/5) :22,05 TL, 3. ÇİFTE(5/6) :139,20 TL

5. Kosu :   19:30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.70
İkramiye;;;;;Yetiştirici Primi;;;;
1.)90.000 TL;2.)36.000 TL;3.)18.000 TL;4.)9.000 TL;5.)4.500 TL;1.)25.875 TL;2.)10.350 TL;3.)5.175 TL;4.)2.588 TL;5.)1.294 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CANASLANIM KG K;3y k  e;BATURŞAH;TORUL;57;H.KARATAŞ;OĞUZ YILMAZ;S.ÇİFTÇİ;9;%28.43(1)  %24.98(1);;1:20.44;2,20;Yarım Boy
2;KIZGIN KRAL KG K;3y k  e;BABA MEVLÜT;BLUE VELVET;57;Ö.YILDIRIM;GÖRKEM GEDİKOĞLU;S.ÇİFTÇİ;2;%19.39(2)  %19.37(2);;1:20.50;3,55;5 Boy
3;MÜRAVİ KG K DB;3y k  e;KARAÜZÜM;KORKUT EBRU;57;A.ÇELİK;MEHMET SARP;Ş.AKDUMAN;1;%19.22(3)  %17.48(3);37;1:21.32;4,00;1 Boy
4;ERTEKİNBEY KG K DB;3y a  e;ALTAHA;DİYARKIZI;54;A.YILDIZ AP;OZAN TANİYİT;GÜV.GÖKÇE;8;%1.88(8)  %2.73(8);;1:21.47;41,50;Boyun
5;İZABEL KG DB SK;3y k  d;BUZKAYA;AL WASSEN;57;F.ARSLAN AP;AHMET KAYA;S.AYDOĞAN;7;%3.15(6)  %4.41(6);36;1:21.51;17,05;
6;IŞIK GECE KG DB SK;3y k  e;BABA MEVLÜT;YEŞİLGÖZLÜ;57;VEDAT ABİŞ;MEHMET DOĞAN;M.AKBULUT;3;%17.82(4)  %16.94(4);;1:21.77;5,80;
7;KAHYATAY KG K;3y a  e;UÇANOĞLU;SELVİHAN;57;M.S.ÇELİK;AHMET KORKMAZ;E.ÇETİNKURT;4;%5.68(5)  %7.92(5);;1:23.27;4,25;
8;SAMAMCA KG;3y k  e;CANBERKTAY;ÇAĞLAYIK;57 +0.50;M.KAYA;İSMAİL YILMAZ;B.AVCI;6;%2.63(7)  %3.7(7);;1:24.02;26,85;
9;İLTERBEY KG K DB;3y a  e;TURBO;SEVDACAN;53;H.YOLAÇICI AP;ABDULLAH AKDEMİR;T.İBİŞ;5;%1.79(9)  %2.47(9);;1:32.32;29,70;
GANYAN(1) :2,20 TL, 1. 3'LÜ GANYAN(5/6,9/1) :106,33 TL, İKİLİ(1/6) :4,90 TL, SIRALI İKİLİ(1/6) :8,65 TL, ÜÇLÜ BAHİS(1/6/7) :7,22 TL, PLASE(1) :2,45 TL, PLASE(6) :2,05 TL, 4. ÇİFTE(6/1) :7,60 TL

6. Kosu :  GÜNEN ÖKTEN KOŞUSU 20:00;KV-9; 2 Yaşlı İngilizler; 57.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;1.)60.375 TL;2.)24.150 TL;3.)12.075 TL;4.)6.038 TL;5.)3.019 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DAGMAR KG SK;2y d  e;THREE VALLEYS (USA);GIPSY QUEEN;57;VEDAT ABİŞ;ARZU GÜNEŞ;R.PERİ;6 - DS;%82.13(1)  %76.74(1);83;1:30.56;1,05;3 Boy
2;MY PRETTY GIRL DB;2y d  d;KAFKASLI;KISRAĞIM;56 +1.40;M.KAYA;ELİF KAYA;V.KARAKUŞ;2;%7.78(2)  %9.53(2);71;1:31.04;4,15;5,5 Boy
3;ZERTAS DB SKG SK;2y d  e;TALIP HAN (IRE);ASTANA;57;Ö.YILDIRIM;SUZANA MAMEDOVA;O.SEZİK;3;%3.42(3)  %4.77(3);61;1:32.15;9,55;2 Boy
4;ALPARSLAN BEY DB SKG SK;2y k  e;GENERAL QUARTERS (USA);SAILINGINFORTHEWIN (USA);57;A.ÇELİK;NEDİM KİSBU;N.ALAGEYİK;5;%2.98(4)  %4.13(4);42;1:32.50;9,95;6 Boy
5;ALŞAHİN KG SK SGKR;2y d  e;GÜNGÖR BABA;SABUR;57;MÜS.ÇELİK;HÜSEYİN KAYA;N.ASLANSOY;1;%2.32(5)  %3.04(5);53;1:33.62;14,45;
6;CENTAURUS SKG SK;2y d  e;RAMPOLDI;SONG BIRD;57;BURAK AKÇAY AP;DAVUT SAV;E.USLU;4;%1.37(6)  %1.8(6);54;1:36.96;24,95;
GANYAN(4) :1,05 TL, 1. 6'LI GANYAN(1/4/5/6,9/1/4) :1.947,50 TL, 1. 5'Lİ GANYAN(4/5/6,9/1/4) :452,71 TL, SIRALI İKİLİ(4/6) :2,15 TL, 5. ÇİFTE(1/4) :3,25 TL

7. Kosu :  ANADOLU HİSARI KOŞUSU 20:30;KV-7/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)150.000 TL;2.)60.000 TL;3.)30.000 TL;4.)15.000 TL;5.)7.500 TL;1.)34.500 TL;2.)13.800 TL;3.)6.900 TL;4.)3.450 TL;5.)1.725 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AFŞAR KG K;4y a  a;AYABAKAN;İLK KIZ;61;Ö.YILDIRIM;ABDULVAHAP GÜNEŞ;Y.DEMİRKIRAN;4;%27.2(1);90;2:09.10;1,85;3 Boy
2;ÖZALBEY SK;4y a  a;ÖZHABER;ASUDE;58;A.ÇELİK;OZAN KAYNARCA;ŞAFAK GÜMÜŞ;6;%15.49(3);76;2:09.53;5,05;Baş
3;GEBZE GÜZELİ KG K DB;4y d k;BABA MEVLÜT;ARTVİN GÜZELİ;59;H.ÇİZİK;TAYLAN TOSUNOĞLU;E.ÇUKURKAŞ;1;%21.9(2);84;2:09.57;3,25;6,5 Boy
4;ŞAH DRAGON KG DB SK;4y a  a;ŞAH ŞEHRİYAR;LAPİS;61;E.ÇANKAYA;H.TARIK DİKENCİK;M.ÖZGÜL;7;%13.01(4);83;2:10.64;5,30;5 Boy
5;KESKİN TAY KG K;4y k  a;DOĞANGÜN;KAR GÜZELİ;54;G.ÖZÇELİK;ŞAFAK BATMAZ;E.ERGÜNAY;3;%4.26(7);43;2:11.52;20,00;
6;LEONİDAS SKG SK;4y d  a;ŞAMİLBEY;BUZDENİZİ;62;G.KOCAKAYA;METE ÇELİK;E.KOCA;5;%8.38(6);90;2:12.70;8,60;
