İstanbul;(17. Yarış Günü);20/05/2022
1. Kosu :  SANCAKBEYİ KOŞUSU 17:15;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Sentetik;;;;Rekor Derece :1.17.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)100.000 TL;2.)40.000 TL;3.)20.000 TL;4.)10.000 TL;5.)5.000 TL;1.)28.750 TL;2.)11.500 TL;3.)5.750 TL;4.)2.875 TL;5.)1.438 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TAŞTEPE KG;3y a  e;KARA YAĞIZ;BURGAZLIM;57;A.ÇELİK;CUMHUR BALKAROĞLU;Ş.GÖKÇE;3;%11.14(3);;1:24.79;7,60;1,5  Boy
2;YUSUFCUK KG DB SK;3y a  e;ATEŞTOPU;MEVHİBE;57;F.ARSLAN AP;RAMAZAN BAĞ;EN.TOKÇALAR;6;%1.29(9);;1:25.03;51,45;2 Boy
3;KİLEYİK KG DB;3y d  e;KARA YAĞIZ;ÖZGÜR NAZ;57;GÖKH.GÖKÇE;ERKAN YAYMAN;ŞÜK. ÇELİK;2;%7.64(5);;1:25.33;13,10;Yarım Boy
4;GÜÇALP KG SK;3y a  e;ATEŞTOPU;HAKİKAT;57 +0.70;M.KAYA;ÖZGÜR DEMİR;MEH.KAYA;10;%9.5(4);;1:25.47;7,40;1,5  Boy
5;CEBEBEY KG;3y a  e;ARASLI;SEVİNÇKAN;57;VEDAT ABİŞ;TARKAN H. ONAR;HAL.YILDIZ;5;%38.87(1);;1:25.70;1,45;
6;VAHŞİ ÇOCUK KG K;3y k  e;ŞİMŞEĞİNOĞLU;KÜÇÜK DÜNYA;57;M.S.ÇELİK;MUHAMMET FELHAN;F.DEMİR;1;%2.6(8);;1:26.56;30,80;
7;ŞİMŞEK İZİ BB;3y k  e;SONALP;YEŞİLÇAY;57;Ö.YILDIRIM;ARZU GÜNEŞ;E.KARAKÖLEOĞLU;9;%19.88(2);;1:30.06;4,05;
8;AFFETMEZ KG SK;3y a  e;TURBO;CANABAKAN;57;F.YÜKSEL;ESEN KARANLIK;Ö.GÜNELİ;4;%3.48(7);;1:31.93;19,55;
9;AKTANIŞ KG SK;3y k  e;YAKUPBEY;SAPHA.35;57;D.KAYA AP;HALİL YILDIZ;AT.GÖKÇE;7;%1.09(10);;1:32.07;76,20;
10;DORUKHANBEY KG;3y a  e;ULUER;GÖZÜN AYDIN;57;G.ÖZÇELİK;ADNAN GELEN;M.SOYKUVVET;8;%4.5(6);;1:32.93;22,90;
GANYAN(8) :7,60 TL, İKİLİ(8/10) :282,70 TL, SIRALI İKİLİ(8/10) :275,60 TL

2. Kosu :   17:45;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1900m; Çim;;;;Rekor Derece :1.52.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)60.000 TL;2.)24.000 TL;3.)12.000 TL;4.)6.000 TL;5.)3.000 TL;1.)10.350 TL;2.)4.140 TL;3.)2.070 TL;4.)1.035 TL;5.)518 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CHEEKY SON SK;3y d  e;INVINCIBLE SON (IRE);CHEEKY DOE;56;Ö.YILDIRIM;DURSUN KONUKCU;AT.GÖKÇE;7;%14.29(3);43;1:56.88;4,00;5 Boy
2;GRAY PIRATE DB SKG SK;3y k  e;GÜNGÖR BABA;MERCANKIZ;58;MÜS.ÇELİK;AHMET ÖZGÜR YAHLİZADE;G.TOPBAŞ;5;%7.97(4);50;1:57.68;11,25;Boyun
3;DAME TIME SK;3y d  e;VICTORY GALLOP (CAN);LAUD (USA);55;VEDAT ABİŞ;İSMAİL HADİOĞLU;A.KÜÇÜKAKSOY;9 - DS;%6.17(5);54;1:57.72;10,65;Baş
4;FLYING NUN;3y d  d;LUXOR;FLYING SAUCER;56;H.KARATAŞ;MUAMMER KİTAPÇI;Y.GÜRSÖĞÜT;8;%42.54(1);52;1:57.74;1,65;3 Boy
5;ANOTHER BREEZE KG DB SK;3y d  e;INVINCIBLE SON (IRE);DERYA SULTAN;55 +1.20;A.ÇELİK;NİMET ARİF KURTEL;H.DEMİR;1;%16.27(2);46;1:58.19;4,70;
6;ANABELLA DB SK;3y d  d;KANEKO;SWEETEST;56;GÖK.BEKTAŞ;MURAT ERŞAHİN;H.ACAR;4;%2.45(8);39;1:58.35;30,75;
7;SAHRA SULTAN SK;3y d  d;NATIVE KHAN (FR);BİCİ BİCİ;54 +1.80;H.ÇİZİK;BARAN D. CEMİLOĞLU;B.REFİKOĞLU;2;%5.05(6);42;2:00.07;13,55;
8;SUSKUN PRENS K DB;3y d  e;APPROVE (IRE);FERİDE ANA;55;G.ÖZÇELİK;SÜLEYMAN TAŞDEMİR;A.TEKDEMİR;6;%2.44(9);49;2:00.21;26,60;
9;GENCERHAN KG SK;3y d  e;GENERAL QUARTERS (USA);MAYA KISKA;55 +0.90;F.YÜKSEL;CUMHUR ÇİNPOLAT;N.GENÇER;3;%2.82(7);40;2:00.92;18,05;
GANYAN(3) :4,00 TL, İKİLİ(1/3) :25,20 TL, SIRALI İKİLİ(3/1) :45,95 TL, ÜÇLÜ BAHİS(3/1/6) :60,67 TL, PLASE(1) :3,55 TL, PLASE(3) :1,70 TL, 1. ÇİFTE(8/3) :46,40 TL

3. Kosu :   18:30;ŞARTLI 5/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1500m; Sentetik;;;;Rekor Derece :1.38.17
İkramiye;;;;;Yetiştirici Primi;;;;
