İstanbul;(46. Yarış Günü);27/07/2022
1. Kosu :   14:00;Handikap 15 /H1; 3 Yaşlı İngilizler; kg; 2400m; Çim;;;;Rekor Derece :2.26.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CAPTAIN AMERICA KG DB;3y d  e;VICTORY GALLOP (CAN);MEMPHIS BELLE (GB);54,5;VEDAT ABİŞ;TAYLAN ARSLAN;M.ÖRTÜNÇ;2;%26.28(2);41;2:35.56;2,15;1,5  Boy
2;OKLAHOMA DB SKG SK;3y a  e;TALIP HAN (IRE);AYŞA;59;A.ÇELİK;İSMAİL HADİOĞLU;A.KÜÇÜKAKSOY;6;%20.88(3);50;2:35.74;3,15;Boyun
3;GRAY PIRATE DB SKG SK YP;3y k  e;GÜNGÖR BABA;MERCANKIZ;61,5;G.KOCAKAYA;AHMET ÖZGÜR YAHLİZADE;A.KURT;4;%11.85(4);55;2:35.78;5,60;1,5  Boy
4;POWERSHIP KG K ÖG;3y d  e;THREE VALLEYS (USA);VIZIYYA (FR);61;Ö.YILDIRIM;ALİ DOBAK;D.ERGİN;1;%33.68(1);54;2:35.99;2,00;2 Boy
5;GÖZKEMALHAN DB;3y d  e;HARD WORKER;ASEYLÜL;56,5 +0.20;A.AKDEMİR AP;ALİ GÖZKEMAL;M.E.SARIDAL;3;%4.57(5);49;2:36.32;15,45;
6;İZOLE KG DB SK;3y d  d;LUXOR;ATLANTIC HIGH (GB);51 +0.80;E.KADİRLER AP;MUTLU T. BALYEMEZ;T.ATEŞ;5;%2.74(6);36;2:37.43;25,30;
GANYAN(5) :2,15 TL, SIRALI İKİLİ(5/3) :7,75 TL

2. Kosu :   14:30;ŞARTLI 4/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GEBZE GÜZELİ KG K DB;4y d k;BABA MEVLÜT;ARTVİN GÜZELİ;58;Ö.YILDIRIM;TAYLAN TOSUNOĞLU;H.BOYRAZ;3;%23.9(2);46;2:21.14;3,05;6 Boy
2;DİLANUR DB;4y a k;ÖZGÜNHAN;TAMUN;54;E.KADİRLER AP;İSMAİL YILMAZ;B.AVCI;4;%2.96(6);32;2:22.22;22,70;4 Boy
3;AYGÜNÖL KG DB SK;4y a k;KAIZBERT (RU);TAKI;51 +1.00;C.ALTUN AP;MEHMET ÇELİK;E.KOCA;6;%5.55(5);37;2:22.92;8,75;2,5 Boy
4;DİLOY KG SK;4y d k;GELİBOLU;İNCİLAY;60;A.SÖZEN;HÜLYA KEÇELİOĞLU;E.USLU;5;%41.74(1);58;2:23.35;1,35;2,5 Boy
5;PRENSES LİNA KG DB SK;4y a k;HİSARBEY;ALAZİYE;58;M.ÇİÇEK;ERGÜN FIRAT;M.ACAR;2;%17.72(3);56;2:23.80;4,35;
6;MELTEM RÜZGARI KG DB GKR;4y a k;OYMAKBEYİ;AGAFE;56;E.AKTUĞ AP;FEYZİ GÖNÜLTAŞ;C.GÖNÜLTAŞ;1;%7.41(4);46;2:25.25;8,85;
7;MISS TEZENE KG DB SK;4y d k;BABA MEVLÜT;ASİLKIZ;52 +1.70;B.ÇIĞLA AP;ERGÜN FIRAT;M.ACAR;7 - DS;%0.72(3);30;2:39.32;4,35;
[(5)PRENSES LİNA,(6)MISS TEZENE,] eküridir.GANYAN(3) :3,05 TL, İKİLİ(2/3) :30,05 TL, SIRALI İKİLİ(3/2) :66,55 TL, ÜÇLÜ BAHİS(3/2/7) :65,95 TL, 1. ÇİFTE(5/3) :7,55 TL

3. Kosu :   15:00;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1300m; Çim;;;;Rekor Derece :1.15.79
İkramiye;;;;;Yetiştirici Primi;;;;
1.)75.000 TL;2.)30.000 TL;3.)15.000 TL;4.)7.500 TL;5.)3.750 TL;1.)21.563 TL;2.)8.625 TL;3.)4.313 TL;4.)2.156 TL;5.)1.078 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;COURTS ANGEL SK;2y d  d;POWERSCOURT (GB);ASAIR CRAFT;55 +0.50;G.YILDIZ;BAŞAK BİROL;S.AYDOĞAN;3;%28.03(2);;1:18.90;2,15;Yarım Boy
2;ROMANTIC BALLET K;2y d  d;NATIVE KHAN (FR);BALLERINA POINTE (GB);55;G.KOCAKAYA;V.İBRAHİM ARACI;S.BİLGİÇ;5;%21.22(3);;1:18.99;3,95;4,5 Boy
3;JEFE DE JEFES SK;2y d  e;PAPA CLEM (USA);SHIBUYA;57;A.ÇELİK;GÜLİZAR YANIK;C.KATI;4;%30.85(1);38;1:19.73;1,75;1,5  Boy
4;COTE D AZUR KG;2y a  d;CRIMEAN TATAR;MISS DENNIS;55 +1.00;Ö.YILDIRIM;BÜLENT YILDIRIM;E.ÇUKURKAŞ;2;%9.87(4);;1:19.93;8,45;3,5 Boy
5;PLUS ULTRA;2y d  e;LION HEART (USA);PİANO PİANO;57;MÜS.ÇELİK;FURKAN ÇALIŞKAN;M.F.ATCI;1;%7.65(5);;1:20.50;8,95;
6;KAYRALARA KG K;2y d  d;THREE VALLEYS (USA);INSPIRATION;55;A.ASLAN;VOLKAN ATİK;ŞÜK. ÇELİK;6;%2.38(6);;1:24.63;32,55;
GANYAN(4) :2,15 TL, SIRALI İKİLİ(4/6) :7,60 TL, 2. ÇİFTE(3/4) :7,50 TL

4. Kosu :   15:30;ŞARTLI 5/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.00 kg; 1300m; Sentetik;;;;Rekor Derece :1.23.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)90.000 TL;2.)36.000 TL;3.)18.000 TL;4.)9.000 TL;5.)4.500 TL;1.)15.525 TL;2.)6.210 TL;3.)3.105 TL;4.)1.553 TL;5.)776 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;OZGAN KG DB SK;5y a  a;KAIZBERT (RU);GÖBÜ;59;T.YILDIZ;İSKENDER DEMİRCİ;H.DEMİRBAŞ;6;%14.51(4)  %14.24(4);84;1:28.03;4,10;1,5  Boy
2;GÜMÜŞKESEN KG;8y k  a;TURBO;GÜL TUNCA;59;VEDAT ABİŞ;ÇETİN ARSLAN;E.KOCA;9 - DS;%8.87(6)  %8.46(6);87;1:28.25;9,85;3 Boy
3;GURBET ATEŞİ KG K DB;6y a k;ATEŞTOPU;GURBETKUŞU;51 +2.00;A.YILDIZ AP;EYLEM TANİYİT;OL. AKTÜRK;7;%5.94(7)  %5.79(7);79;1:28.82;14,40;Yarım Boy
4;BANA MÜSADE DB YP;6y d  a;KAIZBERT (RU);IŞINSOY;59;G.KOCAKAYA;ERSAN ÇALIK;E.KOCA;3;%18.32(2)  %19.6(2);77;1:28.90;2,45;2 Boy
5;BANGIRBANGIR KG K DB;5y a  a;KAIZBERT (RU);YAMALI;55 +1.30;M.ÇİÇEK;ŞEMSETTİN TOYDEMİR;Y.KARAKÜÇÜK;4;%5.03(1)  %4.98(1);94;1:29.21;4,05;
6;RUSDAMAT KG SK;8y a  a;KAIZBERT (RU);HASMİN;59;O.GÖKÇE;ŞEMSETTİN TOYDEMİR;Y.KARAKÜÇÜK;2;%15.44(1)  %14.73(1);94;1:29.48;4,05;
7;TEKAŞKIM KG K;4y a k;KAIZBERT (RU);ÇAĞLA SULTAN;52 +2.00;MÜS.ÇELİK;HAKAN DEMİRKAYA;EN.KARATAŞ;1;%12.53(5)  %13.3(5);82;1:31.38;5,55;
8;MAVRA KG SK;8y k  a;KAIZBERT (RU);SİBELİN KIZI;59;M.AKYAVUZ;MEHMET ÇELİK;E.KOCA;5;%16.91(3)  %16.6(3);96;1:31.57;3,80;
9;BABACANDIR KG SK;5y a  a;UÇANOĞLU;BUSECAN;53 +1.00;E.AKTUĞ AP;HAYATİ CAN;A.R.YILDIZ;8 - DS;%2.45(8)  %2.3(8);73;1:32.32;26,50;
