İzmir;(12. Yarış Günü);28/01/2022
1. Kosu :   19:00;ŞARTLI 3/DHÖW /X; 4 Yaşlı Araplar; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)52.500 TL;2.)21.000 TL;3.)10.500 TL;4.)5.250 TL;5.)2.625 TL;1.)9.056 TL;2.)3.623 TL;3.)1.811 TL;4.)906 TL;5.)453 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ZAFİR KG DB SK;4y a  a;DEMİRDÖVEN;MELTEMCAN;58;GÖKH.GÖKÇE;CAN ERBAK;R.AYDOĞAN;9 - DS;%16.38(2);38;1:58.69;3,95;1 Boy
2;AKDENİZ RÜZGARI KG DB SK;4y a k;ÖZGÜNHAN;SÜHUNET;58;H.KAPLAN;MÜJDAT ERTOP;F.KEMAHLIOĞLU;3;%3.88(9);38;1:58.89;16,90;5 Boy
3;BABAM BENİM KG SK;4y a  a;UÇANOĞLU;BOSNALI;55 +1.10;K.GÖKÇE AP;ENGİN TEPE;Y.AÇIL;2;%7.09(6);36;1:59.63;14,45;1 Boy
4;JON DERE KG DB SK;4y a  a;JOKER;ZERNİŞAN;58;Ç.OK;NECMETTİN POLAT;HAL.KAYA;1;%12.84(4);40;1:59.82;5,35;2 Boy
5;TUNÇŞAH KG DB SK;4y a  a;HABERBATUR;TUNÇKAYA;58;O.YILDIZ;YUSUF KÜREM;HAL.KAYA;7;%5.63(7);36;2:00.19;16,20;
6;ASLANIM KG SK;4y a  a;SARRAF;CANKUŞUM;56;E.AKTUĞ AP;ERKAN BAL;Z.TURĞUL;5;%9.09(5);37;2:00.20;11,25;
7;MİKSER KG K DB;4y k  g;TURBO;CAN ZEHRA;58;ADEM ŞEN;MEHMET BİRDEN;MEH.KAYA;6;%5.37(8);35;2:01.10;17,50;
8;KOCA DAĞ KG DB SK;4y k k;TURBO;GAYE HANIM;56;N.AVCİ;GÜNSEN SOYUPAK;A.A.ZÜMBÜLLER;8 - DS;%23.4(1);38;2:13.77;2,20;
9;VANGA SKG SK;4y a k;TUNCAL;KÖREBE;53 +2.00;Z.KARABULUT AP;H.TARIK DİKENCİK;Ş.ÖZGÜR;10 - DS;%1.67(10);33;2:14.27;40,50;
10;ŞEKER TURBO KG DB SK;4y a  a;TURBO;BERKSU;58;M.ÇİÇEK;REYHAN ŞEKER;KAY.ALTINÖZ;4;%14.64(3);36;2:14.90;5,50;
GANYAN(8) :3,95 TL, İKİLİ(2/8) :55,10 TL, SIRALI İKİLİ(8/2) :77,00 TL

2. Kosu :   19:30;Handikap 15/DHÖW/Dişi /H1; 4 ve Yukarı Araplar; kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KÜŞİ KG K DB;6y a k;BERKAY EFE;HALİDE;57;G.ÖZÇELİK AP;FERİT MENGİ;B.ÖZGÜR;7;%14.2(3);52;1:56.14;3,65;Baş
2;PORSUK KIZI KG DB;6y k k;BALIKHAN;ZÜLA HANIM;59,5;BERKANT GÖKÇE AP;İ.SUAT KUTLU;M.MEHMET İNAL;6;%12.36(4);61;1:56.17;6,20;2 Boy
3;ESMERGÖZ KG DB SK;6y k k;YAŞARCIK;ESMERGÜL;57;G.KOCAKAYA;MEHMET BİRDEN;MEH.KAYA;9;%21.26(1);50;1:56.48;2,85;2 Boy
4;KUĞU GÜZELİ KG DB;9y k k;CAŞ;KUĞU;53,5 +0.80;O.YILDIZ;SELİN DİKENCİK;Ş.ÖZGÜR;1;%6.12(5);43;1:56.82;7,10;5 Boy
5;ERGENELİ KIZ KG K GKR;5y k k;BERKSOY;BERKSU;50 +2.00;O.KIZILDAŞ AP;REYHAN ŞEKER;KAY.ALTINÖZ;12 - DS;%0.83(6);32;1:57.66;8,95;
6;ORKİ DB;6y a k;SARUHANAĞA;SABUR ABLA;50 +2.00;A.C.DAĞDEVİREN;HASAN PEHLİVAN;Ş.ÇELİK;8;%3.62(8);32;1:59.27;21,05;
7;UÇANYUMAK KG K;5y a k;UÇANOĞLU;ALTINYUMAK;50,5 +2.00;B.M.MIRIK;AYHAN AKTAŞ;F.ATCI;2;%9.26(7);37;2:00.96;9,35;
8;FADİK KG SK;6y d k;HIZLITAY;ALGUFRE;61;Z.KARABULUT AP;H.TARIK DİKENCİK;Ş.ÖZGÜR;5;%5.86(5);62;2:01.63;7,10;
9;AKÇATI KG DB;5y a k;UÇANOĞLU;SONAT;56;N.AVCİ;MELİS KURTEL EMİN;A.A.ZÜMBÜLLER;4;%14.76(2);48;2:03.33;5,35;
10;GÜLÇİL KG;5y a k;ORÇUN;ALMİMRUHİYE.26;50 +1.50;E.AKTUĞ AP;SALİH TEKECİ;İ.ALTINÖZ;10;%2.4(9);26;2:04.66;27,40;
11;HAYALEDEN KG K DB;5y a k;KAIZBERT (RU);CAN NUR;50 +1.80;M.B.ÖNCEL AP;GÖRKEM GEDİKOĞLU;U.TUNAY;11 - DS;%0.76(10);26;2:06.77;63,75;
12;PİŞKİN KIZ KG K;7y a k;AYABAKAN;YEKPARE;59;K.GÖKÇE AP;REYHAN ŞEKER;KAY.ALTINÖZ;3;%8.59(6);58;2:07.30;8,95;
