İstanbul;(4. Yarış Günü);19/04/2023
1. Kosu :   14:00;Handikap 15/DHÖW/Dişi /H1; 4 ve Yukarı Araplar; kg; 2100m; Sentetik;;;;Rekor Derece :2.22.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;1.)20.441 TL;2.)8.177 TL;3.)4.088 TL;4.)2.044 TL;5.)1.022 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DOĞANIN ATEŞİ KG K DB;4y k k;BALIKHAN;BAHİRCAN;57,5;MER.ÇELİK;GÜLRU TURCAN;M.MEHMET İNAL;1;%36.39(1);42;2:26.80;1,40;4,5 Boy
2;DİLANUR;5y a k;ÖZGÜNHAN;TAMUN;59,5;A.YILDIZ;İSMAİL YILMAZ;B.AVCI;10;%13.97(2);40;2:27.59;4,95;2 Boy
3;HIRSIN ATEŞİ KG DB SK;4y k k;BALIKHAN;HAZ;51;HA.GÖKÇE AP;GÜLRU TURCAN;M.MEHMET İNAL;3;%1.6(1);35;2:27.92;1,40;2 Boy
4;MELDE KIZ KG DB SK;4y k k;SİLAH;MELDEGÜLÜ;55;A.KAÇMAZ;NEHAR ORHON;SEN.ŞEN;7;%8.93(5);37;2:28.21;10,70;3 Boy
5;EFSANENİN KIZI KG K;4y a k;KAFKASLIEFSANESİ;ÜÇYILDIZ;54 +2.00;İ.SOYAD;AYLİN ÖZETKEN;S.O.APAYDIN;9;%1.48(9);35;2:28.71;53,55;
6;BUĞULU GÖZ KG DB SK;6y k k;SONALP;MENCULE.58;54,5;HAK.YILDIZ;BOZAN BAĞ;T.ATEŞ;4;%1.06(11);30;2:28.75;58,00;
7;PAMUCAK SK;4y k k;ZENGİNOĞLU;ALYA EYLÜL;55 +1.00;A.SÖZEN;UĞUR KORKUT;R.GÜNELİ;2;%12.16(3);37;2:29.51;7,65;
8;CÜDA KG K;5y d k;HİSARBEY;HÜNERKIZ;58;BERK.GÖKÇE AP;H.TARIK DİKENCİK;M.ÖZGÜL;6;%4.16(7);43;2:30.11;18,25;
9;CİHANIN GÜLÜ KG DB;6y k k;ÖZGÜNHAN;CİHANAY;62;C.PASO AP;KAYA KAYA;T.ATEŞ;5;%3.27(8);47;2:34.75;26,65;
10;DELAYLA KG K;5y a k;UÇANBEY;SHMOKH (US);56,5;E.AKTUĞ;HÜLYA KEÇELİOĞLU;U.TEMUÇİN;8;%5.52(6);34;2:36.98;9,40;
11;GENÇ MİMAR KG K GKR;6y k k;TURBO;MÜJDEER;57;B.ÇIĞLA AP;AYŞEGÜL DÜZARAT;HAY.YILDIRIM;11 - DS;%10.38(4);39;2:41.28;6,15;
12;AMOFTA;5y d k;URLA EFESİ;NURCA;54;GÖK.BEKTAŞ;ÖZGÜR KAHRAMAN;A.R.YILDIZ;12 - DS;%1.08(10);29;2:42.46;60,50;
[(3)DOĞANIN ATEŞİ,(9)HIRSIN ATEŞİ,] eküridir.GANYAN(3) :1,40 TL, İKİLİ(3/4) :6,25 TL, SIRALI İKİLİ(3/4) :7,50 TL

2. Kosu :   14:30;SATIŞ 2; 4 ve Yukarı İngilizler; 58.00kg; 59.00 kg; 1200m; Sentetik;;;;Rekor Derece :1.09.93
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)18.630 TL;2.)7.452 TL;3.)3.726 TL;4.)1.863 TL;5.)932 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING OF THE SOUTH DB SK;4y a  a;HELMET (AUS);GREEN NASHWAN (GB);58;H.ÇİZİK;FENER BARLIK;G.SÜTCÜ;2;%18.41(3);54;1:11.82;3,00;1,5  Boy
2;UĞUR BUBAM DB SK BB;7y d  a;WIN RIVER WIN (USA);MISS DISCO;54 +0.40;VED.ABİŞ;MASİS MARKARYAN;F.SERİNTÜRK;7;%21.6(1);58;1:12.03;2,75;3,5 Boy
3;ICE TEA DB SKG SK;4y k  a;NATIVE KHAN (FR);TEXAS TEA;58;S.BOYRAZ;MAHMUT KARAKEÇİ;M.Y.KILINÇ;10 - DS;%9.15(5);53;1:12.58;9,70;1 Boy
4;MAGGY HAWK KG DB SK;4y a k;SIDNEY'S CANDY (USA);SHINING GOLD;56;MER.ÇELİK;ŞEMSİ AĞIRTAŞ;MAH.BAYKARA;8 - DS;%3.88(7);39;1:12.75;20,85;Boyun
5;FREE CHILDREN SKG SK;5y d  a;AFTER MARKET (USA);HIGH CLASS;55 +0.20;BERK.GÖKÇE AP;MEHMET ALİ PEKİN;E.ÇUKURKAŞ;6;%2.1(8);38;1:12.80;30,75;
6;DARK LORD DB SKG SK;4y d  a;WIENER WALZER (GER);DORUYEL;58;G.ÖZÇELİK;SEBATİ DUMAN;T.ŞİT;4;%14.79(4);46;1:12.91;5,35;
7;BY GÖKTUĞ KG K;4y a  a;KANEKO;BABY TIFFANY;56;A.ASLAN;MUAMMER TEKİNALP;Ü.YAYLA;1;%1.66(9);38;1:13.51;23,80;
8;RAUL KG K DB;5y d  a;MENDIP (USA);RED ZEYTEEN;59;G.KOCAKAYA;NİSSO BENHASON;A.ALÇİÇEK;3;%20.71(2);70;1:14.77;3,20;
9;ALKILIÇ DB SKG SK;4y a k;BAY ÇİFTÇİOĞLU;ADİLE TEYZE;53 +1.00;G.YILDIZ;FATMA GÜL ALTIN;T.ATEŞ;5;%1.06(10);21;1:15.48;33,15;
10;BAKIRCI KG DB GKR;4y d  g;KING DAVID (USA);DESDEMONA;56;C.PASO AP;İLHAN BOYLU;HÜS.KARABULUT;11 - DS;%6.21(6);40;1:16.06;12,65;
11;KARTEPE GÜZELİ DB SK;4y a k;TRIPLE BONUS;UNIQUE STONE (USA);50 +1.60;Ç.TAŞCI AP;METİN AYSEL;OL. AKTÜRK;9 - DS;%0.42(11);28;1:28.77;72,10;
GANYAN(4) :3,00 TL, İKİLİ(4/9) :6,30 TL, SIRALI İKİLİ(4/9) :11,75 TL, ÜÇLÜ BAHİS(4/9/3) :27,67 TL, PLASE(4) :1,30 TL, PLASE(9) :1,30 TL, PLASE İKİLİ(3/4) :7,50 TL, PLASE İKİLİ(3/9) :10,10 TL, PLASE İKİLİ(4/9) :4,30 TL, 1. ÇİFTE(3,9/4) :6,50 TL

3. Kosu :   15:00;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)140.000 TL;2.)56.000 TL;3.)28.000 TL;4.)14.000 TL;5.)7.000 TL;1.)24.150 TL;2.)9.660 TL;3.)4.830 TL;4.)2.415 TL;5.)1.208 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SFORZA RING K;3y d  e;SCARFACE;PIRATE GIRL;56 +0.20;A.KURŞUN;NEDİM AKAGÜNDÜZ;MÜC.KAYA;5;%18.76(3);56;2:04.38;3,10;7 Boy
2;MR BIG SHOT DB BB;3y a  e;NATIVE KHAN (FR);KIWANI BAY (GB);54 +1.80;G.KOCAKAYA;BANU ALEMDAR SÖLPÜK;U.BİLİK;1;%46.17(1);57;2:05.75;1,55;4,5 Boy
3;BYE BYE GOGO DB SK;3y d  e;PERFECT STORM;KESTANE;58;A.ASLAN;SALİH KAYA;O.BULUT;2;%1.31(5);45;2:06.57;38,95;1,5  Boy
4;ALYCONE DB SKG SK;3y d  e;SCARFACE;PETIT KURT (IRE);58;H.KARATAŞ;KEMAL KURT;T.PELEN;4;%27.11(2);66;2:06.76;2,40;3,5 Boy
5;ARDEN PASHA DB;3y d  e;INSPECTOR;BLACK MAGIC WOMEN;54;A.YILDIZ;A.RAİF ÖZET;M.T.BALYEMEZ;6 - DS;%0.72(6);;2:07.33;36,60;
6;BABA RUNNER DB;3y d  e;HAKKAR;SEMESTRA;58;VED.ABİŞ;TALAT ÜSTÜNER;C.BATUR;3;%5.92(4);69;2:12.98;8,10;
GANYAN(4) :3,10 TL, SIRALI İKİLİ(4/5) :5,85 TL, 2. ÇİFTE(4/4) :11,45 TL

4. Kosu :   15:30;Handikap 15/Dişi /H2; 3 Yaşlı İngilizler; kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;1.)20.441 TL;2.)8.177 TL;3.)4.088 TL;4.)2.044 TL;5.)1.022 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ADİGEM SK;3y a  d;LUXOR;UBA;57;A.KURŞUN;ONUR DİLBAZ;N.ESEN;6;%39.6(1)  %43.35(1);48;1:31.53;1,45;1,5  Boy
2;DIAMOND BROTHERS KG DB SK;3y d  d;BUSHRANGER (IRE);BELLA COSA;54 +1.00;MER.ÇELİK;İCLAL ALTUNAY ELMAS;T.İBİŞ;4;%9.34(4)  %9.76(4);42;1:31.75;6,75;Baş
3;MARCH VİOLET K SKG;3y d  d;NATIVE KHAN (FR);KALILA;54,5;G.ÖZÇELİK;GÖKHAN ÖZKAN;T.ŞİT;7;%5.23(5)  %4.92(5);43;1:31.77;19,90;2,5 Boy
4;ÇAKALIN KIZI SK;3y d  d;ÇAKAL CARLOS;DOUBLE TROUBLE;56;M.ÇİÇEK;BARAN D. CEMİLOĞLU;S.ÖZGEZER;5;%16.88(2)  %14.61(2);46;1:32.19;6,30;Yarım Boy
5;BEYOND THE SEA KG DB SK;3y d  d;VICTORY GALLOP (CAN);DERYA SULTAN;54,5 +1.50;A.SÖZEN;GÜNSEN SOYUPAK;H.YÜZBAŞI;2;%4.62(7)  %4.26(7);43;1:32.27;26,55;
6;ROCKET SCIENCE KG DB SK;3y d  d;TAMARKUZ (USA);LITTLE ROCKET (USA);53,5 +0.90;VED.ABİŞ;CEM ÖZBELGE;H.BOYRAZ;9 - DS;%3.76(8)  %4.06(8);41;1:32.34;11,90;
7;ANADOLU SEVDASI SK;3y d  d;SCARFACE;DEMİRSEMA;60,5;H.KARATAŞ;T. İZZET AKSOY;A.TEPEBAŞI;8;%15.48(3)  %13.88(3);55;1:33.06;3,95;
8;NARJİNA SK;3y d  d;BUSHRANGER (IRE);NARDA;50 +2.00;E.AKTUĞ;NİSSO BENHASON;A.ALÇİÇEK;1;%4.71(6)  %4.63(6);34;1:35.20;10,90;
9;MYSTICAL BABY SKG SK;3y d  d;HEMSWORTH (USA);SANDY;50 +1.10;C.PASO AP;EREN KARGACI ÜRÜNDÜ;Y.DEMİRKIRAN;3;%0.39(9)  %0.52(9);12;1:45.68;31,10;
