İstanbul;(3. Yarış Günü);11/01/2023
1. Kosu :   15:00;SATIŞ 3; 3 Yaşlı İngilizler; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.500 TL;2.)43.400 TL;3.)21.700 TL;4.)10.850 TL;5.)5.425 TL;1.)24.955 TL;2.)9.982 TL;3.)4.991 TL;4.)2.496 TL;5.)1.248 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GREYARROW KG K DB;3y d  e;LION HEART (USA);BÖRTE;56;A.YILDIZ AP;MUKADDES BOZKURT;H.DEMİRBAŞ;5;;38;1:32.14;4,20;2,5 Boy
2;YEĞENİM ELA DB;3y a  d;PACO BOY (IRE);PALM BEACH STORY (USA);52 +0.20;E.AKTUĞ;KENAN ENGİN;At Sahibi;6;;44;1:32.53;4,35;Yarım Boy
3;SOLİDO HERMANOS SK;3y d  e;MENDIP (USA);HEAVENS HELP (USA);58;A.SÖZEN;GÜLİZAR YANIK;T.ÖZTÜRK TİMUR;1;;53;1:32.64;1,55;5,5 Boy
4;ÇAVDARLI DB SKG SK;3y d  e;SALVATORE;RUZİ;58;Z.KARABULUT AP;METİN AKAN;D.KAYA;4;;39;1:33.53;12,55;2,5 Boy
5;YALAN DÜNYA KG DB SK;3y d  e;BARUDİ;KOMŞU TINAZ;55 +0.80;U.BARLIK;FİKRET DEMİR;MAH.BAYKARA;2;;29;1:33.94;22,85;
6;TEMPESTA MIA DB SK;3y d  d;THREE VALLEYS (USA);BYE BYE FUJI (USA);56;VEDAT ABİŞ;DUYGU FATURA;S.TAŞBEK;3;;36;1:35.16;5,00;
GANYAN(3) :4,20 TL, SIRALI İKİLİ(3/6) :23,75 TL

2. Kosu :   15:30;Handikap 16/DHÖ /H1; 4 ve Yukarı Araplar; kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MELTEMKIZ KG DB SK;5y a k;SONALP;BEDESTEN;57,5;T.YILDIZ;METEHAN YALÇINKAYA;MUR.AKKILIÇ;3;%5.51(6);60;2:19.52;14,85;1,5  Boy
2;ARISAN KG;9y a  a;ÖZGÜNHAN;VERA;50 +2.00;M.HAMEDİ;ÖZNUR AYDOĞDİ;SERD.AYDOĞDİ;8;%9(4);36;2:19.74;5,90;1 Boy
3;HALAY K;5y a  a;GELİBOLU;BİLGEAT;56;A.YILDIZ AP;Z.AHSEN KURUM;ŞÜK. ÇELİK;9 - DS;%37.87(1);59;2:19.92;1,75;2,5 Boy
4;ÇOK EFE KG;5y a  a;ENGİNHAN;SHOOWGIRL;56,5;VEDAT ABİŞ;MEHMETAKİF KAYA;Ç.AYDIN;5;%15.81(2);58;2:20.30;5,10;Yarım Boy
5;CÜDA KG K;5y d k;HİSARBEY;HÜNERKIZ;50 +1.70;S.TIRPAN;H.TARIK DİKENCİK;S.AYDEMİR;6;%2.75(8);44;2:20.41;21,45;
6;EDAYAP;5y k k;UFUKBİR;ÜLKÜNUR;57,5;A.SÖZEN;NECDET TURAN;H.HARMANBAŞI;7;%5.36(7);60;2:20.55;15,60;
7;DİLANUR;5y a k;ÖZGÜNHAN;TAMUN;50 +2.00;E.AKTUĞ;İSMAİL YILMAZ;B.AVCI;2;%1.73(9);42;2:21.33;34,00;
8;ERSAVAŞ KG DB SK;5y a  a;UÇANOĞLU;DERİNCAN;60;BERKANT GÖKÇE AP;DEMİRHAN YILMAZ;S.BEKTAŞ;4;%8.17(5);71;2:22.10;7,20;
9;KURT ENGİN KG K;5y k  a;BABA MEVLÜT;BLUE VELVET;56,5;G.KOCAKAYA;RECEP GÜLDOĞDU;E.USLU;1;%13.79(3);58;2:26.35;6,30;
GANYAN(3) :14,85 TL, İKİLİ(3/9) :70,50 TL, SIRALI İKİLİ(3/9) :185,10 TL, 1. ÇİFTE(3/3) :86,15 TL

3. Kosu :   16:00;Handikap 21 /H1; 4 ve Yukarı İngilizler; kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)143.000 TL;2.)57.200 TL;3.)28.600 TL;4.)14.300 TL;5.)7.150 TL;1.)32.890 TL;2.)13.156 TL;3.)6.578 TL;4.)3.289 TL;5.)1.645 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DENİZHAN SKG SK;4y a  a;KANEKO;SİLVA;55;G.ÖZÇELİK;KAHRAMAN ŞAHİN;M.ÖZTÜRK;2;%10.21(6);72;1:30.95;12,10;2 Boy
2;CAPTAIN FANTASTIC DB SKG SK;4y d  a;MSHAWISH (USA);RAHAF (USA);60;H.SAM AP;SEMA ULAŞ;B.AY;7;%13.08(3);88;1:31.25;4,95;2 Boy
3;POLPOO SKG SK;4y d  a;TOROK (IRE);BEVERLY DANCER;59,5;G.KOCAKAYA;ZEKİ KILIÇ;D.SAV;1;%23.22(2);81;1:31.53;2,15;Baş
4;KOCAVEZİR K;5y d  a;TOROK (IRE);EKINOKS CODE;61,5;A.SÖZEN;BARIŞ GÖRGÜN;Ş.GÖKÇE;5;%24.17(1);83;1:31.54;2,80;2 Boy
5;DOĞU PRENSİ KG K;6y d  a;MENDIP (USA);FERİDE ANA;54 +2.00;T.YILDIZ;CUMHUR BALKAROĞLU;Ş.GÖKÇE;8 - DS;%2.97(7);68;1:31.79;23,10;
6;BLAZE TO VICTORY DB SKG SK;5y d  a;VICTORY GALLOP (CAN);LOVELY BLAZE;58,5;E.AKTUĞ;ENİS EMRE GELGİN;A.KÜÇÜKAKSOY;6;%11.4(5);77;1:31.95;8,60;
7;ASUDE SULTAN DB SK;6y d k;FOOTSTEPSINTHESAND (GB);CASA TUA (FR);56;VEDAT ABİŞ;VEYSEL KAHRAMAN;MÜC.KAYA;3;%12.94(4);72;1:31.96;5,70;
8;EL PATRON KG K GKR (Koşmaz);7y d  a;TOROK (IRE);SHARARA;62;B.SAV AP;AHMET CELEP;H.ACAR;4;%2.02(8);84;Koşmaz;;
GANYAN(7) :12,10 TL, 1. 3'LÜ GANYAN(3/3/7) :218,20 TL, İKİLİ(1/7) :21,50 TL, SIRALI İKİLİ(7/1) :61,50 TL, ÜÇLÜ BAHİS(7/1/4) :105,77 TL Çıkan 1 Atla: 9,67 TL, PLASE(1) :3,20 TL, PLASE(7) :1,90 TL, 2. ÇİFTE(3/7) :147,10 TL

4. Kosu :   16:30;Handikap 14 /H2; 3 Yaşlı İngilizler; kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)82.000 TL;2.)32.800 TL;3.)16.400 TL;4.)8.200 TL;5.)4.100 TL;1.)14.145 TL;2.)5.658 TL;3.)2.829 TL;4.)1.415 TL;5.)707 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BUTRAGUENO SKG SK;3y a  e;EXPANSION (USA);PRIZE FOR;52,5 +1.00;A.YILDIZ AP;CENGİZ KÖMÜR;H.ACAR;8 - DS;%28.22(1);30;2:10.35;1,35;4,5 Boy
2;VASPURAKAN SK;3y d  e;OGHUZ;SARILAR GÜZELİ;60;T.YILDIZ;SERDAR ZABUN;T.TAŞAR;3;%22.27(2);43;2:11.13;2,45;Yarım Boy
3;GUEST OF HONOUR KG;3y d  e;HAKKAR;STELLINA;52,5;M.HAMEDİ;KEMAL AYDIN ONUR;Y.DEMİRKIRAN;7;%8.08(3);28;2:11.23;6,55;2 Boy
4;QUEEN OF KARŞIYAKA DB SKG SK;3y d  d;PLEASANTLY PERFECT (USA);LADY MELİS;50 +1.90;S.TIRPAN;H.BURAK ÇULLU;AT.GÖKÇE;5;%3.94(4);21;2:11.44;12,70;3 Boy
5;KING OF TURF KG K;3y d  e;BANKNOTE (GB);SÜPER POWER;50 +2.00;B.ÇIĞLA AP;ÖMER USLU;HÜS.ÇAKMAK;6;%1.57(6);20;2:11.46;35,35;
6;UMAYS DREAM KG DB;3y d  d;FLINTSHIRE (GB);U S DREAM (USA);50 +2.00;GÖK.BEKTAŞ;CEM DİLER;S.BAŞOĞLU;4;%1.79(5);23;2:11.88;22,00;
7;UĞURCAN HAN DB SKG SK (Koşmaz);3y d  e;PAPA CLEM (USA);FINAL DESTINATION;57,5;H.YOLAÇICI AP;SEFER ÜNLÜ;MAH.BAYKARA;2;%19.93(7);42;Koşmaz;7,00;
8;COCO SISTER DB (Koşmaz);3y d  d;ASTRAKHAN;GO DANCING (GB);55;E.AKTUĞ;MURAT AKSOY;K.BER.TUTAL;1;%14.2(8);33;Koşmaz;11,80;
GANYAN(4) :1,35 TL, İKİLİ(1/4) :1,60 TL, SIRALI İKİLİ(4/1) :2,20 TL, ÜÇLÜ BAHİS(4/1/5) :4,20 TL Çıkan 1 Atla: 0,72 TL Çıkan 2 Atla: 0,60 TL, PLASE() :İade, 3. ÇİFTE(7/4) :26,95 TL

5. Kosu :   17:00;ŞARTLI 5; 4 ve Yukarı İngilizler; 58.00kg; 59.00 kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MAKE A FIRE K DB SKG;4y d  a;SIDNEY`S CANDY (USA);HAMARAT;54 +0.90;A.SÖZEN;ERKAN YAYMAN;ŞÜK. ÇELİK;2;%15.94(3);90;1:29.93;4,50;2 Boy
