İzmir;(1. Yarış Günü);17/11/2022
1. Kosu :   15:00;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.25.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LION PIECE KG K;2y d  e;LION HEART (USA);TROPICAL STAR;57;Ö.YILDIRIM;ALİ GÜNGÖR;E.ATEŞ;3;;;1:28.08;1,90;4 Boy
2;GLORY BOX KG K DB;2y a  d;SIDNEY`S CANDY (USA);LADY YAREN;55 +1.00;M.GÖNÜLTAŞ;ALOŞ YILDIRIM;M.ÇAM;1;;34;1:28.75;7,80;6,5 Boy
3;LA BOMBONERA KG K GKR;2y k  e;WIN RIVER WIN (USA);GOLDEN OK;57;M.M.BİLGİN;HÜSEYİN YILDIZ;M.ZELYURT;4;;35;1:29.80;4,05;3 Boy
4;HIPPIE WINNER DB SK;2y d  e;WIN RIVER WIN (USA);DELATIERRA;57;M.ÇİÇEK;KORHAN BERBEROĞLU;ŞAFAK GÜMÜŞ;6;;34;1:30.25;2,45;Yarım Boy
5;GINGSENG K;2y a  e;TOCCET (USA);WOLF OF WIND;55 +0.20;A.İNCİ AP;ALP Ş. EVCİMEN;C.ŞAMLI;2;;;1:30.31;30,60;
6;ELDEN RING SKG SK;2y d  e;SPEEDY WOLF;AD VICTORIAM (IRE);54;A.YILDIZ AP;MELİS KURTEL EMİN;A.A.ZÜMBÜLLER;7;;;1:31.92;20,95;
7;KING OF TURF KG GKR;2y d  e;BANKNOTE (GB);SÜPER POWER;57;B.M.MIRIK;ÖMER USLU;A.COŞKAN;5;;20;1:32.38;23,35;
8;AFİLLİ KIZ KG DB (Koşmaz);2y d  d;FAST STARS LINE;MONTECATINI;55 +1.50;H.ŞİMŞEK;UĞUR DEMİREL;İ.E.YILMAZ;8;;;Koşmaz;;
GANYAN(6) :1,90 TL, İKİLİ(6/8) :8,80 TL, SIRALI İKİLİ(6/8) :13,30 TL, ÜÇLÜ BAHİS(6/8/5) :12,65 TL Çıkan 1 Atla: 2,52 TL, PLASE(6) :1,05 TL, PLASE(8) :1,05 TL
