İzmir;(23. Yarış Günü);24/02/2022
1. Kosu :   15:30;Handikap 15/Dişi /H2; 3 Yaşlı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.25.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ARSLAN KAPISI KG DB SK;3y d  d;LION HEART (USA);MIDPOINT;54,5;G.ÖZÇELİK;TANSEL ARSLAN;HAL.KAYA;3;%10.21(4);40;1:27.91;5,50;6 Boy
2;FOREVER JUSTEN SKG SK;3y d  d;JUSTENUFFHUMOR (USA);LIVE FOREVER (USA);57;GÖKH.GÖKÇE;GÖKHAN ALBAYRAK;H.DURMUŞ;9 - DS;%7.97(7);45;1:28.91;16,50;Yarım Boy
3;FALLOW THE LEADER KG K DB;3y d  d;TOROK (IRE);ASLAN MELEK;55 +1.50;Ö.YILDIRIM;HÜSEYİN KOLSUZOĞLU;MEH.DAŞ;1;%9.88(6);41;1:28.96;9,55;Yarım Boy
4;SERAZA KG SK;3y d  d;MENDIP (USA);GOLD PLAY;53 +1.50;MUH.OK AP;K.FIRAT DANIŞOĞLU;M.BULUT;8;%2.74(9);37;1:29.07;35,40;6 Boy
5;ZIMA BLUE DB SK;3y a  d;WIN RIVER WIN (USA);MONJAL;57,5;M.M.BİLGİN;SENEM GÖZEL;U.TUNAY;4;%13.98(3);46;1:30.04;7,55;
6;ATRIO KG K;3y a  d;LION HEART (USA);LADY DIAMOND;57;E.AKTUĞ AP;Ö.FUAT ATLIER;Ş.ÖZDENİZ;2;%18.75(2);51;1:30.51;3,25;
7;ALKILIÇ DB SK;3y a  d;BAY ÇİFTÇİOĞLU;ADİLE TEYZE;54 +0.80;MER.ÇELİK;NECATİ ÇİFTÇİOĞLU;Y.BULUT;6;%7.09(8);39;1:30.96;11,50;
8;SPEEDY FOOT KG;3y a  d;MUNNINGS (USA);CHAPEAU CHIC (USA);59,5;N.AVCİ;MELİS KURTEL EMİN;B.GÜL;7;%19.19(1);50;1:32.60;2,25;
9;DADAŞ GIRL KG;3y a  d;GENERAL QUARTERS (USA);AKOYA PEARL (IRE);57,5;B.M.MIRIK;KENAN YAZICI;R.YILDIZ;5;%10.2(5);46;1:33.54;11,20;
