İstanbul;(18. Yarış Günü);02/03/2022
1. Kosu :   14:30;Maiden/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 1400m; Sentetik;;;;Rekor Derece :1.31.76
İkramiye;;;;;Yetiştirici Primi;;;;
1.)68.000 TL;2.)27.200 TL;3.)13.600 TL;4.)6.800 TL;5.)3.400 TL;1.)15.640 TL;2.)6.256 TL;3.)3.128 TL;4.)1.564 TL;5.)782 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GEBZE GÜZELİ KG K;4y d k;BABA MEVLÜT;ARTVİN GÜZELİ;58;G.KOCAKAYA;TAYLAN TOSUNOĞLU;H.BOYRAZ;1;;;1:36.63;1,45;6,5 Boy
2;DUDAKBÜKEN KG K;4y a k;KAIZBERT (RU);HELENAZ;63;T.YILDIZ;METE ÇELİK;E.KOCA;11 - DS;;34;1:37.76;9,35;2 Boy
3;DİLANUR;4y a k;ÖZGÜNHAN;TAMUN;58;A.ÇELİK;İSMAİL YILMAZ;B.AVCI;9;;32;1:38.10;3,95;2,5 Boy
4;SONSUZ HIZ SK;4y k k;UÇBEYİ;SEMİN;56 +0.10;M.G.ARSLAN AP;HAKAN CANTINAZ;T.İMAL;2;;23;1:38.50;28,60;Boyun
5;EFSUNLU KIZ KG K;4y d k;BABA MEVLÜT;ŞAFAKHANIM;55;B.ÇIĞLA AP;ŞEYMA B. TANİYİT;İBR.C.ERŞAKAR;3;;28;1:38.54;40,70;
6;ÖNEMLİ DB SKG SK;4y a k;ORÇUN;KIZILGÜNEŞ;58;G.YILDIZ;ABDURRAHİM KIRAMANLIOĞLU;E.USLU;8;;30;1:38.70;11,85;
7;ZEYNO KG K;4y k k;ODİNHAN;MAVİŞ HANIM;59;E.ÇANKAYA AP;H.TARIK ERMAN;İ.Ş.ÜÇÜNCÜOĞLU;10 - DS;;40;1:38.95;6,00;
8;AMİRA KG SK;4y k k;DEMİRDÖVEN;SEVİYE;58;U.BARLIK;SUNGUR SOYDAM;T.ÇEKİCİ;6;;19;1:40.49;56,90;
9;HİCRANYELİ KG SK;4y d k;KURTEL;KIZIMSUEDA;58;G.ÖZÇELİK;ALİ PAMUKCİ;H.ÇALIŞKAN;7;;27;1:41.03;49,95;
10;BERRENKIZ DB GKR;4y a k;UÇANOĞLU;KERİMKIZI;58;GÖK.BEKTAŞ;SERHAT YILDIZ;S.BAŞOĞLU;4;;26;1:41.21;60,30;
11;KARA İNCİSİ KG K DB;4y k k;YAKUPBEY;KARDELEN GÜZELİ;56 +0.40;F.ARSLAN AP;AHMET NÜVİT YEĞİN;SEB.TOPAL;12 - DS;;15;1:42.19;99,50;
12;YAŞARE HATUN KG K DB;4y k k;DEMİRDÖVEN;AKGÜVERCİN;56;A.İNCİ AP;CİMŞİT YILDIZ;E.KOCA;5;;10;1:46.09;109,70;
GANYAN(7) :1,45 TL, İKİLİ(1/7) :10,85 TL, SIRALI İKİLİ(7/1) :14,50 TL, ÜÇLÜ BAHİS(7/1/5) :8,02 TL, PLASE(1) :1,05 TL, PLASE(7) :1,05 TL, PLASE İKİLİ(1/5) :3,10 TL, PLASE İKİLİ(1/7) :4,30 TL, PLASE İKİLİ(5/7) :2,20 TL, SIRALI 5 Lİ BAHİS(7/1/5/11/6) :292,03 TL

2. Kosu :   15:00;ŞARTLI 4/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1300m; Sentetik;;;;Rekor Derece :1.23.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÇAKIL KG SK;4y a  a;UÇANOĞLU;ATEŞ KUŞU;55 +1.00;Ö.YILDIRIM;NANCY KİBAR;S.KERESTECİ;1;;62;1:28.19;9,75;Burun
2;BETSİ SKG SK;4y k k;BALIKHAN;HAYAL DÜNYASI;52 +1.10;N.AVCİ;MAHMUD NADİROĞLU;B.EGE;2;;53;1:28.20;22,30;Boyun
3;YELKANIM K DB;4y a k;TURBO;YELDEM;54;VEDAT ABİŞ;T. İZZET AKSOY;A.TEPEBAŞI;5;;54;1:28.26;2,80;3,5 Boy
4;LEONİDAS SK;4y d  a;ŞAMİLBEY;BUZDENİZİ;56 +0.70;T.YILDIZ;METE ÇELİK;E.KOCA;4;;81;1:28.88;2,40;1 Boy
5;FERFECİR KG;4y d  a;BABA MEVLÜT;ÖZGÜR BİKE;58;H.KARATAŞ;ZEYNEP L. ATMAN;MET.ACAR;7 - DS;;58;1:29.05;3,30;
6;ÇÖLDE AY KG SK;4y k k;DEMİRSOY;SAMSUNLU SEBAHAT;54 +1.20;G.KOCAKAYA;HÜSEYİN ÖZSÖNMEZ;E.USLU;6;;84;1:29.72;5,70;
7;ERTUNÇHAN KG DB SK;4y k  a;ALTAHA;ÇIĞIRTKAN;55 +1.60;K.TOKAÇOĞLU;EYLEM TANİYİT;İBR.C.ERŞAKAR;3;;53;1:30.67;25,40;
GANYAN(4) :9,75 TL, İKİLİ(4/6) :70,85 TL, SIRALI İKİLİ(4/6) :112,15 TL, ÜÇLÜ BAHİS(4/6/5) :133,78 TL, 1. ÇİFTE(7/4) :15,05 TL

3. Kosu :   15:30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BONNY BOMB SK;3y d  d;HAKEEM (USA);SAN VICENTE;58,5;G.KOCAKAYA;GÜLNUR GÜLERCE;SED.DEMİRAL;1;%26.4(2);47;1:31.84;2,70;Boyun
2;ROYAL BABY KG K;3y a  e;KULOĞLU;RAIN GODDESS;60,5;G.ÖZÇELİK;ALAETTİN ÖZCAN;M.AKKILIÇ;6;%17.09(3);51;1:31.89;3,75;2 Boy
3;KING OF THE SOUTH DB SK;3y a  e;HELMET (AUS);GREEN NASHWAN (GB);60,5;A.ÇELİK;FENER BARLIK;S.ÇITAK;2;%38.02(1);51;1:32.18;1,95;8 Boy
4;SUSKUN PRENS KG K;3y d  e;APPROVE (IRE);FERİDE ANA;57,5;M.KAYİŞ AP;SÜLEYMAN TAŞDEMİR;A.TEKDEMİR;7;%6.4(4);49;1:33.58;13,30;2 Boy
5;MR LOVERMAN KG K DB;3y d  g;ASTRAKHAN;MİHRİMAHAL;60;A.KURŞUN;REŞAT ÖZ;H.GÖNÜLTAŞ;8 - DS;%5.49(5);50;1:33.88;12,60;
