İstanbul;(17. Yarış Günü);26/02/2022
1. Kosu :   17:15;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)68.000 TL;2.)27.200 TL;3.)13.600 TL;4.)6.800 TL;5.)3.400 TL;1.)15.640 TL;2.)6.256 TL;3.)3.128 TL;4.)1.564 TL;5.)782 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;RED KNİGHT KG DB SK;3y d  e;PERFECTO;VICTORY BLUES;61;A.ASLAN;SEVAL ARICI;S.ÇİFTÇİ;8;%10.91(3);36;1:19.79;5,70;2 Boy
2;TIMELORD KG SK;3y d  e;LAWMAN (FR);AVVENTURA (USA);58;S.BOYRAZ;ALİ RIZA ÇELİKOĞLU;U.BİLİK;3;%2.27(9);;1:20.08;23,20;Baş
3;RIBERY K ÖG;3y d  g;RODOPLU;THE ROADTO VICTORY;55;B.ÇIĞLA AP;SÜLEYMAN KORKMAZ;D.ÇELİK;4;%5.33(5);26;1:20.10;13,45;Burun
4;KOPDAĞ K;3y d  e;APPROVE (IRE);MANDRANA;58;Ö.YILDIRIM;ALİ CAN YAMANER;BAY.AKTAŞ;6;%25.82(1);;1:20.11;2,00;2 Boy
5;EZELHAN KG SK;3y a  e;LUXOR;SEMİHA SULTAN;58;G.KOCAKAYA;SERDAR ZABUN;T.TAŞAR;5;%25.14(2);;1:20.45;2,85;
6;POWERSHIP KG K;3y d  e;THREE VALLEYS (USA);VIZIYYA (FR);55 +1.60;M.KAYİŞ AP;ALİ DOBAK;B.DEMİR;10;%2.68(8);;1:20.47;17,25;
7;HAZY DAISY KG DB SK;3y a  d;LUXOR;NO MORE STRIKE;52;E.AKTUĞ AP;AYŞE MERVE KİTAPÇI;B.EGE;2;%5.01(6);;1:21.11;14,80;
8;EMİN BABA KG;3y d  e;MENDIP (USA);CAROLINA REAPER;58;G.YILDIZ;BÜLENT TAŞÇI;S.BEKTAŞ;1;%5.49(4);;1:23.25;11,75;
9;LONG MASTER KG DB SK;3y d  e;WIN RIVER WIN (USA);CEBELLİ KIZ;58;G.ÖZÇELİK;İBRAHİM USTA;S.F.KARAGÖZ;12 - DS;%2.16(10);;1:23.33;26,75;
10;SOLO SON KG K;3y a  e;SIDNEY`S CANDY (USA);AQUA AURA (USA);58;M.ÇİÇEK;AHMET ÇELİK;A.ŞIVGIN;7;%2.85(7);;1:24.02;33,95;
11;MANDACAN KG K;3y d  e;SMART ROBIN (JPN);MOLINARA;58;M.HAMEDİ;İSMAİL SOYDAN;O.DEMİRKIRAN;9;%1.24(11);;1:25.55;70,30;
12;PERSECUTION K (Koşmaz);3y d  e;HAKEEM (USA);KAREN'S CUISINE (USA);58;GÖKH.GÖKÇE;CEM KAAN PARSAK;M.AKBULUT;11 - DS;%11.1(12);;Koşmaz;5,00;
GANYAN(1) :5,70 TL, İKİLİ(1/11) :104,25 TL, SIRALI İKİLİ(1/11) :144,65 TL

2. Kosu :   17:45;KV-6/DHÖW; 4 Yaşlı Araplar; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)91.500 TL;2.)36.600 TL;3.)18.300 TL;4.)9.150 TL;5.)4.575 TL;1.)21.045 TL;2.)8.418 TL;3.)4.209 TL;4.)2.105 TL;5.)1.052 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ŞİMŞEK EFE KG SK BB;4y k  a;ALTAHA;SONGÜLHANIM;56;G.KOCAKAYA;BİRKAN BORA AKARSU;E.KARAKÖLEOĞLU;1;%50.4(1);72;2:19.38;1,60;Boyun
2;AFŞAR KG K;4y a  a;AYABAKAN;İLK KIZ;55 +1.00;Ö.YILDIRIM;ABDULVAHAP GÜNEŞ;Y.DEMİRKIRAN;5;%16.13(3);59;2:19.43;8,35;5 Boy
3;BY REİSOĞLU KG;4y k  a;GELİBOLU;VONALI;56;VEDAT ABİŞ;SEYİTHAN ÇİFTÇİ;EN.KARATAŞ;4;%24.9(2);81;2:20.40;1,70;6 Boy
4;DOBBY KG SK;4y k  a;KOŞANEFE;DEFİNEKAYA;54 +0.90;MER.ÇELİK;AHMET KAYA;S.AYDOĞAN;2;%5.2(4);57;2:21.48;13,70;4,5 Boy
5;SADEKAR KG SK;4y a  a;KAIZBERT (RU);REFİGÜL;54 +1.40;GÖKH.GÖKÇE;MEHMET ÇELİK;E.KOCA;3;%3.38(5);61;2:22.25;18,45;
GANYAN(2) :1,60 TL, SIRALI İKİLİ(2/3) :4,10 TL, 1. ÇİFTE(1/2) :12,40 TL

3. Kosu :  SEYFETTİN ÇALBATUR KOŞUSU 18:30;KV-8; 3 Yaşlı İngilizler; 58.00kg; 1400m; Sentetik;;;;Rekor Derece :1.22.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)123.500 TL;2.)49.400 TL;3.)24.700 TL;4.)12.350 TL;5.)6.175 TL;1.)28.405 TL;2.)11.362 TL;3.)5.681 TL;4.)2.841 TL;5.)1.420 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GOLD OPULENT KG K;3y d  e;MENDIP (USA);FLASHYS SONG (USA);58;G.KOCAKAYA;GÜLNUR GÜLERCE;SED.DEMİRAL;2;%74.07(1);61;1:23.68;1,10;3,5 Boy
2;CAFER BEY DB SKG SK;3y k  e;AMERİKALI;AKBALIKLI SILA;58;GÖKH.GÖKÇE;İSA ÖZKAN;HÜS.KARABULUT;4 - DS;%8.88(3);71;1:24.29;5,05;7,5 Boy
3;DOLLAR MAN SK;3y d  e;FLY BY ME;EXDARLING;58;M.ÇİÇEK;ENDER MEHMET KARAMAN;A.ŞIVGIN;3;%9.09(2);70;1:25.60;5,75;2 Boy
4;JUDGMENT SK BB;3y d  e;SCARFACE;ORSE GÜL;58;A.SÖZEN;M.LEVENT TOPSAKAL;E.KARAKÖLEOĞLU;5 - DS;%5.88(4);46;1:25.96;7,30;6 Boy
