İzmir;(6. Yarış Günü);30/04/2022
1. Kosu :   16:45;Maiden/Dişi; 3 Yaşlı İngilizler; 58.00kg; 1800m; Çim;;;;Rekor Derece :1.48.24
İkramiye;;;;;Yetiştirici Primi;;;;
1.)68.000 TL;2.)27.200 TL;3.)13.600 TL;4.)6.800 TL;5.)3.400 TL;1.)15.640 TL;2.)6.256 TL;3.)3.128 TL;4.)1.564 TL;5.)782 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LOVE BEAUTY KG SK;3y a  d;LUXOR;CHASTE;58;K.TOKAÇOĞLU;ERTUNÇ ERDEMİR;O.TAŞDEMİR;8;%10.04(5);25;1:54.05;7,50;1 Boy
2;HAVİN SARYA DB SKG SK;3y d  d;SCARFACE;ARİN;60;C.PASO AP;VELİ AKBULUT;V.AKBULUT;7;%13.69(3);35;1:54.18;6,15;1,5  Boy
3;MERRY LEGS DB SK;3y d  d;LION HEART (USA);GÜLER YÜZLÜM;55;E.AKTUĞ AP;İLKER İYİKOL;H.DURMUŞ;3;%4.62(7);23;1:54.34;19,35;2 Boy
4;MORNING STAR K DB;3y d  d;SCARFACE;HOŞSEDA;58;H.KAPLAN;EBUL KASIM AVCI;Z.TURĞUL;12 - DS;%13.31(4);21;1:54.60;3,35;Yarım Boy
5;GRAY PRINCESS SK;3y k  d;GRAYSTORM;FASTBACK;58;MER.ÇELİK;BERNA GÜZELOCAK;Z.TURĞUL;1;%26.35(1);;1:54.70;3,25;
6;ELAM NİSAM KG K DB;3y d  d;JUSTENUFFHUMOR (USA);MISS PRETTY;58;A.C. İNAN;ALİ ÖREN;MEH.DAŞ;10;%1.76(9);12;1:54.91;32,90;
7;PRINCESS SWEET KG SK;3y a  d;SPEEDY WOLF;FESTÜK;54;A.YILDIZ AP;GÖRKEM GEDİKOĞLU;D.TEKELİ;2;%2.01(8);;1:56.11;83,50;
8;SWEET DAISY KG DB;3y d  d;WIN RIVER WIN (USA);OCEAN LOWER;58;B.M.MIRIK;NİMET ARİF KURTEL;R.BİRDAL;4;%7.43(6);;1:56.21;12,10;
9;MITHANDIR KG DB SK;3y d  d;DUTYFREE;MERCAN DENİZ;58;M.M.BİLGİN;HASAN AYDOĞAR;MEH.KAYA;9;%18.57(2);27;1:56.72;3,10;
10;MISS JAN DARK KG K DB;3y k  d;GENERAL QUARTERS (USA);FLY SO FREE;58 +1.00;B.KOÇOĞULLARI AP;YELDA ALKAN;MEH.KAYA;11 - DS;%0.53(12);15;1:59.01;88,95;
11;ARTISTICO FOGLIA DB SKG SK;3y a  d;CAPTAIN RIO (GB);CANCALI;58;A.C.DAĞDEVİREN;NECATİ ÇİFTÇİOĞLU;Y.BULUT;6;%1.12(10);17;2:02.54;64,75;
12;LANINO KG SK;3y d  d;VALENTIN;SHARK BAY (GB);54;E.KADİRLER AP;H.TARIK DİKENCİK;M.ÖZGÜL;5;%0.56(11);10;2:09.68;151,40;
GANYAN(6) :7,50 TL, İKİLİ(1/6) :24,30 TL, SIRALI İKİLİ(6/1) :51,50 TL

2. Kosu :   17:15;Handikap 14 /H2; 3 Yaşlı İngilizler; kg; 2000m; Çim;;;;Rekor Derece :2.00.03
İkramiye;;;;;Yetiştirici Primi;;;;
1.)52.500 TL;2.)21.000 TL;3.)10.500 TL;4.)5.250 TL;5.)2.625 TL;1.)9.056 TL;2.)3.623 TL;3.)1.811 TL;4.)906 TL;5.)453 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GOLD HUNTER DB SK;3y d  d;SCARFACE;VIVA LA VIDA;56 +0.30;M.M.BİLGİN;HÜSEYİN YILDIZ;M.ZELYURT;11 - DS;%9.44(6);38;2:03.56;6,95;Yarım Boy
2;SEGULA KG DB SK;3y d  d;PAPA CLEM (USA);DUYGUABLA;56,5;B.M.MIRIK;A.FERHAT KÜÇÜKER;B.GÜL;1;%10.86(4);39;2:03.61;5,60;1,5  Boy
3;TIDY WOMAN;3y d  d;WIENER WALZER (GER);SPLATTER HOUSE;57,5;M.ÇİÇEK;FİGEN BERKOL;L.BERKOL;8;%15.52(1);41;2:03.80;3,40;2 Boy
4;ZEYBEK FLIGHT KG SK;3y d  e;INDIAN DAYS (GB);NEYTİRİ;56 +0.70;K.TOKAÇOĞLU;SELİN DİKENCİK;M.ÖZGÜL;5;%12.22(2);38;2:04.08;5,55;Baş
5;LİPSOS KG DB;3y d  e;TRIPLE BONUS;FİRDEVS;52,5;S.AKŞIN AP;RESUL AYDOĞAN;R.AYDOĞAN;2;%7.76(7);37;2:04.10;14,10;
6;KORDELYA KG DB SK;3y d  d;PAPA CLEM (USA);DAY OF THE NILE (USA);60;S.ÖZEN;SABAHATTİN YAVUZ;MEH.KAYA;4;%3.67(12);46;2:04.70;23,60;
7;GOLD RAKS DB;3y d  e;AZARAKS;STAR LEAF;58,5;E.AKTUĞ AP;HULUSİ ÇİL;A.COŞKAN;12 - DS;%10.4(5);47;2:06.06;5,40;
