İzmir;(14. Yarış Günü);16/12/2022
1. Kosu :   18:30;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.11.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)92.500 TL;2.)37.000 TL;3.)18.500 TL;4.)9.250 TL;5.)4.625 TL;1.)15.956 TL;2.)6.383 TL;3.)3.191 TL;4.)1.596 TL;5.)798 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;WIN FOR YOU KG DB SK;3y a  e;KANEKO;FEMME CELEBRE (IRE);60;M.ÇİÇEK;SELİN ERDEMİRCİ;FAH.CEYLAN;2;;60;1:12.97;1,90;1,5  Boy
2;DEMS VICTORY KG;3y d  e;VICTORY GALLOP (CAN);TONYA;58;Ö.YILDIRIM;MEHMET DOĞAN;B.AKBULUT;6;;60;1:13.15;3,20;4,5 Boy
3;MITTELMEER KG SK;3y d  e;TOROK (IRE);ROYA;57 +0.20;E.ÇİZİK AP;M.NABİ DEMİRKOL;A.ÖMEROĞLU;7 - DS;;47;1:13.81;9,65;5,5 Boy
4;HINBO KG SK;3y d  e;FAVORITAS;ABEILLE (IRE);58;N.AVCİ;H.TARIK DİKENCİK;M.ÖZGÜL;1;;43;1:14.60;16,80;10 Boy
5;PEROTTI DB SKG SK;3y a  g;LION HEART (USA);DON'T TRY AGAIN (USA);57;C.ALTUN AP;GÖKHAN ALVEROĞLU;S.ŞAHYAZICI;4;;81;1:16.30;2,50;
6;AKYAZILI RÜZGAR KG DB SK;3y d  e;PERFECTO;AKYAZILI ESRA;55 +1.60;G.BÜYÜKKILIÇ AP;TEKİN BİRİCİK;T.BİRİCİK;3;;36;1:18.58;47,00;
7;LADY ASTORIA KG K;3y d  d;ASTORYA;HOPE DIAMOND;52 +0.30;M.UYAR AP;FURKAN TAŞKIRAN;L.BERKOL;5;;;1:18.73;55,90;
GANYAN(3) :1,90 TL, İKİLİ(3/4) :2,75 TL, SIRALI İKİLİ(3/4) :5,25 TL, ÜÇLÜ BAHİS(3/4/1) :4,93 TL

2. Kosu :   19:00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TUNA NEHRİ KG SK;3y d  e;ÖZGÜNHAN;NEVRA;57;A.KÜRÜNDÜK;ALİ ÖREN;D.TEKELİ;2;%15.96(3);30;1:54.52;3,45;7 Boy
2;YALNIZAY KG DB;3y k  e;YALNIZEFE;AYÇİÇEK;55;A.YILDIZ AP;ERKİN CELEP;A.COŞKAN;5;%8.94(4);28;1:55.67;13,25;8 Boy
3;UZUNBİR DB;3y a  e;TÜMÖZ BEY;PIRIL PIRIL;53 +0.70;E.ÇİZİK AP;SUNGUR SOYDAM;MEH.KAYA;7;%7.92(5);30;1:56.96;8,80;Boyun
4;ÇİFTÇİ KARDEŞ KG K DB;3y a  e;BİTİRİMKARINCA;LALUŞ;57;GÖKH.GÖKÇE;İSMET ÇİFTÇİ;M.TAMER;10 - DS;%16.84(2);;1:57.04;4,60;2,5 Boy
