İstanbul;(55. Yarış Günü);17/08/2022
1. Kosu :   14:00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)18.630 TL;2.)7.452 TL;3.)3.726 TL;4.)1.863 TL;5.)932 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DEMİRYILDIZ KG SK;6y k k;TOŞUR;NUR YILDIZI;57,5 +0.20;E.ÇANKAYA AP;İBRAHİM HALİL YILDIZ;OL. AKTÜRK;6;%5.71(6);58;2:09.08;16,25;4,5 Boy
2;BARUT KG DB;6y a  a;ÖZGÜNHAN;SEYHATÇI;55,5;M.S.ÇELİK;AHMET KORKMAZ;S.ALMAZ;8 - DS;%28.98(1);52;2:09.91;1,80;2 Boy
3;ŞAHİNŞEVKET KG DB SK;8y k  a;BİLGİN;KERİME;50 +2.00;M.HAMEDİ;SIRAÇ DEMİR;F.DEMİR;3;%3.24(8);39;2:10.16;14,40;Yarım Boy
4;ERSAVAŞ KG DB SK;4y a  a;UÇANOĞLU;DERİNCAN;56;G.ÖZÇELİK;DEMİRHAN YILMAZ;S.BEKTAŞ;4;%13.05(4);57;2:10.24;5,95;2 Boy
5;EDİTÖR KG;5y d  a;KURTEL;KIŞKIRTICI;50,5 +2.00;O.YILDIZ;KASIM TUMBUL;R.KILIÇ;5;%19.4(2);42;2:10.51;3,50;
6;TANIRBEY KG SK GKR;5y a  a;ALTAHA;BUSELİ;60,5;A.KURŞUN;MEHMET DOĞAN;D.KAYA;7;%7.73(5);62;2:11.07;9,15;
7;FIRTINA VADİSİ KG SK GKR;7y a  a;TURBO;DİLASU;59,5;M.ÖZDEMİR AP;MUNİR GÖKÇE;E.KOCA;1;%17.05(3);66;2:15.49;4,35;
8;ALTIN SUYU KG SK;6y a k;TURBO;ALTINYAĞMUR;60;H.YOLAÇICI AP;ALİ ÖZBAKIR;A.ÖZBAKIR;2;%4.85(7);67;2:18.11;14,30;
GANYAN(4) :16,25 TL, İKİLİ(4/6) :16,40 TL, SIRALI İKİLİ(4/6) :51,75 TL

2. Kosu :   14:30;SATIŞ 3; 3 ve Yukarı İngilizler; 55.00kg; 60.00 kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)97.000 TL;2.)38.800 TL;3.)19.400 TL;4.)9.700 TL;5.)4.850 TL;1.)22.310 TL;2.)8.924 TL;3.)4.462 TL;4.)2.231 TL;5.)1.116 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALBERTO KG DB;7y a  a;DR FONG (USA);KINALI YÖRÜK;60;H.ÇİZİK;MÜTHİŞ ÖLÇER;N.ESEN;10 - DS;%58.47(1);99;2:06.21;1,20;2,5 Boy
2;ZLATIBOR DB SK;5y d  a;VICTORY GALLOP (CAN);GOLD BIHAR;60;A.KURŞUN;DEMİRHAN YILMAZ;S.BEKTAŞ;1;%13.65(2);77;2:06.57;3,95;Baş
3;EĞİL ATEŞİ K GKR;6y d  a;DEĞİRMENDERELİ;SAHRA;58;M.ÇİÇEK;NİHAT ARSLAN;Ö.AKKAYA;4;%10.54(3);68;2:06.60;7,60;6,5 Boy
4;UĞUR BUBAM DB SK BB;6y d  a;WIN RIVER WIN (USA);MISS DISCO;54;A.ASLAN;MASİS MARKARYAN;E.KARAKÖLEOĞLU;8;%4.42(5);57;2:07.61;11,85;Baş
5;YILMAZER KG DB ÖG;4y d  a;SMART ROBIN (JPN);TEKYILDIZ;58;G.ÖZÇELİK;EKİN YAĞCI;D.SEVGİLİ;9 - DS;%3.23(6);30;2:07.63;24,70;
6;HODRİ MEYDAN DB SK;4y d  a;HELMET (AUS);PIAFFE (USA);56;M.S.ÇELİK;AHMET KAYABAŞI;S.ALTINDAĞ;3;%0.99(10);32;2:08.75;29,85;
7;MINSK DB SK;4y d k;KING DAVID (USA);DENTELLE (FR);54;E.AKTUĞ AP;ALAETTİN ÖZCAN;E.KOCA;6;%1.31(8);29;2:10.37;29,70;
8;FİNAL;5y d  a;LUXOR;SEPTEMBER DANCER;53;GÖK.BEKTAŞ;İBRAHİM TAŞEL;R.GÜNELİ;7;%1.05(9);54;2:11.10;35,30;
9;FİLANDOZ K;5y d  a;GRAND EKINOKS;EKINOKS CODE;60;M.KAYA;BARIŞ GÖRGÜN;Ş.GÖKÇE;5;%4.95(4);55;2:12.23;10,25;
10;FRENCH CADET KG SK;4y d k;LUXOR;FRENCH CHANNEL (USA);58;D.KAYA;SUAT YILMAZ;K.BALTACI;2;%1.38(7);37;2:14.64;30,10;
GANYAN(1) :1,20 TL, İKİLİ(1/3) :2,35 TL, SIRALI İKİLİ(1/3) :3,00 TL, ÜÇLÜ BAHİS(1/3/4) :1,57 TL, PLASE(1) :1,05 TL, PLASE(3) :1,05 TL, PLASE İKİLİ(1/3) :2,10 TL, PLASE İKİLİ(1/4) :2,10 TL, PLASE İKİLİ(3/4) :2,10 TL, 1. ÇİFTE(4/1) :22,70 TL

3. Kosu :   15:00;ŞARTLI 5/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1500m; Sentetik;;;;Rekor Derece :1.38.17
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)18.630 TL;2.)7.452 TL;3.)3.726 TL;4.)1.863 TL;5.)932 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YİĞİTKARDEŞ KG SK;5y a  a;KAIZBERT (RU);EZGİHANIM;59,5;M.S.ÇELİK;EMRE KARAYEL;A.E.BAŞ;3;%39.38(1);98;1:40.64;1,45;2 Boy
2;GÜMÜŞKESEN KG;8y k  a;TURBO;GÜL TUNCA;59,5;A.ÇELİK;ÇETİN ARSLAN;E.KOCA;7 - DS;%27.08(2);88;1:40.96;2,50;2 Boy
3;NAKIŞ KG SK;5y d  a;BATUKAN;BAKHABER;57,5;E.AKTUĞ AP;GÜL NUR SÜMER;H.ALTUNBAŞ;1;%4.5(6);74;1:41.37;11,00;1 Boy
4;TANIRKIZ SK;5y a k;KAIZBERT (RU);ENDEKS;55,5 +0.20;M.ÖZDEMİR AP;UĞUR TANIR;M.SOYKUVVET;6;%5.79(5);79;1:41.50;7,45;Yarım Boy
