İzmir;(43. Yarış Günü);09/04/2023
1. Kosu :   14:00;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.38.10
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YANGTZE KG K DB;3y d  d;MENDIP (USA);KONTESSE LULU;56 +1.60;K.GÖKÇE AP;FARUK ATEŞ;MEH.KAYA;7;%9.11(5);31;1:44.00;10,15;5 Boy
2;SERT TUFAN KG DB SK;3y a  e;SPEEDY WOLF;HAKİME;54;E.ÇİZİK AP;ŞÜKRÜYE ADIŞEN;Ş.ÖZDENİZ;5;%10.41(4);31;1:44.79;7,70;1,5  Boy
3;KINGBROTHERS DB SK;3y d  e;CORINTHIAN (USA);PEACE TALK (USA);61;M.M.BİLGİN;RECEP DİKKULE;Ş.GÜMÜŞ;4;%43.81(1);43;1:45.04;1,60;Yarım Boy
4;KING USTA KG SK;3y d  e;PAPA CLEM (USA);YAĞIŞIM;58;A.C.DAĞDEVİREN;UĞUR ALTUNBAŞ;M.BALIK;1;%0.9(7);;1:45.11;49,00;Yarım Boy
5;IVAR THE BONELESS DB;3y d  e;TOROK (IRE);KAŞEN;58;MER.ÇELİK;FAHRİ ŞEN;C.T.KÖSE;6;%15.96(3);;1:45.22;3,55;
6;CANPOLAT AĞA SK;3y d  e;CORINTHIAN (USA);HATTRICK;54;İ.S.SÖĞÜT AP;MURAT ÇELİK;FAH.CEYLAN;2;%0.99(6);;1:49.30;56,00;
7;BRONZE HILL KG SK;3y d  e;GENERAL QUARTERS (USA);ME MOE YOU CURLY (USA);58;O.YILDIZ;ENGİN TEPE;C.ARPEK;8;%18.25(2);;1:49.55;2,70;
8;WHELMING BOY KG SK;3y d  e;SIDNEY'S CANDY (USA);LE REVE;58;F.AVCI;FİKRET KANMAN;M.AKKUŞ;3;%0.58(8);;1:53.59;90,65;
GANYAN(8) :10,15 TL, İKİLİ(6/8) :20,65 TL, SIRALI İKİLİ(8/6) :65,90 TL

2. Kosu :   14:30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.25.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)82.000 TL;2.)32.800 TL;3.)16.400 TL;4.)8.200 TL;5.)4.100 TL;1.)14.145 TL;2.)5.658 TL;3.)2.829 TL;4.)1.415 TL;5.)707 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MICHEAL K DB;3y d  e;HEMSWORTH (USA);MAKE ME SMILE;61;Ö.YILDIRIM;A.FERHAT KÜÇÜKER;A.COŞKAN;4;%68.22(1);76;1:28.66;1,10;6,5 Boy
2;CRAZY HORSE KG DB SK;3y d  d;MENDIP (USA);MAMMA MIA;56;N.AVCİ;NANCY KİBAR;Ş.ÇELİK;5;%2.85(5);37;1:29.77;15,70;4 Boy
3;AEGEAN KNIGHT SKG SK;3y d  e;MARCAVELLY (USA);FLORIDA WILDCAT (USA);57;E.ÇİZİK AP;MUSTAFA KOCATÜRK;Ü.AYBOĞA;3;%16.36(2);59;1:30.31;3,65;5 Boy
4;GLORY BOX KG K DB;3y a  d;SIDNEY'S CANDY (USA);LADY YAREN;56 +0.50;M.GÖNÜLTAŞ;ALOŞ YILDIRIM;M.ÇAM;1;%5.32(4);49;1:31.16;6,85;2,5 Boy
5;CREATHİNK DB SKG SK;3y d  e;GREY CORAL;APRIL RYAN;58;M.ÇİÇEK;ERCAN TATI;D.TEKELİ;2;%7.25(3);39;1:31.52;5,75;
GANYAN(2) :1,10 TL, SIRALI İKİLİ(2/4) :11,65 TL, 1. ÇİFTE(8/2) :14,60 TL

3. Kosu :   15:00;ŞARTLI 5/DHT; 4 Yaşlı Araplar; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.17.95
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TELSERENCAN KG SK;4y d  a;ORÇUN;KAFKASCAN;60;Ö.YILDIRIM;HAYATİ CAN;A.R.YILDIZ;4;%49.84(1);83;2:24.26;3,00;2,5 Boy
2;ALTINÜZÜM KG K;4y a  a;KARAÜZÜM;ALTINYUMAK;58;N.AVCİ;HÜLYA TEMEL;C.AYDOĞAN;1;%26.13(2);59;2:24.66;1,60;Baş
3;CEBEBEY KG;4y a  a;ARASLI;SEVİNÇKAN;58;O.YILDIZ;TARKAN H. ONAR;SEY.GÖKÇE;5;%18.86(3);68;2:24.69;2,10;16 Boy
4;AKLIM DB SKG SK;4y d  a;YÜREKKAYA;AKLIMDA;54 +1.00;A.KÜRÜNDÜK;HALİL ASLAN;HAK.ASLAN;2;%0.99(5);33;2:27.30;31,75;Burun
5;YANIK ADEM KG GKR;4y d  a;OYMAKBEYİ;BİLGİLİ;54;E.ÇİZİK AP;FAİK GÖNÜLTAŞ;N.GÖNÜLTAŞ;6 - DS;%3.55(4);49;2:27.31;11,85;
6;OLGUNRÜZGAR;4y a  a;JOKER;ATEŞDİKENİ;50 +1.70;E.D.ÖKTEN AP;BÜLENT AKBÖRÜ;C.ARPEK;3;%0.63(6);34;2:28.09;54,90;
GANYAN(1) :3,00 TL, SIRALI İKİLİ(1/2) :2,70 TL, 2. ÇİFTE(2/1) :2,25 TL

4. Kosu :   15:30;Handikap 15/DHÖW /H2; 4 Yaşlı Araplar; kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CANOVA KG DB;4y a  a;KAIZBERT (RU);CAN NUR;57;N.AVCİ;ERKAN BAL;E.ATEŞ;3;%14.85(3)  %16.91(2);43;1:54.33;3,40;1 Boy
2;ALTIN ŞİMŞEK KG DB;4y k  a;ŞİMŞEĞİNOĞLU;NAZLI GELİN;59,5;M.BAYDAN;MİKAİL ALTIN;F.KEMAHLIOĞLU;1;%13.4(4)  %12.36(4);48;1:54.48;6,10;Yarım Boy
3;GÜÇALP YP;4y a  a;ATEŞTOPU;HAKİKAT;57,5;E.ÇİZİK AP;ÖZGÜR DEMİR;MEH.KAYA;2;%20.74(1)  %25.26(1);50;1:54.58;2,70;7,5 Boy
4;YİĞİTŞEF KG K DB;4y d  a;TÜMÖZ BEY;BÖRTEKİZ;52 +0.60;A.YILDIZ;MUSTAFA KOCATÜRK;Ü.AYBOĞA;8;%2.61(10)  %2.04(10);33;1:55.85;29,35;1,5  Boy
5;SEYYAHTAY SKG;4y d  a;DARBE;TUTKUKAYA;50,5 +1.50;İ.S.SÖĞÜT AP;İBRAHİM ATAK;Ü.AYBOĞA;4;%1.71(11)  %1.28(11);36;1:56.06;25,20;
6;DUYGUDENİZİM KG SK;4y k k;KARAÜZÜM;YENİCELİ;56;A.C.DAĞDEVİREN;M.ÖMER NAUSHAD MA;D.TEKELİ;9;%4.15(8)  %3.18(8);41;1:56.47;19,45;
7;BUCA ARSLANI K;4y k  a;YAŞARCIK;BENLİ ANA;57,5;E.AKTUĞ;K.CEVAT DAYSAL;Ş.ÖZDENİZ;10;%9.04(5)  %8.23(5);44;1:56.55;8,40;
8;CESUR RÜZGAR KG K;4y k  a;KARAÜZÜM;HANIMER;56;M.UYAR AP;EKREM BİRDEN;MEH.KAYA;5;%8.46(6)  %6.95(6);47;1:56.70;12,05;
9;MEHLİKA ABLA KG SK;4y d k;TÜMÖZ BEY;MEHLİKA;59,5;M.ÇİÇEK;SEVİM KARACA;MEH.KAYA;7;%15.91(2)  %15.99(3);48;1:57.08;3,85;
10;SAHRANIN GÜLÜ KG SK;4y k k;ŞAH ŞEHRİYAR;SAHRA YILDIZI;52,5;C.PASO AP;H.TARIK DİKENCİK;M.ÖZGÜL;6;%3.05(9)  %2.21(9);36;2:02.47;25,65;
11;TUNA NEHRİ KG K GKR;4y d  a;ÖZGÜNHAN;NEVRA;54 +2.00;F.AVCI;ALİ ÖREN;S.ŞAHYAZICI;11 - DS;%6.08(7)  %5.59(7);37;Derecesiz;10,75;
