İstanbul;(40. Yarış Günü);13/07/2022
1. Kosu :   14:00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)75.000 TL;2.)30.000 TL;3.)15.000 TL;4.)7.500 TL;5.)3.750 TL;1.)21.563 TL;2.)8.625 TL;3.)4.313 TL;4.)2.156 TL;5.)1.078 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NURSELİN;2y a  d;YILDIRIMBEY;TUĞÇE HANIM;57;VEDAT ABİŞ;ONUR SUMEL;MAH.BAYKARA;6;%20.55(3);36;1:12.69;2,55;4,5 Boy
2;COURTS ANGEL SK;2y d  d;POWERSCOURT (GB);ASAIR CRAFT;57;G.YILDIZ;BAŞAK BİROL;S.AYDOĞAN;1;%23.8(2);;1:13.42;4,05;3 Boy
3;ZATOPEK KG K;2y d  d;TRIPLE BONUS;MAKARON;57;N.AVCİ;TRACY KAYAHAN;S.KERESTECİ;4;%5.52(6);;1:13.86;15,45;3,5 Boy
4;FREE LUCKY K;2y d  d;DUTYFREE;I WANT LUCK;54 +1.00;E.AKTUĞ AP;ALP Ş. EVCİMEN;H.BOYRAZ;8 - DS;%7.36(4);;1:14.37;10,50;Yarım Boy
5;HOLD ON KG SK;2y d  d;TOROK (IRE);CHICA LOCA;57 +0.30;T.YILDIZ;MURAT ÇAĞIMNI;D.ALCEYLAN;3;%6.56(5);;1:14.45;14,95;
6;DANCE OF VICTORY SKG SK;2y d  d;VICTORY GALLOP (CAN);WIN STAR WIN;57;Ö.YILDIRIM;VELAT BAYBAŞİN;ALİ BOZKURT;5;%34.92(1);;1:14.74;1,80;
7;BLUE RAIN KG SK;2y d  d;SIDNEY`S CANDY (USA);GALATASULTANI;57;GÖK.BEKTAŞ;SABRİ AVCI;A.DEMİRKIRAN;2;%1.12(7);;Derecesiz;42,05;
8;COTE D AZUR KG K DB (Koşmaz);2y a  d;CRIMEAN TATAR;MISS DENNIS;53;T.YILMAZ AP;BÜLENT YILDIRIM;E.ÇUKURKAŞ;7;%0.17(8);;Koşmaz;;
GANYAN(7) :2,55 TL, İKİLİ(3/7) :6,65 TL, SIRALI İKİLİ(7/3) :11,15 TL

2. Kosu :   14:30;ŞARTLI 4; 3 ve Yukarı İngilizler; 54.50kg; 60.00 kg; 60.00 kg; 1600m; Çim;;;;Rekor Derece :1.33.05
İkramiye;;;;;Yetiştirici Primi;;;;
