İstanbul;(21. Yarış Günü);14/03/2022
1. Kosu :   15:45;ŞARTLI 4/Dişi; 4 ve Yukarı İngilizler; 58.00kg; 59.00 kg; 1400m; Sentetik;;;;Rekor Derece :1.22.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MINDHUNTER SK;5y d k;SCARFACE;ACOUSTIC;55 +0.80;GÖKH.GÖKÇE;KEMAL KURT;A.KÜÇÜKAKSOY;1;;77;1:24.93;5,90;1,5  Boy
2;JUNO K YP;6y a k;RIP VAN WINKLE (IRE);PRAESEPE (GB);55 +1.00;G.KOCAKAYA;ALİ RIZA ÇELİKOĞLU;U.BİLİK;7 - DS;;85;1:25.15;1,65;3,5 Boy
3;SAETTA KG K;5y d k;KANEKO;POLENTE;56 +0.40;S.BOYRAZ;SELMAN ERDEMİRCİ;M.ERKUŞ;3;;85;1:25.70;4,95;3,5 Boy
4;ÇİRÇUZ KG DB SK;5y d k;KANEKO;BERKETTE (USA);59;VEDAT ABİŞ;ÖZGÜR ÖZTÜRK;EN.KARATAŞ;4;;95;1:26.29;2,35;8 Boy
5;HUMA SULTAN DB;4y d k;LUXOR;HUMA KUŞU;54;M.HAMEDİ;MUSTAFA CENGİZ;A.TEKDEMİR;2;;54;1:27.83;27,45;
6;TURN THE PAGE SK;4y d k;SEPOY (AUS);MUJAMALA (IRE);54;B.ÇIĞLA AP;GÜLSÜN TAŞKIRAN;C.TURAN;6;;23;1:27.91;68,50;
7;A FINE DAY TO FLY K (Koşmaz);4y k k;CLODOVIL (IRE);HOLAMO (USA);54;M.ÇİÇEK;ÇİĞDEM ÇELİK;A.ŞIVGIN;5;;54;Koşmaz;;
GANYAN(4) :5,90 TL, İKİLİ(3/4) :8,35 TL, SIRALI İKİLİ(4/3) :32,05 TL, ÜÇLÜ BAHİS(4/3/2) :19,41 TL

