İzmir;(25. Yarış Günü);03/07/2022
1. Kosu :   12:30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)68.000 TL;2.)27.200 TL;3.)13.600 TL;4.)6.800 TL;5.)3.400 TL;1.)19.550 TL;2.)7.820 TL;3.)3.910 TL;4.)1.955 TL;5.)978 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DAĞBEYİ KG SK;3y a  e;BAHARŞAH;HIZLISOY;53;A.YILDIZ AP;ABDULLAH AKKUŞ;T.ATEŞ;6;%18.65(3);30;1:20.87;6,45;5 Boy
2;ÇAYCIBEY KG SK;3y a  e;HİSARBEY;IŞILTI;53 +2.00;E.ÜSTÜN AP;GÖKHAN ERDOĞAN;S.O.APAYDIN;5;%0.94(10);;1:21.69;60,05;6,5 Boy
3;PINAR ABLA KG SK;3y d  d;ONURKAAN;GÜRGÖZE;52;C.PASO AP;FATMA KILIÇASLAN;A.TEKE;12;%20.35(2);;1:22.77;2,35;Burun
4;GENDAGIRLS DB SK;3y k  d;TURBO;ÖZİLTER;53 +2.00;K.GÖKÇE AP;HASAN M. ATİK;MEH.KAYA;11;%4.62(7);27;1:22.79;18,80;1 Boy
5;YALNIZAY KG DB;3y k  e;YALNIZEFE;AYÇİÇEK;57;B.M.MIRIK;ERKİN CELEP;A.COŞKAN;8;%8.54(4);;1:22.92;14,75;
6;YERGÜLÜ SKG SK;3y a  d;DELİ UĞUR;BAHAR YAĞMURU;51;G.KAYIP AP;İBRAHİM H. BEYAZŞAHİN;A.TEKE;1;%0.55(12);15;1:23.01;67,30;
7;ZİNCİRLİ PRENSES KG;3y d  d;KURTEL;AYBASTI;55;A.C.DAĞDEVİREN;NURDENİZ EMRE;M.KURDU;4;%1.19(8);;1:23.52;58,45;
8;HIRÇIN HATUN DB SK;3y k  d;YÜREKKAYA;HIRÇINKAYA;51 +0.40;M.B.ÖNCEL AP;CAVİDAN KAYA ÖZASLAN;F.KEMAHLIOĞLU;10;%0.84(11);;1:23.81;58,00;
9;AYSARANDA K DB;3y k  d;TAMERİNOĞLU;NÜKHET;55 +0.30;H.KAPLAN;LÜTFİ TURAN;M.U.TURAN;9;%4.83(6);14;1:26.42;17,40;
10;DERİNDEN KG DB;3y k  e;ÖZGÜNSOYLUM;DERİN DALGA;57;MER.ÇELİK;GÜNSEN SOYUPAK;B.GÜL;7;%31.76(1);28;1:26.60;2,00;
11;MİNELİ KIZ KG SK;3y a  d;KIBRISLI;MİNEKAYA;51;M.UYAR AP;ALİ KAYA;M.ALİ KAYA;3;%1.17(9);;1:26.84;47,50;
12;UÇAN SABRİ KG;3y a  e;UÇANOĞLU;ELİFZEYNEP;54 +1.00;MUH.OK AP;AYSEL ŞİMŞEK;Ü.AYBOĞA;2;%6.57(5);;1:28.79;10,75;
GANYAN(2) :6,45 TL, İKİLİ(1/2) :200,75 TL, SIRALI İKİLİ(2/1) :112,40 TL

2. Kosu :   13:00;Handikap 21/DHÖW /H2; 4 ve Yukarı Araplar; kg; 1900m; Çim;;;;Rekor Derece :2.05.01
İkramiye;;;;;Yetiştirici Primi;;;;
1.)91.500 TL;2.)36.600 TL;3.)18.300 TL;4.)9.150 TL;5.)4.575 TL;1.)21.045 TL;2.)8.418 TL;3.)4.209 TL;4.)2.105 TL;5.)1.052 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÖZDOĞA DB;7y d k;ÖZGÜNHAN;TAMGÜL;50 +1.00;C.PASO AP;KAYA KAYA;M.ALİ KAYA;2;%5.99(6);53;2:07.59;13,55;1 Boy
2;İSTANBUL MUHAFIZI KG DB;5y k  a;AYABAKAN;MELDEGÜLÜ;57,5;MER.ÇELİK;İSMET ARSLANCA;T.TEMİZER;6;%40.28(1);72;2:07.76;1,60;Yarım Boy
3;BORABEY DB SKG SK SGKR;5y k  a;UÇANOĞLU;MOR ELMAS;63;B.KURDU;NURTEN ERDÖLEK;M.DÜLGAR;5;%24.9(2);83;2:07.87;2,80;4,5 Boy
4;KENANLI DB SKG SK GKR;5y a  a;AYABAKAN;NALANIM;58,5;GÖKH.GÖKÇE;ZAFER GEZİCİ;SEYİT GÖKÇE;3;%9.08(3);74;2:08.58;10,65;2 Boy
5;TANIRBEY KG SK GKR;5y a  a;ALTAHA;BUSELİ;53,5;N.AVCİ;AHMET AKBULUT;A.AKBULUT;4;%2.69(7);64;2:08.87;23,10;
6;ADAMIM KG K DB;5y a  a;BERKSOY;ŞANSLI;57;E.AKTUĞ AP;NADİR ÇETİNER;T.TEMİZER;7;%7.66(5);75;2:10.03;10,70;
7;BABADAĞINOĞLU KG;8y k  a;UÇANBEY;BELLİS;60;K.TOKAÇOĞLU;İBRAHİM HALİL GÜRCÜ;H.KARATAŞ;1;%7.97(4);77;2:17.03;8,60;
8;KRAL ARTUR KG SK;7y d  a;DEHA;ONBİR AYIN SULTANI;54,5 +1.20;MUH.OK AP;ÜMRE SULTAN BÜYÜKBAŞ;C.T.KÖSE;8 - DS;%1.44(8);70;2:25.48;29,50;
GANYAN(8) :13,55 TL, İKİLİ(5/8) :9,75 TL, SIRALI İKİLİ(8/5) :39,95 TL, ÜÇLÜ BAHİS(8/5/1) :39,88 TL, PLASE(5) :1,05 TL, PLASE(8) :1,05 TL, 1. ÇİFTE(2/8) :88,40 TL

3. Kosu :   13:30;ŞARTLI 4; 3 Yaşlı İngilizler; 58.00kg; 1800m; Çim;;;;Rekor Derece :1.48.24
İkramiye;;;;;Yetiştirici Primi;;;;
1.)62.000 TL;2.)24.800 TL;3.)12.400 TL;4.)6.200 TL;5.)3.100 TL;1.)10.695 TL;2.)4.278 TL;3.)2.139 TL;4.)1.070 TL;5.)535 TL;
