İstanbul;(17. Yarış Günü);01/03/2023
1. Kosu :   15:00;ŞARTLI 4/DHÖ; 4 Yaşlı Araplar; 58.00kg; 1300m; Sentetik;;;;Rekor Derece :1.23.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TURBODİZEL KG;4y a  a;TURBO;CUNDAVİLLA;54 +1.20;G.KOCAKAYA;ŞABAN KARAMAN;MAH.BAYKARA;6;;46;1:26.58;6,90;Boyun
2;NAİFOĞLUM KG DB SK;4y k  a;UÇANOĞLU;MUNGAN;55 +0.40;H.KARATAŞ;ERHAN SÖĞÜT;A.R.YILDIZ;7 - DS;;63;1:26.63;1,55;4,5 Boy
3;KAHRAMANEFE KG K GKR;4y k  a;GELİBOLU;KAHRAMANKIZ;54 +1.40;H.ÇİZİK;NASRİ ARTAR;D.ERGİN;2;;55;1:27.56;3,20;4 Boy
4;SELCAN HATUN SKG SK;4y k k;TURBO;AHSEN HANIM;52 +1.30;A.YILDIZ AP;ABDULLAH KAYA;B.ATAY;5;;57;1:28.34;21,25;1 Boy
5;ATEŞTAY KG K;4y a k;GÜNTAY;EMİRANUR;53 +1.00;VED.ABİŞ;FATİH KURU;N.ESEN;3;;56;1:28.49;4,65;
6;MAVİ SAKAL KG SK GKR;4y k  a;HABERBATUR;DİLRUBA SULTAN;55;GÖK.BEKTAŞ;SUAT YILMAZ;E.ÇUKURKAŞ;1;;39;1:28.76;36,25;
7;SAVAŞÇITAY K DB;4y k  a;GÜNTAY;YAKINBÜKE;54;A.ASLAN;MURAT AKKILIÇ;E.ÇUKURKAŞ;4;;50;1:30.59;19,15;
GANYAN(5) :6,90 TL, İKİLİ(2/5) :4,65 TL, SIRALI İKİLİ(5/2) :17,90 TL, ÜÇLÜ BAHİS(5/2/3) :16,74 TL

2. Kosu :   15:30;Handikap 15/DHT /H1; 4 ve Yukarı Araplar; kg; 2100m; Sentetik;;;;Rekor Derece :2.22.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KURT ENGİN KG SK;5y k  a;BABA MEVLÜT;BLUE VELVET;60,5;G.KOCAKAYA;RECEP GÜLDOĞDU;E.USLU;7;%8.61(6);58;2:25.34;11,15;Yarım Boy
2;HALAY K;5y a  a;GELİBOLU;BİLGEAT;61;H.KARATAŞ;Z.AHSEN KURUM;ŞÜK. ÇELİK;11 - DS;%25.61(1);59;2:25.42;2,35;3,5 Boy
3;ELİTTAY KG DB SK;4y a  a;ALTAHA;HARİKA;56,5;VED.ABİŞ;BİRKAN BORA AKARSU;E.KARAKÖLEOĞLU;2;%18.72(2);56;2:26.02;3,25;1 Boy
4;CESURBUĞRA KG GKR;5y a  a;KURTEL;KIYMET HANIM;51,5 +1.50;M.BAĞ AP;MEHMETAKİF KAYA;Ç.AYDIN;1;%9.01(5);46;2:26.22;11,90;3 Boy
5;DİLANUR DB;5y a k;ÖZGÜNHAN;TAMUN;51,5 +1.70;A.İNCİ;İSMAİL YILMAZ;B.AVCI;3;%2.63(9);40;2:26.81;31,65;
6;GÜLAĞA KG DB SK;5y k  a;JOKER;İREMCAN;56;GÖK.BEKTAŞ;SONER GÜL;M.ERKUŞ;12 - DS;%2.6(10);49;2:27.04;22,45;
7;ARISAN KG;9y a  a;ÖZGÜNHAN;VERA;51,5 +2.00;M.HAMEDİ;ÖZNUR AYDOĞDİ;SERD.AYDOĞDİ;6;%12.69(3);40;2:27.13;4,95;
8;ŞANS KAYNAĞI KG DB SK;5y k k;BALIKHAN;KAYNAK;56,5;O.YILDIZ;FATMA NİLGÜN KUTLU;M.MEHMET İNAL;10 - DS;%9.52(4);50;2:28.27;6,10;
9;HÜR UÇAN KG DB;6y k  a;UÇANOĞLU;BLUE VELVET;60;BERK.GÖKÇE AP;ADNAN GELEN;M.SOYKUVVET;9 - DS;%5.75(7);63;2:28.70;24,85;
10;ESERALP KG DB;9y d  a;TIGRES LIGHT (US);ZAFİRE.16;58;A.CEYLAN AP;BİHTERCAN ATAÇ;Z.B.DURGUN;5;%3.33(8);59;2:29.69;38,05;
11;ABERNALI KIZ KG K DB;5y a k;BİTİRİMKARINCA;SOYDAN;50,5 +2.00;B.ÇIĞLA AP;ORHAN KARAMAN;ŞÜK. ÇELİK;4;%0.81(11);38;2:34.66;75,70;
12;BABA İLHAMİ KG;12y k  a;GOBAKBEY;GİRYAN;50 +2.00;C.KARADEMİR AP;M.ASIM ÇÖMLEKÇİOĞLU;Ö.F.TAŞDELEN;8;%0.71(12);25;2:51.13;86,65;
GANYAN(4) :11,15 TL, İKİLİ(3/4) :18,85 TL, SIRALI İKİLİ(4/3) :49,50 TL, 1. ÇİFTE(5/4) :105,65 TL

3. Kosu :   16:00;Maiden/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 1400m; Sentetik;;;;Rekor Derece :1.31.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SAFDERUN KG K DB;4y a k;BESLENEY;NAKİYE;56;A.YILDIZ AP;UMUT BABADAĞLI;R.GÜNELİ;11;%10.58(3);33;1:36.27;5,85;1 Boy
2;ALEVİN RENGİ KG DB GKR;4y a k;ADANIR;DÜŞLER SULTANI;58;T.YILDIZ;CAN SALİH TAVUKCU;T.YILMAZ;6;%19.68(2);32;1:36.39;2,40;Boyun
3;MELDE KIZ KG DB SK;4y k k;SİLAH;MELDEGÜLÜ;58;H.KARATAŞ;NEHAR ORHON;SEN.ŞEN;12;%31.31(1);32;1:36.44;2,30;9 Boy
4;PAMUCAK SK;4y k k;ZENGİNOĞLU;ALYA EYLÜL;58;MER.ÇELİK;UĞUR KORKUT;MUR.AKKILIÇ;3;%8.18(5);32;1:38.11;11,45;2,5 Boy
5;BERKAY GÜZELİ KG DB SK;4y a k;BERKAY EFE;ŞENOCAK GÜZELİ;58;F.ARSLAN;RUKEN ATAŞ;Ö.F.TAŞDELEN;10;%9.49(4);29;1:38.52;10,95;
6;KAMİLLA KG SK;4y k k;AĞA KARACA;KAMİLE;58 +0.20;M.KAYA;ABDULLAH AVCI;S.ÇİFTÇİ;8;%6.88(6);29;1:39.92;11,90;
7;KIZIL TAY KG K DB GKR;4y k k;JOKER;KINA KINA;58;E.AKTUĞ;BİRSEN NUR ÜNLÜ YİĞİT;M.SOYKUVVET;1;%4.07(8);;1:40.41;32,55;
8;FRENKLİ ÇİÇEĞİ KG SK;4y a k;JOKER;BERMİNA;55;B.ÇIĞLA AP;OSMAN GÜLER;T.İMAL;4;%1.02(11);;1:40.54;71,05;
9;ESTER KG K;4y a k;ENGİNHAN;KÜÇÜK;58 +0.10;G.ÖZÇELİK;A.NECDET HINÇ;A.N.HINÇ;7;%5.77(7);;1:41.33;18,60;
10;MİRKIZIM KG K;4y k k;BERKSOY;TATLIM;58;D.KAYA;EREN AKBULUT;H.ACAR;9;%0.5(12);;1:43.75;97,00;
11;ÇALIOBALI KG DB SK;4y a k;GELİBOLU;ALTIN ATEŞ;58;A.İNCİ;ZAFER TEMUÇİN;U.TEMUÇİN;5;%1.38(9);;1:43.88;36,20;
12;MISS BALKAN KG K DB GKR;4y a k;AYABAKAN;UZUN TUĞBA;58;M.DEMİRBAŞ;KADRİYE VATANSEVER;A.OLCAR;2;%1.13(10);;1:47.20;52,60;
GANYAN(12) :5,85 TL, 1. 3'LÜ GANYAN(5/4/12) :265,70 TL, İKİLİ(1/12) :13,70 TL, SIRALI İKİLİ(12/1) :32,60 TL, ÜÇLÜ BAHİS(12/1/8) :35,61 TL, PLASE(1) :3,40 TL, PLASE(12) :2,25 TL, PLASE İKİLİ(1/12) :5,00 TL, PLASE İKİLİ(1/8) :2,70 TL, PLASE İKİLİ(8/12) :7,20 TL, SIRALI 5 Lİ BAHİS(12/1/8/11/2) :201,79 TL, 2. ÇİFTE(4/12) :83,75 TL

4. Kosu :   16:30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MR BIG SHOT DB;3y a  e;NATIVE KHAN (FR);KIWANI BAY (GB);56,5;A.SÖZEN;BANU ALEMDAR SÖLPÜK;U.BİLİK;4;%22.62(1);45;1:31.14;1,90;Yarım Boy
2;HIZLI VE ÜNLÜ K DB SKG;3y a  g;FAST 'N' FAMOUS (AUS);TOKGÖZECE;57;F.ARSLAN;HULUSİ TAŞKIRAN;HÜS.KARABULUT;1;%4.07(7);46;1:31.21;29,05;2,5 Boy
3;KING RUNNER DB SK;3y d  e;OSCAR PERFORMANCE (USA);HARD SUN (USA);59,5;H.ÇİZİK;TOLGA BACA;Y.DEMİRKIRAN;2;%11.09(6);51;1:31.63;6,85;1,5  Boy
4;NICE;3y d  g;VICTORY GALLOP (CAN);TONYA;60,5;M.HAMEDİ;NANCY KİBAR;S.KERESTECİ;5;%12.93(5);53;1:31.85;7,65;1 Boy
5;İSTANBUL LIGHT DB SKG SK;3y d  e;SCARFACE;WESTSIDE;56,5 +0.40;Ö.YILDIRIM;SADULLAH CELEN;D.KAYA;3;%19.37(2);45;1:32.02;4,95;
6;CHAUVINIST KG SK;3y a  e;TEMSİL;GÜVEN UNSURU;56;E.AKTUĞ;M.ELİSABETH KURA;D.KAYA;7;%16.4(3);44;1:32.21;3,95;
7;JOVOVICH K DB YP;3y d  d;TOROK (IRE);EMMA;57,5;VED.ABİŞ;EMRAH AGUN;N.ESEN;6;%13.53(4);47;1:34.83;6,75;
GANYAN(6) :1,90 TL, İKİLİ(4/6) :42,70 TL, SIRALI İKİLİ(6/4) :58,60 TL, ÜÇLÜ BAHİS(6/4/2) :110,70 TL, 3. ÇİFTE(12/6) :31,90 TL

5. Kosu :   17:00;KV-7; 4 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 2100m; Sentetik;;;;Rekor Derece :2.09.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)166.000 TL;2.)66.400 TL;3.)33.200 TL;4.)16.600 TL;5.)8.300 TL;1.)38.180 TL;2.)15.272 TL;3.)7.636 TL;4.)3.818 TL;5.)1.909 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KOCA SEYİD KG DB SK;6y d  a;SMART ROBIN (JPN);RED BIRD;58;Ö.YILDIRIM;MEHMET ÇAVUŞ;HAY.YILDIRIM;4;%21.62(2);93;2:09.63;2,35;Yarım Boy
2;VINCITORE DB BB;5y d  a;VICTORY GALLOP (CAN);ELEVATO;56;VED.ABİŞ;NECATİ DEMİRKOL;Z.GÜNELİ;1;%61.21(1);101;2:09.71;1,55;4,5 Boy
3;GANANDO SOLO KG SK;8y d  a;CHURCH PICTURES (GB);SUMMER SUN;56 +1.30;M.KAYA;H.ÇAĞATAY TURAKTEKİN;H.ŞİMŞEK;5 - DS;%2.72(6);90;2:10.48;16,70;Burun
4;STEPS OF IRON DB SK SGKR;4y a  a;TORUK MACTO (IRE);BELLA STEPS;54 +1.50;A.SÖZEN;İLKE BETİR AKBAŞ;G.TURAN;3;%3.17(5);81;2:10.50;14,05;3,5 Boy
5;WINNER MAN KG SK;6y d  a;WIN RIVER WIN (USA);EMMA;56;G.KOCAKAYA;CEM NARİN;S.DURGUÇ;6 - DS;%4.26(4);88;2:11.03;9,95;
6;REAL PATEK SK;5y d k;VICTORY GALLOP (CAN);REAL GIRL;54 +1.40;H.KARATAŞ;T. İZZET AKSOY;A.TEPEBAŞI;2;%7.02(3);85;2:13.91;6,60;
GANYAN(1) :2,35 TL, SIRALI İKİLİ(1/3) :5,25 TL, 4. ÇİFTE(6/1) :12,85 TL

6. Kosu :   17:30;ŞARTLI 5 /X; 3 Yaşlı İngilizler; 58.00kg; 1200m; Sentetik;;;;Rekor Derece :1.09.93
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CARCERES SK;3y k  e;CROSS TRAFFIC (USA);ANOTHERMOUTHTOFEED (USA);54 +1.30;H.KARATAŞ;V.HAKAN KELEŞ;S.KAYMAKLI;3;%48.99(1);55;1:11.64;1,20;3 Boy
2;PRINCE OF DARKNESS KG DB SK;3y d  e;BRAZEN BEAU (AUS);MAGIKA (GB);55 +2.00;M.KAYA;ALİ RIZA ÇELİKOĞLU;U.BİLİK;5;%8.88(3);44;1:12.10;8,05;2 Boy
3;MESMERIZED SK;3y d  d;PACO BOY (IRE);AMARELISE;56;G.KOCAKAYA;EMİR ALKAŞ;N.ESEN;1;%31.01(2);55;1:12.35;3,35;2 Boy
4;TALE OF US KG K;3y d  d;WIN RIVER WIN (USA);MAYA MY LOVE;56;MER.ÇELİK;EMİR KAVÇİN;E.KOCA;6 - DS;%2.5(5);57;1:12.68;21,85;2 Boy
5;VASPURAKAN SK;3y d  e;OGHUZ;SARILAR GÜZELİ;58;H.ÇİZİK;SERDAR ZABUN;T.TAŞAR;2;%1.78(6);44;1:12.94;23,05;
6;MİRA LİNDA KG K;3y d  d;ROCKMASTER (IRE);ŞANSLIKIZ;56;A.SÖZEN;ADNAN SERBEST;A.SERBEST;4;%6.84(4);67;1:13.69;10,30;
GANYAN(6) :1,20 TL, SIRALI İKİLİ(6/5) :6,15 TL, 5. ÇİFTE(1/6) :6,40 TL

7. Kosu :   18:00;Handikap 15 /H1; 4 ve Yukarı İngilizler; kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TIMELORD KG SK ÖG;4y d  a;LAWMAN (FR);AVVENTURA (USA);63;M.KAYA;ALİ RIZA ÇELİKOĞLU;U.BİLİK;7;%6.76(7);64;2:04.25;8,90;3,5 Boy
2;KANAGA;4y a  a;WIN RIVER WIN (USA);MIA BRUNI;56 +0.30;H.ÇİZİK;VOLKAN YOZGATLI;U.TEMUÇİN;12;%10(4);50;2:04.84;8,00;Burun
3;KHANCELOT DB SKG;4y d  a;NATIVE KHAN (FR);LILY OF THE VALLEY;58;G.KOCAKAYA;V.İBRAHİM ARACI;M.KARAGÜNEY;11;%20.9(1);54;2:04.85;3,25;3,5 Boy
4;THE GLOVE SKG SK;4y d  a;DAI JIN (GB);MHYSA;51,5 +2.00;BERK.GÖKÇE AP;İSMAİL HADİOĞLU;A.KÜÇÜKAKSOY;4;%16.43(2);41;2:05.41;4,40;Boyun
5;ENCANTADOR KG K DB;5y d  a;BANKNOTE (GB);LUCKY LIFE;56 +0.10;M.HAMEDİ;DENİZ AÇIK;Y.DEMİRKIRAN;8;%1.71(11);46;2:05.44;32,55;
6;ARTIE JUNIOR KG K DB ÖG;4y d  a;ÇAKAL CARLOS;CAT IN THE HAT;50,5 +2.00;A.YILDIZ AP;HALUK VEFA ERSÖZ;T.KURT;10;%4.63(8);39;2:05.92;20,30;
7;EMİN BABA KG DB;4y d  a;MENDIP (USA);CAROLINA REAPER;50 +2.00;B.ÇIĞLA AP;BÜLENT TAŞÇI;S.BEKTAŞ;13;%1.52(12);35;2:06.34;45,95;
8;DARK LORD KG DB SK;4y d  a;WIENER WALZER (GER);DORUYEL;52,5 +1.80;VED.ABİŞ;SEBATİ DUMAN;T.ŞİT;3;%13.33(3);43;2:06.40;4,80;
9;MERDOKAN KG DB;6y d  a;THREE VALLEYS (USA);SHELLIN (IRE);55;O.YILDIZ;RUBİL GÖKÜZÜM;Ç.ÖZDİL;5;%6.84(6);44;2:06.98;10,35;
10;ZEYBEK FLIGHT KG SK;4y d  a;INDIAN DAYS (GB);NEYTİRİ;51,5 +1.50;Y.E.YÜKSEL AP;SELİN DİKENCİK;Y.KARAKÜÇÜK;9;%1.23(13);43;2:07.59;70,60;
11;FIRTINA KARASI SKG SK;4y d  a;CASH AKÇE;APPEL CANDY;53 +1.50;G.ÖZÇELİK;AYŞE KARACA;İ.KARADAĞ;2;%4.03(9);44;2:09.59;17,00;
12;PAYİDAR DB SKG SK;4y d  a;SMART ROBIN (JPN);AMAZING GRACE;57 +0.10;D.KAYA;EMRE KİSBU;M.ÖZ;6;%9.76(5);52;2:10.28;7,15;
13;CHAIN BREAKER KG DB SK;4y a  a;APPROVE (IRE);ONDÖRTBAHAR;53,5 +1.50;E.AKTUĞ;SERDAR ÜZÜM;U.BİLİK;1;%2.87(10);45;2:13.84;23,10;
