İzmir;(53. Yarış Günü);13/10/2022
1. Kosu :   17:15;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KLEPPE KG K DB GKR;3y a  d;GELİBOLU;ZARİFECAN;55 +0.90;M.GÖNÜLTAŞ;ERDAL YILDIRIM;HAL.KAYA;8;%18.1(3);33;1:20.64;2,80;3 Boy
2;PINAR ABLA DB SKG SK;3y d  d;ONURKAAN;GÜRGÖZE;55 +1.30;İ.KALE;FATMA KILIÇASLAN;A.TEKE;7;%19.37(2);30;1:21.12;3,95;2 Boy
3;GÜZEL VE HIZLI DB SKG SK;3y k  d;KARAÜZÜM;CAN ZEHRA;51 +1.40;C.ALTUN AP;HASAN M. ATİK;MEH.KAYA;1;%9.55(4);30;1:21.38;6,45;2 Boy
4;TURGAYBEYİM KG K DB;3y d  e;TURBO;BERDANGÜLÜ;57;D.PALAUR;SALİHA ULUIRMAKLI;M.AKKUŞ;4;%1.55(9);;1:21.65;38,15;3 Boy
5;KERKÜK KG DB SK;3y k  e;BERKAY EFE;KORKUT ŞIVGA;57 +0.50;M.BAYDAN;ESRA KILIÇASLAN;M.YAPAROĞLU;5;%20.43(1);31;1:22.10;3,40;
6;YELTAYCAN KG SK;3y a  e;GÜNTAY;PRENSES BAHAR;57;A.KÜRÜNDÜK;MEHMET FATİH KAYA;C.T.KÖSE;6;%8.77(5);28;1:22.47;7,30;
7;GÜRTAHA KG DB SK;3y k  e;ALTAHA;ELİFCE;57;E.AKTUĞ;TALAT ÜSTÜNER;MEH.KAYA;2;%8.11(6);27;1:22.48;8,45;
8;GENDAGIRLS DB SK;3y k  d;TURBO;ÖZİLTER;51 +0.50;S.AKŞIN AP;HASAN M. ATİK;MEH.KAYA;9;%2.68(4);27;1:23.16;6,45;
9;MİNELİ KIZ KG DB SK;3y a  d;KIBRISLI;MİNEKAYA;55 +0.30;MER.ÇELİK;ALİ KAYA;F.KEMAHLIOĞLU;3;%4.05(8);17;1:23.25;14,55;
10;AYGEL KG K;3y a  d;GELİBOLU;SEÇİLAY;51 +0.20;M.UYAR AP;MUZAFFER BUĞDAYCI;Ş.ÖZDENİZ;10;%5.36(7);;1:24.37;12,60;
11;ASLAN TEPESİ KG K;3y a  e;BAYHAN;HİSARNAZ;57;B.M.MIRIK;SALİH DURMAZ;MEH.KAYA;11;%1.21(10);;1:24.38;27,70;
12;AKTAŞ ANISI KG DB SK;3y k  d;MERT MELİH;NEVİN;55 +0.70;H.ŞİMŞEK;İSA KATI;M.YAPAROĞLU;12;%0.81(11);;1:24.58;53,15;
[(9)GÜZEL VE HIZLI,(8)GENDAGIRLS,] eküridir.GANYAN(10) :2,80 TL, İKİLİ(10/12) :5,85 TL, SIRALI İKİLİ(10/12) :13,30 TL

2. Kosu :   17:45;ŞARTLI 4; 3 ve Yukarı İngilizler; 57.00kg; 60.00 kg; 60.00 kg; 1800m; Çim;;;;Rekor Derece :1.48.24
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;COOL IMAGE K DB;6y d k;SCARFACE;BERVA;54;E.KADİRLER AP;HÜSEYİN YILDIZ;M.ZELYURT;4;%5.67(6);64;1:50.86;12,95;1,5  Boy
2;AMİRAL HOLD DB SKG SK;4y d k;WIENER WALZER (GER);EMİNE HANIM;58;M.KAYİŞ AP;HACI DURAN KOCA;F.ÇELTİK;3;%25.15(1);78;1:51.07;1,90;2 Boy
3;TEVAZU KG SK;4y d  a;TOROK (IRE);PALLINA (GB);57;E.AKTUĞ;ONUR YETKİN;Ş.ÖZDENİZ;6;%16.49(3);58;1:51.40;4,90;Yarım Boy
4;YAHYAHAN KG K DB;6y a  a;BUENOS AIRES;TULAROSA (GB);60;N.AVCİ;TALAT ÜSTÜNER;MEH.KAYA;7;%6.42(5);75;1:51.47;19,25;3 Boy
5;VERY GOLD KG SK;3y d  d;AZARAKS;SUZİ GOLD;58;B.M.MIRIK;HULUSİ ÇİL;A.COŞKAN;2;%25.12(2);73;1:51.87;3,20;
6;FEARLESS FLAME KG K DB;5y d k;INVINCIBLE SON (IRE);ZHOU (CHI);55;A.YILDIZ AP;DENİZ KURTEL;B.GÜL;10;%11.27(4);62;1:52.20;4,85;
7;KING JACKSON K DB;4y d  a;LUXOR;BERKETTE (USA);58;İ.KALE;SERKAN AYDIN;M.ZELYURT;5;%2.48(8);60;1:52.53;37,85;
8;ZALDIR DB SKG SK;5y d  a;MARCAVELLY (USA);PRINCESS DERYA (USA);56;A.KÜRÜNDÜK;FARUK RONA;H.ARAN;9;%1.62(9);42;1:54.05;28,20;
9;GRAND SUN KG K DB;3y a  e;INVINCIBLE SON (IRE);GROUND SHAKER;55;İ.S.SÖĞÜT AP;ERCAN SÖKMEZ;MEH.KAYA;8;%1.28(10);49;1:55.20;42,80;
10;BREAK THE CHAIN DB SKG SK YP;4y a  a;INVINCIBLE SON (IRE);WISH DREAM;56;MER.ÇELİK;GÜNSEN SOYUPAK;A.A.ZÜMBÜLLER;1;%4.52(7);63;2:00.25;11,50;
GANYAN(4) :12,95 TL, İKİLİ(1/4) :16,65 TL, SIRALI İKİLİ(4/1) :63,70 TL, ÜÇLÜ BAHİS(4/1/8) :78,66 TL, PLASE(1) :2,10 TL, PLASE(4) :2,60 TL, PLASE İKİLİ(1/4) :7,70 TL, PLASE İKİLİ(1/8) :4,00 TL, PLASE İKİLİ(4/8) :10,60 TL, 1. ÇİFTE(10/4) :81,10 TL

3. Kosu :   18:30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)81.500 TL;2.)32.600 TL;3.)16.300 TL;4.)8.150 TL;5.)4.075 TL;1.)23.431 TL;2.)9.373 TL;3.)4.686 TL;4.)2.343 TL;5.)1.172 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YALI EFESİ KG SK;3y k  e;YAKUPBEY;YALI GÜZELİ;57;E.AKTUĞ;MUZAFFER BUĞDAYCI;Ş.ÖZDENİZ;3;%23.4(1);34;1:20.95;3,90;1 Boy
2;KARİMAMA KG SK;3y d  d;BERKAY EFE;ŞALARAS;55;A.KÜRÜNDÜK;MÜSLÜM ASLAN;HAKAN ASLAN;5;%15.5(3);35;1:21.07;3,55;Yarım Boy
3;İLBERK KG DB SK;3y a  e;ORÇUN;IŞIKSAÇAN;54;A.YILDIZ AP;SALİHA ULUIRMAKLI;M.AKKUŞ;8;%15.15(5);28;1:21.16;4,85;Yarım Boy
4;MELDE KIZ KG;3y k  d;SİLAH;MELDEGÜLÜ;51 +1.30;C.ALTUN AP;MELİS KURTEL EMİN;MEH.KAYA;4;%15.5(4);;1:21.28;4,35;Yarım Boy
5;MAGNIFIQUE SKG;3y k  e;KARAÜZÜM;CERBEZER;54;C.PASO AP;ZEKİ UYGUR;MEH.KAYA;11;%5.8(6);31;1:21.37;13,30;
6;SEPYA RENK KG DB;3y k  d;ALPYÜREK;SEPYA;55 +0.40;A.ALPAGUT;ŞEHABETTİN DOYAN;Ü.BÖLEK;10;%0.82(10);15;1:21.61;76,15;
7;DEFY SK;3y a  d;SARUS;FEHMİYE;51 +0.60;S.AKŞIN AP;HASAN ÇİZİK;B.BOZBEY;7;%2.65(7);29;1:21.68;29,35;
