İstanbul;(8. Yarış Günü);10/12/2022
1. Kosu :   18:30;ŞARTLI 4/DHÖW/Y1; 4 ve Yukarı Araplar; 57.50kg; 59.50 kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BERKALP KG GKR;9y k  a;BEN ANADOLU;BETÜLÜM;61,5;K.DEMİREL;ALİ ERKAN YILMAZ;H.V.YILMAZ;4;;99;2:17.82;2,00;3,5 Boy
2;ULUBATUR KG DB;7y k  a;AĞA KARACA;AHUCAN;61,5;F.ÇETİNBAŞ;ÇETİN ARSLAN;E.KOCA;5;;84;2:18.40;6,85;Yarım Boy
3;MUZOBABA SK;5y k  a;BATURŞAH;ZEPKA;57,5;M.UYAR;YENER GİRİŞKEN;N.KÖÇKEN;8 - DS;;71;2:18.47;8,05;5 Boy
4;BAYPATRON KG DB SK;6y k  a;KURTEL;ADIGÜL;57,5;C.ALTUN;ERHAN SÖĞÜT;A.R.YILDIZ;7;;55;2:19.37;2,30;2,5 Boy
5;SONEMİR;8y a  a;ZENGİNOĞLU;ÖTİKEN;59,5;M.BAĞ;BESİRE GÜNDÜZELİ;SU.ÖZKAN;2;;67;2:19.75;11,65;
6;CESURBUĞRA KG GKR;4y a  a;KURTEL;KIYMET HANIM;60,5;BERKANT GÖKÇE;MEHMETAKİF KAYA;Ç.AYDIN;6;;48;2:21.74;15,00;
7;DİAVASİ KG DB;5y a  a;ÖZGÜNHAN;BELGİTAY;59,5;E.ÇİZİK;MEHMET NARÇİN;At Sahibi;1;;80;2:22.72;19,25;
8;KIZILVAZO KG K DB;5y a  a;MURATAĞA;MORIŞIK;59,5;T.KERESTECİ;MUSTAFA ŞİŞMAN;G.GÖKÇE;3;;51;2:23.48;38,60;
GANYAN(1) :2,00 TL, İKİLİ(1/2) :8,00 TL, SIRALI İKİLİ(1/2) :11,45 TL, ÜÇLÜ BAHİS(1/2/8) :20,03 TL, PLASE(1) :1,10 TL, PLASE(2) :1,10 TL

2. Kosu :   19:00;Handikap 15/DHÖW/Dişi /H1; 4 ve Yukarı Araplar; kg; 2100m; Sentetik;;;;Rekor Derece :2.22.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÇAĞLAYANŞELALE KG K;5y a k;KAIZBERT (RU);HAÇÇE;60;İ.BAGUÇ AP;FERİDE TOYDEMİR YILDIZ;O.DEMİR;1;%14.58(4);53;2:25.77;6,65;1 Boy
