İzmir;(25. Yarış Günü);27/02/2022
1. Kosu :   15:15;ŞARTLI 5/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 60.00 kg; 1200m; Kum;;;;Rekor Derece :1.19.36
İkramiye;;;;;Yetiştirici Primi;;;;
1.)77.000 TL;2.)30.800 TL;3.)15.400 TL;4.)7.700 TL;5.)3.850 TL;1.)13.283 TL;2.)5.313 TL;3.)2.657 TL;4.)1.328 TL;5.)664 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SİNOPLU MERVE KG;6y k k;BİLGİN;SÜBEYHİKIZI;59;H.KARATAŞ;H.TARIK DİKENCİK;Ş.ÖZGÜR;6;%54.71(1);98;1:22.38;1,35;1 Boy
2;ATİK ATİK KG SK;6y a  a;ÖZGÜNHAN;TOMURCUK;60;M.KAYA;DİDEM ARTIK TUTAŞER;MEH.KAYA;4;%17.37(2);91;1:22.56;3,65;1,5  Boy
3;GÖKÇESTAR KG K DB;5y k  a;KAIZBERT (RU);TATLICAN;58 +0.10;GÖKH.GÖKÇE;SEZGİN GÖKÇE;H.DURMUŞ;7 - DS;%13.44(3);88;1:22.80;4,40;3,5 Boy
4;ATİKSOYLU KG;6y a  a;ATİKBEY;SELVİNAZ;60;MUH.OK AP;MUSTAFA AMAÇ;FAH.CEYLAN;2;%7.4(4);99;1:23.38;12,10;Baş
5;ARSLANTURBO KG K;7y k  a;TURBO;TATİŞKO;56;M.M.BİLGİN;TANSEL ARSLAN;HAL.KAYA;5;%2.12(6);91;1:23.41;19,90;
6;ESER KG DB SK;9y k  a;JOKER;GÖKÇETAY;56;N.AVCİ;HÜSEYİN ÇELİKAY;M.BULUT;3;%4.38(5);98;1:25.98;13,75;
7;USULCA KG K DB;5y k  a;TAMERİNOĞLU;SAPHA.35;53 +2.00;K.GÖKÇE AP;SÜLEYMAN KILIÇASLAN;R.YILDIZ;1;%0.58(7);58;1:25.99;83,20;
GANYAN(3) :1,35 TL, İKİLİ(2/3) :2,20 TL, SIRALI İKİLİ(3/2) :2,45 TL

2. Kosu :   15:45;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.05.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)77.000 TL;2.)30.800 TL;3.)15.400 TL;4.)7.700 TL;5.)3.850 TL;1.)13.283 TL;2.)5.313 TL;3.)2.657 TL;4.)1.328 TL;5.)664 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;EDWARD KG DB SK;3y d  e;CUVEE (USA);MAKE ME SMILE;58;H.KARATAŞ;A.FERHAT KÜÇÜKER;A.COŞKAN;3;%66.29(1);71;2:13.32;1,30;1 Boy
