İstanbul;(21. Yarış Günü);15/03/2023
1. Kosu :   15:00;Maiden/DHÖW/Dişi; 4 Yaşlı Araplar; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MELDE KIZ KG DB SK;4y k k;SİLAH;MELDEGÜLÜ;54 +1.80;A.CEYLAN AP;NEHAR ORHON;SEN.ŞEN;1;;34;2:24.40;2,05;1,5  Boy
2;PAMUCAK SK;4y k k;ZENGİNOĞLU;ALYA EYLÜL;58;A.SÖZEN;UĞUR KORKUT;MUR.AKKILIÇ;5;;32;2:24.59;4,50;2 Boy
3;ALEVİN RENGİ KG DB SK GKR;4y a k;ADANIR;DÜŞLER SULTANI;58;T.YILDIZ;CAN SALİH TAVUKCU;T.YILMAZ;3;;35;2:24.89;2,05;8,5 Boy
4;BERKAY GÜZELİ KG SK;4y a k;BERKAY EFE;ŞENOCAK GÜZELİ;58;F.ARSLAN;RUKEN ATAŞ;Ö.F.TAŞDELEN;6;;29;2:26.54;9,20;7 Boy
5;MİRKIZIM KG SK;4y k k;BERKSOY;TATLIM;55;C.ALTUN AP;EREN AKBULUT;H.ACAR;4;;12;2:27.82;61,90;
6;SERKANIN KIZI KG DB SK;4y k k;KAIZBERT (RU);BURHANİYE;58;U.BARLIK;MEHMET ALTIN;HÜS.KARABULUT;8;;22;2:28.39;26,15;
7;ESTER KG DB SK;4y a k;ENGİNHAN;KÜÇÜK;58;E.AKTUĞ;A.NECDET HINÇ;A.N.HINÇ;7;;18;2:30.21;21,10;
8;ÇALIOBALI KG DB SK;4y a k;GELİBOLU;ALTIN ATEŞ;56;A.YILDIZ AP;ZAFER TEMUÇİN;U.TEMUÇİN;2;;;2:43.43;26,90;
GANYAN(5) :2,05 TL, İKİLİ(5/7) :6,35 TL, SIRALI İKİLİ(5/7) :9,40 TL, ÜÇLÜ BAHİS(5/7/1) :7,17 TL, PLASE(5) :1,05 TL, PLASE(7) :1,25 TL

2. Kosu :   15:30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALAKONT;3y d  e;WIN RIVER WIN (USA);SELİNCAN;59,5;S.BOYRAZ;H.TURGUT ALAKUŞ;T.ŞİT;3;%8.57(5);47;1:18.59;11,95;4 Boy
2;RAY OF LIGHT SK;3y d  d;LUXOR;FLYING SAUCER;59;G.KOCAKAYA;AYŞE MERVE KİTAPÇI;Ş.Ş.DEMİR;9 - DS;%30.27(1);46;1:19.21;2,00;3 Boy
3;FLAWLESS POWER SK;3y a  e;LION HEART (USA);NURMAHAL;56,5;VED.ABİŞ;SERDAR PEKİN;E.ÇUKURKAŞ;5;%7.38(6);41;1:19.66;10,85;1,5  Boy
4;ASİL UTKU KG K;3y d  e;MENDIP (USA);BLOOMY;57,5;A.ASLAN;CUMA AKDUMAN;M.BAYKARA;7 - DS;%5.08(8);43;1:19.86;14,85;Boyun
5;KEEN EYE K DB;3y d  e;SIDNEY'S CANDY (USA);PLUS VALUE (USA);60,5;A.KURŞUN;NİMET ARİF KURTEL;R.BİRDAL;4;%8.62(4);49;1:19.91;11,15;
6;PRINCE OF DARKNESS KG DB SK;3y d  e;BRAZEN BEAU (AUS);MAGIKA (GB);60,5;M.KAYA;ALİ RIZA ÇELİKOĞLU;U.BİLİK;6;%21.17(2);49;1:19.97;2,60;
7;MURODJON SK;3y d  e;FAST 'N' FAMOUS (AUS);LADY MITA;59,5;A.SÖZEN;MURAT GÖLELİ;E.USLU;2;%5.21(7);47;1:20.45;10,35;
8;FLYING MACHINE KG K;3y d  e;TOROK (IRE);SENSIBLE;54 +0.40;M.HAMEDİ;ÖMER USLU;HÜS.ÇAKMAK;1;%2.06(9);36;1:21.37;41,30;
9;TAIZU KG K DB;3y d  e;KANEKO;NAAN (IRE);59,5;M.ÇİÇEK;BARIŞ KARAGÖZ;A.R.YILDIZ;8 - DS;%11.65(3);47;1:28.76;9,15;
GANYAN(3) :11,95 TL, İKİLİ(3/6) :12,00 TL, SIRALI İKİLİ(3/6) :40,60 TL, 1. ÇİFTE(5/3) :28,65 TL

3. Kosu :   16:00;Handikap 16/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2100m; Sentetik;;;;Rekor Derece :2.22.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BAYPATRON DB SKG SK;7y k  a;KURTEL;ADIGÜL;60;E.ÇİZİK AP;ERHAN SÖĞÜT;A.R.YILDIZ;4;%10.69(4);64;2:27.10;8,20;Boyun
2;KURT ENGİN KG SK;5y k  a;BABA MEVLÜT;BLUE VELVET;62;G.KOCAKAYA;RECEP GÜLDOĞDU;E.USLU;3;%13.59(3);62;2:27.15;5,80;Burun
3;AKIŞ KG DB;5y k  a;TURBO;PEMBE ŞEKER;57,5 +0.10;E.AKTUĞ;MUHAMMED YILDIZ;HÜS.KARABULUT;7;%5.01(7);53;2:27.17;22,10;Boyun
4;CESURBUĞRA KG DB GKR;5y a  a;KURTEL;KIYMET HANIM;53 +0.30;A.YILDIZ AP;MEHMETAKİF KAYA;Ç.AYDIN;6;%10.01(6);46;2:27.19;7,25;Burun
5;ARISAN KG;9y a  a;ÖZGÜNHAN;VERA;51 +2.00;O.YILDIZ;ÖZNUR AYDOĞDİ;SERD.AYDOĞDİ;1;%10.05(5);40;2:27.20;8,90;
6;HÜR UÇAN KG DB;6y k  a;UÇANOĞLU;BLUE VELVET;62,5;G.ÖZÇELİK;ADNAN GELEN;M.SOYKUVVET;11 - DS;%3.4(8);63;2:29.10;34,05;
7;HALAY K;5y a  a;GELİBOLU;BİLGEAT;61;H.KARATAŞ;Z.AHSEN KURUM;ŞÜK. ÇELİK;10 - DS;%25.21(1);60;2:29.36;2,40;
8;ELİTTAY KG DB SK;4y a  a;ALTAHA;HARİKA;56;VED.ABİŞ;BİRKAN BORA AKARSU;E.KARAKÖLEOĞLU;5;%14.99(2);56;2:29.45;3,00;
9;BONJOUR EL SAMAWİ KG SK;8y a k;KAIZBERT (RU);SAL SABİL;55;S.AKBULAT AP;SERKAN TORUN;G.TOPBAŞ;2;%2.28(10);48;2:31.99;43,55;
10;ABONE DB SK GKR;6y a  a;EFEM;BAKANAY;62,5;A.SÖZEN;FERHAT KARA;M.SANDIKCI;8 - DS;%2.54(9);63;2:36.60;41,40;
11;KOŞANASLAN KG DB SK;5y k  a;KAIZBERT (RU);BABACANYAN;50 +2.00;M.HAMEDİ;MERT ÇELİK;E.KOCA;9 - DS;%2.22(11);35;2:39.01;49,35;
GANYAN(1) :8,20 TL, 1. 3'LÜ GANYAN(5/3/1) :96,52 TL, İKİLİ(1/4) :22,40 TL, SIRALI İKİLİ(1/4) :43,40 TL, ÜÇLÜ BAHİS(1/4/7) :276,86 TL, PLASE(1) :3,10 TL, PLASE(4) :2,40 TL, PLASE İKİLİ(1/4) :22,10 TL, PLASE İKİLİ(1/7) :33,40 TL, PLASE İKİLİ(4/7) :34,40 TL, 2. ÇİFTE(3/1) :77,25 TL

4. Kosu : MEDYAPIM  16:30;ŞARTLI 4; 3 Yaşlı İngilizler; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALANALP;3y d  e;BUSHRANGER (IRE);SHAYLEE;54 +1.40;H.KARATAŞ;EKİN YAĞCI;MET.ACAR;3;%30.74(1);61;1:31.45;1,90;Yarım Boy
2;KING RUNNER DB SK;3y d  e;OSCAR PERFORMANCE (USA);HARD SUN (USA);54 +1.70;A.SÖZEN;TOLGA BACA;Y.DEMİRKIRAN;5;%11.87(4);51;1:31.56;7,80;Burun
3;BRIGHT FIRE SK BB;3y d  e;NATIVE KHAN (FR);LA COLITA;54;VED.ABİŞ;ARZU GÜNEŞ;E.KARAKÖLEOĞLU;2;%23.23(2);92;1:31.57;2,65;3,5 Boy
4;SURPRISE STORM SKG SK;3y d  e;PERFECT STORM;MISS DREAM;54 +2.00;M.ÇİÇEK;SEMA ORHAN;A.R.YILDIZ;1;%11.39(5);65;1:32.12;4,45;Boyun
5;URFA ASLANI SK;3y d  e;APPROVE (IRE);WAIMARIA (IRE);56 +2.00;M.KAYA;SELİM KAYA;V.KARAKUŞ;6;%14.69(3);89;1:32.17;6,90;
6;MİRA LİNDA KG K;3y d  d;ROCKMASTER (IRE);ŞANSLIKIZ;52 +1.60;G.ÖZÇELİK;ADNAN SERBEST;A.SERBEST;7;%3.41(6);67;1:34.79;29,80;
7;PAPAGALLO K (Koşmaz);3y d  e;SAXON WARRIOR (JPN);WINTER ACONITE (IRE);54;G.KOCAKAYA;KEMAL KURT;M.AYDOĞDİ;4;%4.68(7);64;Koşmaz;;
GANYAN(1) :1,90 TL, İKİLİ(1/3) :7,20 TL, SIRALI İKİLİ(1/3) :10,15 TL, ÜÇLÜ BAHİS(1/3/2) :7,67 TL Çıkan 1 Atla: 1,50 TL, 3. ÇİFTE(1/1) :20,35 TL

5. Kosu :   17:00;KV-8/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.38.17
İkramiye;;;;;Yetiştirici Primi;;;;
1.)192.000 TL;2.)76.800 TL;3.)38.400 TL;4.)19.200 TL;5.)9.600 TL;1.)44.160 TL;2.)17.664 TL;3.)8.832 TL;4.)4.416 TL;5.)2.208 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DENİZ EFE KG SK;4y k  a;ALTAHA;AHUBERE;58;A.ÇELİK;ARİF ÇELİK;GÜV.GÖKÇE;3;%50.56(1);110;1:40.31;1,40;2 Boy
2;BERKENİN KIZI KG K DB;4y a k;KAIZBERT (RU);İPEKELA;56 +0.30;A.KURŞUN;FATİH KURU;S.ALTUNBAŞ;5;%11.59(4);97;1:40.62;6,35;5 Boy
3;SARAFİM KG DB SK;4y a  a;GELİBOLU;ÖZGÜR BİKE;58;H.KARATAŞ;ZEYNEP L. ATMAN;MET.ACAR;2;%24(2);97;1:41.56;2,90;7,5 Boy
4;HAZNEDAR KG DB;4y a  a;ALTAHA;MUDANYA;58;VED.ABİŞ;FERHAN GÖKTÜRK;H.BOYRAZ;4;%5.19(3);86;1:43.20;4,30;5,5 Boy
5;TORHAN TAY KG DB;4y a  a;TURBO;NECİBE;58;G.KOCAKAYA;FERHAN GÖKTÜRK;H.BOYRAZ;1;%8.66(3);68;1:44.29;4,30;
[(2)HAZNEDAR,(4)TORHAN TAY,] eküridir.GANYAN(1) :1,40 TL, SIRALI İKİLİ(1/5) :6,40 TL, 4. ÇİFTE(1/1) :2,80 TL

6. Kosu :  AVRASYA EKONOMİ ZİRVELERİ KOŞUSU 17:30;KV-6/Dişi; 4 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)143.000 TL;2.)57.200 TL;3.)28.600 TL;4.)14.300 TL;5.)7.150 TL;1.)32.890 TL;2.)13.156 TL;3.)6.578 TL;4.)3.289 TL;5.)1.645 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ANADOLU PRENSESİ K;4y d k;MENDIP (USA);PRINCESS TAISE (USA);54 +1.20;H.KARATAŞ;T. İZZET AKSOY;A.TEPEBAŞI;4;%10.81(2);81;2:06.26;5,00;Burun
2;BONNY BOMB SK;4y d k;HAKEEM (USA);SAN VICENTE;56;G.KOCAKAYA;GÜLNUR GÜLERCE;SED.DEMİRAL;2;%79.76(1);95;2:06.27;1,05;2,5 Boy
3;PASSION RUNNER KG SK;5y d k;CHURCH PICTURES (GB);SUMMER SUN;56;A.SÖZEN;YASEMİN TURAKTEKİN;H.ŞİMŞEK;1;%1.4(5);63;2:06.63;24,10;Boyun
4;GLEAMY DB SK YP ÖG;4y d k;HAKEEM (USA);PRENCESS EBRU;54 +2.00;A.KURŞUN;CANAN KORUCU;S.ALTUNBAŞ;5 - DS;%4.42(3);78;2:06.67;9,70;2 Boy
5;SECRET EAGLE SK;6y d k;SMART ROBIN (JPN);ATENFLEX;56 +0.30;A.ÇELİK;ALPER ÖZBEK;H.ACAR;3;%3.61(4);66;2:06.96;14,90;
GANYAN(4) :5,00 TL, SIRALI İKİLİ(4/1) :8,00 TL, 5. ÇİFTE(1/4) :12,45 TL

7. Kosu :   18:00;Handikap 16 /H1; 4 ve Yukarı İngilizler; kg; 1400m; Sentetik;;;;Rekor Derece :1.22.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PAYİDAR DB SKG SK;4y d  a;SMART ROBIN (JPN);AMAZING GRACE;56 +0.20;A.KURŞUN;EMRE KİSBU;M.ÖZ;10 - DS;%11.93(4);52;1:23.49;5,35;1,5  Boy
2;DARK LORD DB SKG SK;4y d  a;WIENER WALZER (GER);DORUYEL;51,5 +2.00;G.ÖZÇELİK;SEBATİ DUMAN;T.ŞİT;1;%13.53(1);43;1:23.70;6,05;1,5  Boy
3;SELANİK EFESİ KG SK;4y d  a;BANKNOTE (GB);NOM DE LA ROSA (IRE);51 +2.00;A.YILDIZ AP;ENDER COŞGUNSU;ORK. ÖZELCANAT;9;%12.61(3);42;1:23.92;5,95;Baş
4;DOĞU PRENSİ KG K DB;6y d  a;MENDIP (USA);FERİDE ANA;63;G.KOCAKAYA;CUMHUR BALKAROĞLU;Ş.GÖKÇE;12 - DS;%11.1(6);64;1:23.94;4,40;Yarım Boy
5;TEMURKHAN KG SK;4y a  a;THREE VALLEYS (USA);DEA GAIA (IRE);58,5;E.AKTUĞ;DUYGU FATURA;S.TAŞBEK;6;%2.29(11);57;1:24.03;18,75;
6;KING BORA SKG SK;4y d  a;JUSTENUFFHUMOR (USA);WEST OF GIRL;57,5;C.ALTUN AP;MEHMET DEMİRKOL;Y.KARAKÜÇÜK;11 - DS;%3.02(9);59;1:24.27;25,05;
7;PELIGROSA DB SK;4y d k;YILDIRIMBEY;MEDVİNA;62;VED.ABİŞ;BERKAN AKÇAM;H.ACAR;5;%9.94(7);64;1:24.52;9,10;
8;ZEYBEK FLIGHT KG SK;4y d  a;INDIAN DAYS (GB);NEYTİRİ;50,5 +0.80;S.TIRPAN;SELİN DİKENCİK;Y.KARAKÜÇÜK;2;%1.34(12);41;1:24.70;55,00;
