İstanbul;(75. Yarış Günü);02/10/2022
1. Kosu :   15:15;Handikap 17 /H1; 3 Yaşlı İngilizler; kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)27.600 TL;2.)11.040 TL;3.)5.520 TL;4.)2.760 TL;5.)1.380 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;RIBERY K DB;3y d  g;RODOPLU;THE ROADTO VICTORY;53,5;B.ÇIĞLA AP;SÜLEYMAN KORKMAZ;Y.DEMİRKIRAN;2;%14.22(4);62;1:11.76;3,85;1 Boy
2;CAPTAIN FAST K;3y d  d;LILBOURNE LAD (IRE);MARSHMALLOW;60,5;G.KOCAKAYA;VOLKAN YONCAAĞAÇ;Ö.GÜNELİ;5;%14.97(3);72;1:11.92;4,55;Burun
3;MASTER OF PUPPETS DB;3y d  e;PAPA CLEM (USA);LUCKY NUMBER;62;M.KAYA;ELİF KAYA;V.KARAKUŞ;1;%4.41(6);75;1:11.93;12,30;Yarım Boy
4;PELIGROSA SK;3y d  d;YILDIRIMBEY;MEDVİNA;57;A.SÖZEN;BERKAN AKÇAM;H.ACAR;4;%12.68(5);65;1:12.04;6,20;2 Boy
5;KAŞGARIN KIZI KG;3y a  d;EL KAŞGAR;ZAFER DAĞI;50 +2.00;E.AKTUĞ AP;CEM NARİN;S.DURGUÇ;3;%3.51(7);48;1:12.36;14,35;
6;JUDGMENT DB SK BB;3y d  e;SCARFACE;ORSE GÜL;58,5;VEDAT ABİŞ;M.LEVENT TOPSAKAL;R.PERİ;7 - DS;%27.81(1);68;1:13.23;2,30;
7;ANADOLU ŞAHİNİ;3y a  e;LUXOR;CHAPOSA STRIKE (USA);61;H.KARATAŞ;T. İZZET AKSOY;A.TEPEBAŞI;6 - DS;%22.41(2);73;1:13.73;3,10;
GANYAN(6) :3,85 TL, İKİLİ(3/6) :14,20 TL, SIRALI İKİLİ(6/3) :21,75 TL

2. Kosu :   15:45;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)90.000 TL;2.)36.000 TL;3.)18.000 TL;4.)9.000 TL;5.)4.500 TL;1.)25.875 TL;2.)10.350 TL;3.)5.175 TL;4.)2.588 TL;5.)1.294 TL;
