İstanbul;(4. Yarış Günü);26/11/2022
1. Kosu :  TOISON D'OR KOŞUSU 17:15;ŞARTLI 1; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)102.500 TL;2.)41.000 TL;3.)20.500 TL;4.)10.250 TL;5.)5.125 TL;1.)29.469 TL;2.)11.788 TL;3.)5.894 TL;4.)2.947 TL;5.)1.473 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GRACİAS SİNYOR DB;2y k  e;NATIVE KHAN (FR);DRY CLEANER;57 +1.00;M.KAYA;İSMAİL KAVUŞAN;T.İBİŞ;9;%19.19(2);;1:19.11;3,85;6 Boy
2;COCO SISTER;2y d  d;ASTRAKHAN;GO DANCING (GB);55;A.YILDIZ AP;MURAT AKSOY;MUR.AKSOY;10;%3.4(7);;1:20.18;19,35;1 Boy
3;AYAZATA K;2y a  e;THREE VALLEYS (USA);SNOW COVER (GB);57;G.KOCAKAYA;DUYGU FATURA;S.TAŞBEK;3;%31.92(1);;1:20.31;1,60;4,5 Boy
4;MURAD;2y d  e;MYBOYCHARLIE (IRE);BELLE BLONDE (IRE);57;G.ÖZÇELİK;ADEM YEŞİL;E.USLU;1;%12.12(3);;1:21.05;5,30;3 Boy
5;LEGEND SEVEN KG K;2y a  d;LION HEART (USA);CONFIDENCE;55;M.HAMEDİ;ALPER ÖZBEK;H.ACAR;7;%3.04(8);;1:21.47;23,50;
6;VITTORIOSA KG K;2y k  d;VICTORY GALLOP (CAN);SANTA PEKAN;55;E.AKTUĞ;CAN N. GÜVEN;M.SOYKUVVET;6;%4.78(6);;1:21.61;14,85;
7;ARTEMİS GIRL K;2y d  d;LILBOURNE LAD (IRE);ZULTANITE;55 +0.60;B.ÇIĞLA AP;MUSTAFA ÇANDIR;H.ŞİMŞEK;2;%1.12(9);;1:22.01;75,20;
8;MUTLU EFE KG K DB BB;2y d  e;WIENER WALZER (GER);GOLDEN NIGHT;57 +0.20;T.YILDIZ;GÜLSEN MUTLU;S.MUTLU;8;%6.64(5);;1:23.18;14,65;
9;ALL READY KG K;2y d  e;SCARFACE;LAMARSA (FR);57;VEDAT ABİŞ;MEHMET DOĞAN;M.AKBULUT;4;%9.73(4);;1:23.86;8,45;
10;ASİL UTKU K (Koşmaz);2y d  e;MENDIP (USA);BLOOMY;57;A.ASLAN;CUMA AKDUMAN;A.KURT;11 - DS;%7.78(10);;Koşmaz;11,75;
11;HAWA BILADY DB (Koşmaz);2y d  e;ANODIN (IRE);INTO THE WILD (FR);57;O.BEŞLİ AP;M.ÖMER NAUSHAD MA;Y.ARHIM;5;%0.28(11);;Koşmaz;;
GANYAN(4) :3,85 TL, İKİLİ(4/9) :42,05 TL, SIRALI İKİLİ(4/9) :62,00 TL

2. Kosu :   17:45;ŞARTLI 4/Dişi; 3 Yaşlı İngilizler; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)12.851 TL;2.)5.141 TL;3.)2.570 TL;4.)1.285 TL;5.)643 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CHAIN OF DESTINY KG DB SK ÖG;3y d  d;TOROK (IRE);BORROWING BASE (USA);57 +0.60;K.DEMİREL AP;NİMET ARİF KURTEL;H.YÜZBAŞI;11 - DS;%41.13(1);72;2:05.31;1,75;1,5  Boy
2;HIDDEN MONEYS SK;3y d  d;SCARFACE;PETIT KURT (IRE);58;H.KARATAŞ;KEMAL KURT;T.PELEN;5;%30.02(2);71;2:05.52;2,45;6 Boy
3;SANTORINI SK YP;3y a  d;TALIP HAN (IRE);BELLA PAMPA;56;A.YILDIZ AP;İSMAİL HADİOĞLU;A.KÜÇÜKAKSOY;8;%9.79(3);53;2:06.53;6,15;Yarım Boy
4;HONEYMOON KG K;3y d  d;TOROK (IRE);PRIZE MOMENT (USA);54 +0.30;G.ÖZÇELİK;MERT BAYIR;T.ŞİT;3;%3.95(5);38;2:06.62;20,30;Yarım Boy
5;SOYLU YAĞMUR KG SK;3y d  d;PERFECTO;ŞUBAR;58;T.YILDIZ;MEHMET KOPAL;T.ÇEKİCİ;7;%1.18(8);52;2:06.70;35,85;
6;LADY GÖKSU SK;3y d  d;VICTORY GALLOP (CAN);PRENSES GÖKSU;54;A.ASLAN;GÖKSEL ÜNBAY;E.KOCA;6;%3.23(6);34;2:07.17;19,45;
7;DİLBER KG DB SK GKR;3y d  d;SMART ROBIN (JPN);ESMERBAL;58;M.ÇİÇEK;ONUR TÜRKER;M.ÖZGÜL;1;%5.71(4);40;2:07.24;20,90;
8;PANENKA K DB;3y k  d;NATIVE KHAN (FR);FLY WINGS;54;GÖK.BEKTAŞ;AYDIN ÜSTÜNDAĞ;V.YÜKSEL;2;%2.31(7);26;2:07.54;15,55;
9;TOROCADERTO K;3y d  d;SCARFACE;ALWAYS RUNNER;54 +2.00;A.KURŞUN;ERDEM MUTLU;S.KAYMAKLI;9;%1.13(9);;2:08.10;57,40;
