İzmir;(27. Yarış Günü);03/03/2023
1. Kosu :   18:30;ŞARTLI 5/Dişi/Y1; 4 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 1600m; Kum;;;;Rekor Derece :1.38.10
İkramiye;;;;;Yetiştirici Primi;;;;
1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;1.)20.700 TL;2.)8.280 TL;3.)4.140 TL;4.)2.070 TL;5.)1.035 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BLACK PHANTOM DB SK;5y d k;MENDIP (USA);DALYABABY;58;K.YILMAZ;HÜSEYİN YILDIZ;S.ŞAHYAZICI;5;;90;1:43.37;1,50;4,5 Boy
2;LADY MİRAM SK;4y d k;TOROK (IRE);KIZIM MELİKE;55 +2.00;O.YILMAZ;MELİH TEMEL;C.AYDOĞAN;1;;46;1:44.09;3,55;Boyun
3;MITHRA DB SKG SK;5y d k;JUSTENUFFHUMOR (USA);SUHULET;56;O.KIZILDAŞ;UFUK TALAT KORKUT;B.GÜL;2;;62;1:44.15;8,90;12 Boy
4;SEE YOU SOON K DB;5y d k;YONAGUSKA (USA);LATMOS;56;BERK.GÖKÇE;CİHAN EMİL;B.TOPCU;4;;68;1:46.11;3,70;4 Boy
5;AMİRAL HOLD DB SKG SK;5y d k;WIENER WALZER (GER);EMİNE HANIM;54 +0.70;E.AKPINAR;HACI DURAN KOCA;F.ÇELTİK;3;;81;1:46.74;11,45;
6;GÖRDES KG SK;4y d k;HIZEL BEYİ;TALE OF MINE;52;M.GÖL;ŞAHNUR KARACA;M.Y.AKKEYİK;6;;11;1:49.15;38,95;
GANYAN(1) :1,50 TL, SIRALI İKİLİ(1/5) :2,85 TL

2. Kosu :   19:00;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1300m; Çim;;;;Rekor Derece :1.15.43
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;POINT OF FINALLY DB SKG SK;3y d  e;POINT OF ENTRY (USA);AWESOME APHRA (USA);56;M.ÇİÇEK;OKTAY FERHAN BİTİRMİŞ;B.TOPCU;5;%18.34(2);49;1:17.59;3,35;3 Boy
2;BATUR KHAN KG SK;3y d  e;SHARP KNIFE (USA);DETELİNA;60,5;E.AKTUĞ;ALİ DOBAK;Z.KURT;6;%12.45(4);58;1:17.95;4,60;3 Boy
3;MUHARREM ABİ KG SK;3y d  e;DUTYFREE;AKYAKALIKIZ;54;A.C.DAĞDEVİREN;ALP Ş. EVCİMEN;C.ŞAMLI;2;%7.11(7);45;1:18.35;11,40;4 Boy
4;CANTALOUPE K;3y d  d;PAPA CLEM (USA);LAİK KIZ;54,5 +2.00;M.KAYİŞ AP;ONUR YETKİN;Ş.ÖZDENİZ;3;%10.62(5);50;1:18.86;8,45;Yarım Boy
5;MURİÇKA DB SKG SK;3y d  d;SCARFACE;BÜYÜKANNE;53 +0.20;C.PASO AP;YASİN MIZRAK;B.ÇAKUS;4;%3.8(9);45;1:18.94;20,75;
6;UYGAR BEY KG DB SK;3y d  e;CEBELTAY;GONDOR;59;Ö.YILDIRIM;ERMAN ERDEM;A.OLCAR;8;%18.7(1);55;1:19.00;3,35;
7;ONE MORE DAISY K;3y a  d;LION HEART (USA);STRONG DREAM;52,5 +2.00;M.M.BİLGİN;NİMET ARİF KURTEL;B.GÜL;1;%8.64(6);42;1:19.20;9,15;
8;BEULIEU KG K DB;3y a  d;TRIPLE BONUS;CAPUCINO;59,5;A.YILDIZ AP;NANCY KİBAR;Ş.ÇELİK;9;%13.02(3);58;1:19.72;6,35;
9;MY GİRL LİSA KG;3y a  d;CRIMEAN TATAR;CARNA;52 +2.00;B.M.MIRIK;SERTAN VARDAR;A.ÖKSÜZLER;7;%2.1(10);41;1:19.95;35,60;
10;TORUN YUSUF KG SK;3y d  e;FAST 'N' FAMOUS (AUS);LINDORA;56,5;MER.ÇELİK;MEHMET ATEŞ;HAK.ASLAN;10;%5.22(8);50;1:20.13;14,00;
GANYAN(6) :3,35 TL, İKİLİ(1/6) :11,45 TL, SIRALI İKİLİ(6/1) :18,90 TL, 1. ÇİFTE(1/6) :4,80 TL

3. Kosu :   19:30;Handikap 15 /H1; 4 ve Yukarı İngilizler; kg; 1200m; Kum;;;;Rekor Derece :1.11.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
