İzmir;(19. Yarış Günü);29/12/2022
1. Kosu :   15:00;ŞARTLI 5/Dişi; 3 ve Yukarı İngilizler; 59.00kg; 60.00 kg; 60.00 kg; 1400m; Kum;;;;Rekor Derece :1.25.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)92.500 TL;2.)37.000 TL;3.)18.500 TL;4.)9.250 TL;5.)4.625 TL;1.)15.956 TL;2.)6.383 TL;3.)3.191 TL;4.)1.596 TL;5.)798 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NIKKI RUN K DB;5y a k;CUVEE (USA);LADY MITA;62;M.ÇİÇEK;HİKMET ALİ ATAMAN;D.ÇELİK;5 - DS;;78;1:26.79;2,25;9 Boy
2;SMYRNA ROMANCE KG DB SK;3y d  d;SMART ROBIN (JPN);GÜZEL GELİN;59;K.GÖKÇE AP;HÜSEYİN YILDIZ;S.ŞAHYAZICI;4 - DS;;58;1:28.05;15,35;Burun
3;MENAS K;3y a  d;MENDIP (USA);JIGGLYPUFF;58 +0.30;M.UYAR AP;K.CEVAT DAYSAL;Ş.ÖZDENİZ;2;;54;1:28.06;5,00;3,5 Boy
4;TORİÇEM DB SKG SK;4y a k;AFTER MARKET (USA);SABİRE;60;A.YILDIZ AP;ÖZCAN KURTULMUŞ;S.ÇITAK;3;;67;1:28.55;1,95;2,5 Boy
5;ÖZAY SUZANANA DB SKG SK;4y a k;BOSPORUS (IRE);WAIT FOR SPRING (USA);58;M.M.BİLGİN;SEZAİ ÖZKAN;O.ÖZPUYLAT;1;;58;1:28.95;4,70;
GANYAN(2) :2,25 TL, SIRALI İKİLİ(2/3) :24,85 TL

2. Kosu :   15:30;Handikap 15/DHÖW /H2; 3 Yaşlı Araplar; kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)74.500 TL;2.)29.800 TL;3.)14.900 TL;4.)7.450 TL;5.)3.725 TL;1.)21.419 TL;2.)8.568 TL;3.)4.284 TL;4.)2.142 TL;5.)1.071 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GÜROBASI DB SKG SK;3y k  e;AYABAKAN;KIZILGÜNEŞ;56,5;ŞEV.GÖKÇE AP;TEKİN BİRİCİK;T.BİRİCİK;5;%16.66(3);57;1:53.23;4,20;Boyun
2;BUCA ARSLANI K;3y k  e;YAŞARCIK;BENLİ ANA;53,5;E.AKTUĞ;K.CEVAT DAYSAL;Ş.ÖZDENİZ;1;%10.28(6);45;1:53.31;5,90;1,5  Boy
3;CANOVA KG;3y a  e;KAIZBERT (RU);CAN NUR;52,5 +2.00;MER.ÇELİK;ERKAN BAL;E.ATEŞ;4;%21.83(1);43;1:53.58;2,75;Boyun
4;NAKKAŞTEPE KG K;3y d  e;CANGIL;FİRUZAN;58,5;H.ŞİMŞEK;İSMAİL UMUT CİYHAN;H.DURMUŞ;8;%16.91(2);55;1:53.64;3,50;5 Boy
5;AYRANCI KG SK GKR;3y a  e;DEMİRDÖVEN;ŞİLAN;50 +2.00;C.PASO AP;HASAN HÜSEYİN AYRANCI;M.TAMER;2;%3.45(8);38;1:54.41;19,00;
6;HASANCANIM KG DB GKR;3y a  e;JOKER;HAZİRANKIZI;50 +2.00;A.C.DAĞDEVİREN;ŞAFAK GÜMÜŞ;ŞAFAK GÜMÜŞ;3;%2.3(9);37;1:54.82;44,95;
7;ATEŞBİLEK KG;3y a  e;ATEŞTOPU;AĞBİLEK;54 +2.00;M.M.BİLGİN;MUSTAFA İLKADIM;R.AYDOĞAN;7;%12.23(4);46;1:55.03;7,90;
8;TUNA NEHRİ KG SK;3y d  e;ÖZGÜNHAN;NEVRA;51 +2.00;A.KÜRÜNDÜK;ALİ ÖREN;S.ŞAHYAZICI;6;%5.56(7);40;1:55.78;12,95;
9;AHİRDAĞ KG K;3y a  d;GELİBOLU;BERİKAKIZ;54,5;E.ÇİZİK AP;LÜTFİ SABANCI;M.TAMER;9 - DS;%10.78(5);53;1:58.33;9,70;
GANYAN(1) :4,20 TL, İKİLİ(1/5) :16,50 TL, SIRALI İKİLİ(1/5) :29,35 TL, 1. ÇİFTE(2/1) :13,00 TL

3. Kosu :   16:00;SATIŞ 1; 3 ve Yukarı İngilizler; 58.00kg; 60.00 kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.05.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)59.000 TL;2.)23.600 TL;3.)11.800 TL;4.)5.900 TL;5.)2.950 TL;1.)10.178 TL;2.)4.071 TL;3.)2.036 TL;4.)1.018 TL;5.)509 TL;
