İstanbul;(48. Yarış Günü);31/07/2022
1. Kosu :   15:15;Handikap 15 /H1; 3 Yaşlı İngilizler; kg; 1400m; Sentetik;;;;Rekor Derece :1.22.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)76.000 TL;2.)30.400 TL;3.)15.200 TL;4.)7.600 TL;5.)3.800 TL;1.)13.110 TL;2.)5.244 TL;3.)2.622 TL;4.)1.311 TL;5.)656 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DENİZHAN SKG SK;3y a  e;KANEKO;SİLVA;58,5;SER.YILDIZ AP;KAHRAMAN ŞAHİN;M.ÖZTÜRK;7;%32.05(1);63;1:25.61;2,00;2,5 Boy
2;BABY FACE SK;3y d  d;SCARFACE;ATEŞHATUN;52;N.DEMİR AP;ENGİN BEKİROĞULLARI;N.ESEN;2;%10.11(4);48;1:26.03;11,65;2,5 Boy
3;SPELLBINDER SK;3y d  d;NATIVE KHAN (FR);DOKU;50,5 +1.80;M.HAMEDİ;Z.DİDEM GÖDEK;T.İBİŞ;1;%8.98(5);41;1:26.43;10,20;Yarım Boy
4;RAMMSTEIN DB SK;3y d  e;SCARFACE;TUĞÇE HANIM;60,5;VEDAT ABİŞ;SEMİH POLAT;CUMA POLAT;4;%17.59(3);61;1:26.52;3,30;Burun
5;ÇAKIR YILDIZI KG SK;3y d  e;PAPA CLEM (USA);DİLAY STAR;50,5 +2.00;A.ASLAN;ERDAL YILDIRIM;E.USLU;8;%26.98(2);41;1:26.53;1,95;
6;KIZIL PENÇE KG DB SK;3y a  e;WIN RIVER WIN (USA);BELLA MIA;50 +2.00;B.ÇIĞLA AP;HAKAN S. ÖZCAN;B.KAÇMAZ;6;%1.89(6);36;1:28.32;38,15;
7;SENSEI KG;3y d  e;EL CORREDOR (USA);KIWANI BAY (GB);50;T.YILMAZ AP;MUSTAFA BAYKARA;M.BAYKARA;3;%1.69(7);34;1:31.91;34,85;
8;PRENSES DALAKA KG K (Koşmaz);3y d  d;APPROVE (IRE);FINE GOLD;50;M.G.ARSLAN;FAHRİ BAYER;H.GÖNÜLTAŞ;5;%0.71(8);40;Koşmaz;;
GANYAN(1) :2,00 TL, İKİLİ(1/3) :9,75 TL, SIRALI İKİLİ(1/3) :13,35 TL
