İstanbul;(22. Yarış Günü);18/03/2023
1. Kosu :   13:30;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.14.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÖNDERHAN KG K;4y k  a;UÇANOĞLU;DURUDOĞA;58;A.SÖZEN;TAYRAL TUTUMLU;A.E.AVCI;4;;30;2:23.14;3,45;3 Boy
2;BELLATRIX SKG SK;4y a  a;HABERBATUR;BERİLİM;58;A.ASLAN;Ö.ERHAN SOFUOĞLU;H.ŞİMŞEK;9 - DS;;34;2:23.68;5,95;2 Boy
3;AŞKIN ABİ KG DB;4y k  a;BALIKHAN;ALÇİÇEKTINAZ;58;VED.ABİŞ;İBRAHİM ALTUNBAŞ;T.ATEŞ;5;;35;2:24.05;1,50;Yarım Boy
4;ÖNTAÇ KG DB SK;4y a  a;KAANEFE;ZELİŞ SULTAN;58;O.GÖKÇE;YASİN POLAT;R.AKDUMAN;7;;34;2:24.15;13,70;2,5 Boy
5;KAV BEY K DB;4y a  a;HİSARBEY;MESRURE.52;58 +0.20;S.ÖZEN;OĞUZHAN SEYHAN;D.KAYA;1;;31;2:24.54;9,75;
6;DORUKHANBEY KG DB SK GKR;4y a  a;ULUER;GÖZÜN AYDIN;58 +0.10;D.KAYA;ABDURRAHİM KIRAMANLIOĞLU;E.USLU;6;;22;2:28.45;18,70;
7;KARA PALA KG SK;4y k  a;YALNIZEFE;HOPALIM;58;H.KAPLAN;AHMET AKBULUT;D.KAYA;2;;30;2:28.74;14,75;
8;FARYALI KG K;4y a  a;ENGİNHAN;PERVİNHANIM;55;B.ÇIĞLA AP;NURİ YILDIZ;H.HARMANBAŞI;3;;18;2:33.68;39,05;
9;BÜYÜKKASIRGA KG K GKR (Koşmaz);4y a  a;KAIZBERT (RU);ELİFKIZ;54;Ç.TAŞCI AP;METE ÇELİK;E.KOCA;8;;13;Koşmaz;47,60;
